file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ActiveAndroid\src\com\activeandroid\query\Select.java,com.activeandroid.query.Select,from/1[java.lang.Class<? extends com.activeandroid.Model>],false,57,1,25,24,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ActiveAndroid\src\com\activeandroid\query\Select.java,com.activeandroid.query.Select,Select/1[java.lang.String[]],true,31,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ActiveAndroid\src\com\activeandroid\query\Select.java,com.activeandroid.query.Select,distinct/0,false,43,1,3,3,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ActiveAndroid\src\com\activeandroid\query\Select.java,com.activeandroid.query.Select,all/0,false,50,1,4,4,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ActiveAndroid\src\com\activeandroid\query\Select.java,com.activeandroid.query.Select,Select/0,true,28,0,27,27,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ActiveAndroid\src\com\activeandroid\query\Select.java,com.activeandroid.query.Select,Select/1[com.activeandroid.query.Select.Column[]],true,35,1,0,0,0,2,0,7,0,2,1,0,0,0,1,0,0,0,1,1,4,1,1,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ActiveAndroid\src\com\activeandroid\query\Select.java,com.activeandroid.query.Select,toSql/0,false,72,1,1,0,1,5,4,17,1,1,0,4,0,0,0,1,0,0,6,1,1,1,1,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ActiveAndroid\src\com\activeandroid\query\Set.java,com.activeandroid.query.Set,"Set/2[com.activeandroid.query.Update,java.lang.String]",true,34,2,1,1,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ActiveAndroid\src\com\activeandroid\query\Set.java,com.activeandroid.query.Set,"where/2[java.lang.String,java.lang.Object[]]",false,59,1,1,1,0,1,3,6,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ActiveAndroid\src\com\activeandroid\query\Set.java,com.activeandroid.query.Set,"Set/3[com.activeandroid.query.Update,java.lang.String,java.lang.Object[]]",true,42,2,1,1,0,1,2,7,0,0,3,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,false
