file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AgentWeb\sample\src\main\java\com\just\agentweb\sample\fragment\SmartRefreshWebFragment.java,com.just.agentweb.sample.fragment.SmartRefreshWebFragment$Anonymous1$Anonymous2,run/0,false,55,0,14,0,14,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AgentWeb\sample\src\main\java\com\just\agentweb\sample\activity\NativeDownloadActivity.java,com.just.agentweb.sample.activity.NativeDownloadActivity$NativeDownloadViewHolder,NativeDownloadViewHolder/1[com.just.agentweb.sample.activity.View],true,341,2,1,1,0,1,2,8,0,0,1,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AgentWeb\agentweb-core\src\main\java\com\just\agentweb\IAgentWebSettings.java,com.just.agentweb.IAgentWebSettings,getWebSettings/0,false,30,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AgentWeb\agentweb-core\src\main\java\com\just\agentweb\IAgentWebSettings.java,com.just.agentweb.IAgentWebSettings,toSetting/1[com.just.agentweb.WebView],false,28,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AgentWeb\agentweb-core\src\main\java\com\just\agentweb\WebSecurityControllerImpl.java,com.just.agentweb.WebSecurityControllerImpl,check/1[com.just.agentweb.WebSecurityCheckLogic],false,40,1,2,0,2,5,3,8,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AgentWeb\agentweb-core\src\main\java\com\just\agentweb\WebSecurityControllerImpl.java,com.just.agentweb.WebSecurityControllerImpl,"WebSecurityControllerImpl/3[com.just.agentweb.WebView,com.just.agentweb.ArrayMap<java.lang.String,java.lang.Object>,com.just.agentweb.AgentWeb.SecurityType]",true,33,3,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AgentWeb\agentweb-filechooser\src\main\java\com\just\agentweb\filechooser\FileChooser.java,com.just.agentweb.filechooser.FileChooser,"onIntentResult/3[int,int,com.just.agentweb.filechooser.Intent]",false,415,3,7,1,6,11,7,32,6,0,3,7,6,3,0,5,0,0,0,0,1,0,1,0,0,0,43,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AgentWeb\agentweb-filechooser\src\main\java\com\just\agentweb\filechooser\FileChooser.java,com.just.agentweb.filechooser.FileChooser,getChooserListener/0,false,240,2,3,2,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AgentWeb\agentweb-filechooser\src\main\java\com\just\agentweb\filechooser\FileChooser.java,com.just.agentweb.filechooser.FileChooser,"aboveLollipopCheckFilesAndCallback/2[com.just.agentweb.filechooser.Uri[],boolean]",false,627,7,6,1,5,13,10,39,4,5,2,10,1,1,1,6,1,1,0,4,9,0,4,0,0,0,36,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AgentWeb\agentweb-filechooser\src\main\java\com\just\agentweb\filechooser\FileChooser.java,com.just.agentweb.filechooser.FileChooser,openCameraAction/0,false,357,3,7,2,5,2,4,11,0,1,0,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,6,2,0,false
