file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\graphtheory\ChinesePostmanProblem.java,com.williamfiset.algorithms.graphtheory.ChinesePostmanProblem$Edge,innerclass,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,12,1,0,0,0,0,4,0,3,1,3,0,0,0,0,5,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\graphtheory\DepthFirstSearchAdjacencyListRecursive.java,com.williamfiset.algorithms.graphtheory.DepthFirstSearchAdjacencyListRecursive,class,3,4,1,3,9,1,0,6,3,0.0,0.0,0.0,3,3,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,9,46,2,1,4,0,0,4,25,10,2,6,2,0,1,0,30,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\graphtheory\LazyPrimsAdjacencyList.java,com.williamfiset.algorithms.graphtheory.LazyPrimsAdjacencyList,class,3,5,2,3,33,1,0,18,26,0.7980769,0.0,0.0,13,8,4,6,0,3,7,0,0,0,8,0,0,8,0,0,2,0,81,204,4,7,7,0,1,12,218,33,5,31,2,0,1,0,57,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\graphtheory\TopologicalSortAdjacencyList.java,com.williamfiset.algorithms.graphtheory.TopologicalSortAdjacencyList,class,4,5,1,4,15,1,0,10,6,0.0,0.0,0.0,4,4,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,62,3,5,4,0,0,0,46,23,3,16,5,0,1,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\geometry\ClosestPairOfPoints.java,com.williamfiset.algorithms.geometry.ClosestPairOfPoints,class,3,3,0,3,13,1,0,7,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,75,2,4,4,0,0,0,6,28,3,16,3,0,3,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\datastructures\binarysearchtree\SplayTree.java,com.williamfiset.algorithms.datastructures.binarysearchtree.SplayTree$BinaryTree,innerclass,4,4,0,4,13,1,0,3,20,0.7037037,0.0,0.0,9,0,9,0,0,0,9,0,0,0,2,0,0,2,0,0,0,0,1,47,5,0,2,2,0,2,0,4,0,3,2,0,0,0,21,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\datastructures\segmenttree\MaxQuerySumUpdateSegmentTree.java,com.williamfiset.algorithms.datastructures.segmenttree.MaxQuerySumUpdateSegmentTree,class,2,4,2,2,31,1,0,14,41,0.64285713,0.0,0.0,14,1,5,9,0,0,5,0,0,0,3,0,0,3,0,0,1,0,5,102,14,0,15,0,4,2,66,21,53,10,1,0,0,0,82,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\other\SlidingWindowMaximum.java,com.williamfiset.algorithms.other.SlidingWindowMaximum,class,1,2,1,1,10,1,0,6,0,0.45,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,1,0,0,2,0,0,0,23,1,2,1,0,0,1,0,3,0,5,1,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\test\java\com\williamfiset\algorithms\search\InterpolationSearchTest.java,com.williamfiset.algorithms.search.InterpolationSearchTest,class,3,3,0,3,4,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,32,8,0,8,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\test\java\com\williamfiset\algorithms\sorting\QuickSelectTest.java,com.williamfiset.algorithms.sorting.QuickSelectTest,class,4,4,0,4,3,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,0,2,0,0,0,0,6,6,1,6,2,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\datastructures\unionfind\UnionFind.java,com.williamfiset.algorithms.datastructures.unionfind.UnionFind,class,2,4,2,2,14,1,0,2,5,0.60714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,0,54,6,3,3,0,0,1,5,20,0,9,1,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\geometry\CollinearPoints.java,com.williamfiset.algorithms.geometry.CollinearPoints,class,1,2,1,1,7,1,0,8,1,0.33333334,0.0,0.0,3,3,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,7,29,4,0,0,0,7,1,16,12,14,10,1,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\dp\LongestPalindromeSubsequence.java,com.williamfiset.algorithms.dp.LongestPalindromeSubsequence,class,1,2,1,1,9,1,0,6,3,0.0,0.0,0.0,3,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,19,7,0,5,0,0,2,11,5,6,3,1,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\graphtheory\treealgorithms\TreeIsomorphism.java,com.williamfiset.algorithms.graphtheory.treealgorithms.TreeIsomorphism,class,3,5,2,3,29,1,0,26,45,0.0,0.0,0.0,10,10,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,151,8,9,4,0,0,7,45,28,2,23,4,0,1,0,68,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\strings\LongestCommonSubstring.java,com.williamfiset.algorithms.strings.LongestCommonSubstring,class,4,5,1,4,4,2,0,6,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,367,1,1,1,0,0,5,2,10,1,8,2,0,5,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\graphtheory\treealgorithms\examples\TreeHeight.java,com.williamfiset.algorithms.graphtheory.treealgorithms.examples.TreeHeight,class,2,3,1,2,12,1,0,8,21,0.0,0.0,0.0,7,7,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,60,7,0,4,0,0,6,16,19,2,11,1,0,1,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\graphtheory\Boruvkas.java,com.williamfiset.algorithms.graphtheory.Boruvkas,class,4,5,1,4,36,1,0,10,0,0.54761904,0.0,0.0,6,1,4,2,0,0,4,0,0,0,6,0,0,6,0,0,2,0,2,189,8,9,10,0,1,6,66,54,4,31,4,0,2,0,49,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\graphtheory\ConnectedComponentsDfsSolverAdjacencyList.java,com.williamfiset.algorithms.graphtheory.ConnectedComponentsDfsSolverAdjacencyList,class,3,4,1,3,16,1,0,11,0,0.6041667,0.0,0.0,8,3,7,1,0,0,7,0,0,0,6,0,0,6,0,0,1,0,8,64,4,4,1,0,0,2,18,16,0,15,2,0,0,0,42,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\graphtheory\KruskalsEdgeList.java,com.williamfiset.algorithms.graphtheory.KruskalsEdgeList$UnionFind,innerclass,2,2,0,2,11,1,0,1,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,40,4,3,4,0,0,0,2,16,0,7,1,0,0,0,16,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\test\java\com\williamfiset\algorithms\graphtheory\KahnsTest.java,com.williamfiset.algorithms.graphtheory.KahnsTest,class,7,8,1,7,15,1,0,11,15,0.0,0.0,0.0,6,2,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,61,6,4,2,0,0,0,32,19,1,17,3,0,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Algorithms\src\main\java\com\williamfiset\algorithms\graphtheory\BreadthFirstSearchAdjacencyListIterativeFastQueue.java,com.williamfiset.algorithms.graphtheory.BreadthFirstSearchAdjacencyListIterativeFastQueue,class,4,5,1,4,13,1,0,10,3,0.0,0.0,0.0,3,3,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,15,72,1,4,4,0,0,4,45,18,4,12,5,0,1,0,47,1,0
