file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\util\BetaUtils.java,org.andengine.util.BetaUtils$Anonymous2,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\util\BetaUtils.java,org.andengine.util.BetaUtils$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\util\modifier\ease\EaseQuintInOut.java,org.andengine.util.modifier.ease.EaseQuintInOut,class,4,5,1,4,5,1,0,2,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,2,20,3,0,1,0,0,0,7,2,7,2,1,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\entity\TagEntityMatcher.java,org.andengine.entity.TagEntityMatcher,class,2,2,0,2,5,1,0,1,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,15,2,0,1,0,0,0,0,2,0,1,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\entity\scene\background\modifier\SequenceBackgroundModifier.java,org.andengine.entity.scene.background.modifier.SequenceBackgroundModifier$ISubSequenceBackgroundModifierListener,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\entity\particle\BlendFunctionParticleSystem.java,org.andengine.entity.particle.BlendFunctionParticleSystem,class,6,8,2,6,13,3,0,3,21,0.6363636,0.0,0.0,11,0,9,0,2,0,11,0,0,0,3,0,0,0,3,0,0,0,0,44,3,0,0,0,0,0,0,8,0,3,1,0,0,0,30,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\engine\options\resolutionpolicy\IResolutionPolicy.java,org.andengine.engine.options.resolutionpolicy.IResolutionPolicy,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\entity\particle\emitter\PointParticleEmitter.java,org.andengine.entity.particle.emitter.PointParticleEmitter,class,2,2,0,2,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\util\modifier\BaseQuadrupelValueSpanModifier.java,org.andengine.util.modifier.BaseQuadrupelValueSpanModifier,class,5,6,1,5,9,6,0,3,16,0.5,0.0,0.0,9,0,4,0,5,0,9,2,0,0,2,0,0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,6,4,2,0,0,0,0,27,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\util\adt\list\SortedList.java,org.andengine.util.adt.list.SortedList,class,5,7,2,5,31,1,0,17,0,0.5,0.0,0.0,16,0,13,3,0,0,13,0,0,0,2,1,0,2,0,0,2,0,3,120,19,3,3,0,3,0,15,15,6,13,4,0,0,0,128,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\util\adt\data\operator\DoubleOperator.java,org.andengine.util.adt.data.operator.DoubleOperator,enum,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\util\modifier\SequenceModifier.java,org.andengine.util.modifier.SequenceModifier,class,7,8,1,7,25,2,0,12,41,0.7380953,0.0,0.0,14,0,13,0,1,0,14,0,0,0,6,0,0,6,0,0,2,0,2,113,6,3,4,0,0,2,14,24,4,14,2,0,1,0,48,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\opengl\font\Letter.java,org.andengine.opengl.font.Letter,class,2,9,7,2,15,1,0,4,14,0.7460317,0.0,0.0,9,0,5,1,0,3,8,0,0,0,14,0,12,2,0,0,13,0,0,77,10,0,6,0,1,15,14,18,3,17,1,0,0,0,48,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\opengl\font\FontManager.java,org.andengine.opengl.font.FontManager,class,3,10,7,3,16,1,0,9,8,0.375,0.0,0.0,8,0,8,0,0,0,8,0,0,7,1,0,0,1,0,0,1,0,0,49,0,5,2,0,0,2,9,10,3,10,2,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\opengl\shader\source\IShaderSource.java,org.andengine.opengl.shader.source.IShaderSource,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\util\animationpack\AnimationPackTiledTextureRegion.java,org.andengine.util.animationpack.AnimationPackTiledTextureRegion,class,6,8,2,6,4,2,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,20,2,1,0,0,0,0,1,6,0,5,1,0,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\opengl\texture\region\ITiledTextureRegion.java,org.andengine.opengl.texture.region.ITiledTextureRegion,interface,2,10,8,2,24,1,0,0,276,0.0,0.0,0.0,24,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\util\level\LevelParser.java,org.andengine.util.level.LevelParser,class,5,6,1,5,8,2,0,7,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,2,0,0,31,0,0,4,0,1,2,0,8,1,7,1,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\entity\particle\initializer\VelocityParticleInitializer.java,org.andengine.entity.particle.initializer.VelocityParticleInitializer,class,4,4,0,4,13,3,0,2,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,0,0,0,0,0,12,0,0,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndEngine\src\org\andengine\opengl\texture\region\TextureRegionFactory.java,org.andengine.opengl.texture.region.TextureRegionFactory,class,7,9,2,7,10,1,0,11,45,0.0,0.0,0.0,10,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,36,10,0,0,0,0,0,4,2,0,2,0,0,0,0,23,1,0
