file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndPermission\permission\src\main\java\com\yanzhenjie\permission\notify\NRequestFactory.java,com.yanzhenjie.permission.notify.NRequestFactory,create/1[com.yanzhenjie.permission.source.Source],false,26,3,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndPermission\permission\src\main\java\com\yanzhenjie\permission\source\ActivitySource.java,com.yanzhenjie.permission.source.ActivitySource,"startActivityForResult/2[com.yanzhenjie.permission.source.Intent,int]",false,46,1,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndPermission\permission\src\main\java\com\yanzhenjie\permission\source\ActivitySource.java,com.yanzhenjie.permission.source.ActivitySource,isShowRationalePermission/1[java.lang.String],false,51,0,0,0,0,2,1,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndPermission\permission\src\main\java\com\yanzhenjie\permission\source\ActivitySource.java,com.yanzhenjie.permission.source.ActivitySource,getContext/0,false,36,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndPermission\permission\src\main\java\com\yanzhenjie\permission\source\ActivitySource.java,com.yanzhenjie.permission.source.ActivitySource,ActivitySource/1[com.yanzhenjie.permission.source.Activity],true,31,1,5,5,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndPermission\permission\src\main\java\com\yanzhenjie\permission\source\ActivitySource.java,com.yanzhenjie.permission.source.ActivitySource,startActivity/1[com.yanzhenjie.permission.source.Intent],false,41,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndPermission\permission\src\main\java\com\yanzhenjie\permission\notify\Notify.java,com.yanzhenjie.permission.notify.Notify$ListenerRequestFactory,create/1[com.yanzhenjie.permission.source.Source],false,58,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndPermission\sample\src\main\java\com\yanzhenjie\permission\sample\NotifyListenerRationale.java,com.yanzhenjie.permission.sample.NotifyListenerRationale$Anonymous2,"onClick/2[com.yanzhenjie.permission.sample.DialogInterface,int]",false,43,2,2,0,2,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndPermission\sample\src\main\java\com\yanzhenjie\permission\sample\app\MainActivity.java,com.yanzhenjie.permission.sample.app.MainActivity$Anonymous11,"onClick/2[com.yanzhenjie.permission.sample.app.DialogInterface,int]",false,407,1,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndPermission\sample\src\main\java\com\yanzhenjie\permission\sample\OverlayRationale.java,com.yanzhenjie.permission.sample.OverlayRationale$Anonymous2,"onClick/2[com.yanzhenjie.permission.sample.DialogInterface,int]",false,43,2,2,0,2,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
