file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\androlib\res\decoder\ARSCDecoder.java,com.tencent.mm.androlib.res.decoder.ARSCDecoder$ResguardStringBuilder,innerclass,2,2,0,2,20,1,0,12,0,0.6666667,0.0,0.0,8,0,8,0,0,0,8,0,0,0,6,0,0,6,0,0,3,0,4,73,4,6,1,0,0,68,7,19,2,19,4,0,0,0,53,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\directory\AbstractDirectory.java,com.tencent.mm.directory.AbstractDirectory$SubPath,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\apksigner\OptionsParser.java,apksigner.OptionsParser$OptionsException,innerclass,0,0,0,0,1,3,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\apksigner\PasswordRetriever.java,apksigner.PasswordRetriever,class,3,6,3,3,44,1,0,50,60,0.8541667,0.0,0.0,12,9,2,10,0,0,2,0,0,0,4,2,1,3,0,0,3,0,33,185,18,5,13,6,6,27,8,35,9,32,3,0,0,0,194,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\util\ExtDataOutput.java,com.tencent.mm.util.ExtDataOutput,class,6,10,4,6,13,2,0,8,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,44,0,1,5,0,0,4,2,4,0,4,1,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\apksigner\ApkSignerTool.java,apksigner.ApkSignerTool,class,17,20,3,17,110,3,0,80,15,0.8333333,NaN,NaN,6,6,1,5,0,0,1,0,0,0,4,4,0,4,0,0,4,0,28,691,16,14,16,7,29,143,39,116,35,66,6,0,2,0,169,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\androlib\res\decoder\RawARSCDecoder.java,com.tencent.mm.androlib.res.decoder.RawARSCDecoder$FlagsOffset,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\directory\Directory.java,com.tencent.mm.directory.Directory,interface,1,5,4,1,11,1,0,0,55,1.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,1,0,1,0,0,0,1,0,0,14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\androlib\res\data\ResID.java,com.tencent.mm.androlib.res.data.ResID,class,1,2,1,1,9,1,0,2,0,0.5416667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,0,4,0,0,0,4,0,1,39,6,0,3,0,4,1,9,7,7,6,1,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\util\ExtDataInput.java,com.tencent.mm.util.ExtDataInput,class,3,10,7,3,18,2,0,8,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,59,2,2,7,0,0,4,7,9,1,8,2,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-example\app\src\test\java\andresguard\tencent\com\andresguard_example\ExampleUnitTest.java,andresguard.tencent.com.andresguard_example.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-example\app2\src\main\java\andresguard\tencent\com\andresguard_example\MainActivity.java,MainActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\androlib\res\decoder\ARSCDecoder.java,com.tencent.mm.androlib.res.decoder.ARSCDecoder$Header,innerclass,6,6,0,6,6,1,0,5,0,0.75,0.0,0.0,3,2,3,0,0,0,3,0,0,0,3,1,3,0,0,0,3,0,1,41,4,0,0,2,0,1,9,15,0,14,2,0,0,0,36,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\androlib\AndrolibException.java,com.tencent.mm.androlib.AndrolibException,class,0,7,7,0,4,3,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-example\app\src\androidTest\java\andresguard\tencent\com\andresguard_example\ApplicationTest.java,andresguard.tencent.com.andresguard_example.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\util\Utils.java,com.tencent.mm.util.Utils,class,5,12,7,5,25,1,0,27,55,0.0,0.0,0.0,11,11,9,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,143,12,3,8,2,0,10,8,19,2,16,2,0,1,0,66,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndResGuard\AndResGuard-core\src\main\java\com\tencent\mm\androlib\res\util\StringUtil.java,com.tencent.mm.androlib.res.util.StringUtil,class,2,7,5,2,6,1,0,5,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,17,3,1,2,0,1,1,4,3,0,3,1,0,0,0,20,1,0
