file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndServer\api\src\main\java\com\yanzhenjie\andserver\util\AcceptLanguage.java,com.yanzhenjie.andserver.util.AcceptLanguage,"AcceptLanguage/2[java.util.Locale,double]",true,28,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndServer\api\src\main\java\com\yanzhenjie\andserver\util\MediaType.java,com.yanzhenjie.andserver.util.MediaType,removeQualityValue/0,false,429,2,2,0,2,2,3,8,2,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,38,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndServer\api\src\main\java\com\yanzhenjie\andserver\util\MediaType.java,com.yanzhenjie.andserver.util.MediaType,sortByQualityValue/1[java.util.List<com.yanzhenjie.andserver.util.MediaType>],false,582,2,1,0,1,2,3,6,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,55,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndServer\api\src\main\java\com\yanzhenjie\andserver\util\MediaType.java,com.yanzhenjie.andserver.util.MediaType,sortBySpecificityAndQuality/1[java.util.List<com.yanzhenjie.andserver.util.MediaType>],false,593,3,2,0,2,2,3,6,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,26,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndServer\api\src\main\java\com\yanzhenjie\andserver\util\MediaType.java,com.yanzhenjie.andserver.util.MediaType,"MediaType/3[java.lang.String,java.lang.String,java.nio.charset.Charset]",true,305,0,2,2,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndServer\api\src\main\java\com\yanzhenjie\andserver\util\MediaType.java,com.yanzhenjie.andserver.util.MediaType,isCompatibleWith/1[com.yanzhenjie.andserver.util.MediaType],false,406,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndServer\api\src\main\java\com\yanzhenjie\andserver\util\MediaType.java,com.yanzhenjie.andserver.util.MediaType,getFileMediaType/1[java.lang.String],false,608,1,4,2,2,3,5,13,3,2,1,5,2,1,0,0,1,0,0,0,2,0,1,0,0,0,17,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndServer\api\src\main\java\com\yanzhenjie\andserver\util\MediaType.java,com.yanzhenjie.andserver.util.MediaType,"MediaType/3[java.lang.String,java.lang.String,double]",true,318,0,0,0,0,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndServer\api\src\main\java\com\yanzhenjie\andserver\util\MediaType.java,com.yanzhenjie.andserver.util.MediaType,"MediaType/2[com.yanzhenjie.andserver.util.MediaType,java.util.Map<java.lang.String,java.lang.String>]",true,344,2,4,2,2,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndServer\api\src\main\java\com\yanzhenjie\andserver\util\MediaType.java,com.yanzhenjie.andserver.util.MediaType,"MediaType/2[com.yanzhenjie.andserver.util.MediaType,java.nio.charset.Charset]",true,331,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,true
