file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ConvenientBanner\app\src\main\java\com\bigkoo\convenientbannerdemo\HeaderActivity.java,com.bigkoo.convenientbannerdemo.HeaderActivity$Anonymous2,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ConvenientBanner\app\src\main\java\com\bigkoo\convenientbannerdemo\HeaderActivity.java,com.bigkoo.convenientbannerdemo.HeaderActivity$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ConvenientBanner\convenientbanner\src\main\java\com\bigkoo\convenientbanner\listener\CBPageChangeListener.java,com.bigkoo.convenientbanner.listener.CBPageChangeListener,class,4,5,1,4,10,1,0,6,0,0.4666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,27,0,1,4,0,0,0,3,4,0,4,2,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ConvenientBanner\app\src\main\java\com\bigkoo\PtrFrameLayoutCompat.java,com.bigkoo.PtrFrameLayoutCompat,class,4,5,1,4,6,2,0,7,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,4,26,2,0,0,0,0,0,1,7,3,7,2,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ConvenientBanner\convenientbanner\src\main\java\com\bigkoo\convenientbanner\listener\OnPageChangeListener.java,com.bigkoo.convenientbanner.listener.OnPageChangeListener,interface,1,5,4,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ConvenientBanner\app\src\main\java\com\bigkoo\convenientbannerdemo\MainActivity.java,com.bigkoo.convenientbannerdemo.MainActivity$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ConvenientBanner\app\src\main\java\com\bigkoo\convenientbannerdemo\NetWorkImageHolderView.java,com.bigkoo.convenientbannerdemo.NetWorkImageHolderView$Anonymous1,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ConvenientBanner\convenientbanner\src\main\java\com\bigkoo\convenientbanner\utils\ScreenUtil.java,com.bigkoo.convenientbanner.utils.ScreenUtil,class,4,5,1,4,4,1,0,5,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,2,0,2,6,4,6,0,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ConvenientBanner\app\src\main\java\com\bigkoo\convenientbannerdemo\HeaderActivity.java,com.bigkoo.convenientbannerdemo.HeaderActivity$MyAdapter,innerclass,2,2,0,2,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ConvenientBanner\convenientbanner\src\main\java\com\bigkoo\convenientbanner\view\CBLoopViewPager.java,com.bigkoo.convenientbanner.view.CBLoopViewPager,class,4,7,3,4,7,2,0,4,10,0.8666666,0.0,0.0,5,0,4,1,0,0,4,0,0,0,3,3,0,3,0,0,2,0,2,29,3,0,0,0,0,0,3,5,0,3,1,0,0,0,39,1,0
