file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-PickerView\app\src\main\java\com\bigkoo\pickerviewdemo\JsonDataActivity.java,com.bigkoo.pickerviewdemo.JsonDataActivity$Anonymous1,handleMessage/1[com.bigkoo.pickerviewdemo.Message],false,51,1,1,0,1,5,3,23,0,0,1,3,0,0,0,1,0,0,3,0,2,0,2,1,0,0,15,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-PickerView\app\src\main\java\com\bigkoo\pickerviewdemo\TestFragment.java,com.bigkoo.pickerviewdemo.TestFragment$Anonymous2$Anonymous3,onClick/1[com.bigkoo.pickerviewdemo.View],false,76,2,5,0,5,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-PickerView\pickerview\src\main\java\com\bigkoo\pickerview\builder\OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setTitleColor/1[int],false,121,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-PickerView\pickerview\src\main\java\com\bigkoo\pickerview\builder\OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setItemVisibleCount/1[int],false,252,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-PickerView\pickerview\src\main\java\com\bigkoo\pickerview\builder\OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setCancelText/1[java.lang.String],false,39,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-PickerView\pickerview\src\main\java\com\bigkoo\pickerview\builder\OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setTitleBgColor/1[int],false,116,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-PickerView\pickerview\src\main\java\com\bigkoo\pickerview\builder\OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,build/0,false,288,2,2,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-PickerView\pickerview\src\main\java\com\bigkoo\pickerview\builder\OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setTitleSize/1[int],false,131,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-PickerView\pickerview\src\main\java\com\bigkoo\pickerview\builder\OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setCancelColor/1[int],false,65,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-PickerView\pickerview\src\main\java\com\bigkoo\pickerview\builder\OptionsPickerBuilder.java,com.bigkoo.pickerview.builder.OptionsPickerBuilder,setBackgroundId/1[int],false,77,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
