file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ZBLibrary\app\src\main\java\zblibrary\demo\activity\SettingActivity.java,zblibrary.demo.activity.SettingActivity$Anonymous4$Anonymous5,run/0,false,192,1,112,0,112,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ZBLibrary\app\src\main\java\zblibrary\demo\adapter\UserAdapter.java,zblibrary.demo.adapter.UserAdapter,"createView/2[int,zblibrary.demo.adapter.ViewGroup]",false,35,2,1,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ZBLibrary\app\src\main\java\zblibrary\demo\adapter\UserAdapter.java,zblibrary.demo.adapter.UserAdapter,getItemId/1[int],false,40,2,2,0,2,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ZBLibrary\app\src\main\java\zblibrary\demo\adapter\UserAdapter.java,zblibrary.demo.adapter.UserAdapter,UserAdapter/1[zblibrary.demo.adapter.Activity],true,30,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ZBLibrary\ZBLibrary\src\main\java\zuo\biao\library\ui\GridPickerView.java,zuo.biao.library.ui.GridPickerView,"getItemPosition/2[int,java.util.List<zuo.biao.library.model.Entry<java.lang.Integer,java.lang.String>>]",false,308,3,3,1,2,7,4,23,3,1,2,4,1,1,1,1,0,2,3,4,4,11,3,0,0,0,10,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ZBLibrary\ZBLibrary\src\main\java\zuo\biao\library\ui\GridPickerView.java,zuo.biao.library.ui.GridPickerView,isOnFirstTab/0,false,102,1,2,0,2,2,2,3,1,0,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ZBLibrary\ZBLibrary\src\main\java\zuo\biao\library\ui\GridPickerView.java,zuo.biao.library.ui.GridPickerView,getSelectedItemList/0,false,91,1,5,4,1,2,2,7,1,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ZBLibrary\ZBLibrary\src\main\java\zuo\biao\library\ui\GridPickerView.java,zuo.biao.library.ui.GridPickerView,"init/2[java.util.ArrayList<zuo.biao.library.model.GridPickerConfig>,java.util.List<zuo.biao.library.model.Entry<java.lang.Integer,java.lang.String>>]",false,154,6,8,1,7,5,12,16,1,2,2,12,2,4,1,1,0,0,2,5,5,3,1,0,0,0,19,17,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ZBLibrary\ZBLibrary\src\main\java\zuo\biao\library\ui\GridPickerView.java,zuo.biao.library.ui.GridPickerView,isOnLastTab/0,false,105,1,3,1,2,2,2,3,1,0,0,2,2,1,0,0,0,0,0,2,0,1,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Android-ZBLibrary\ZBLibrary\src\main\java\zuo\biao\library\ui\GridPickerView.java,zuo.biao.library.ui.GridPickerView,setOnTabClickListener/1[zuo.biao.library.ui.GridPickerView.OnTabClickListener],false,57,1,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
