file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoFrameLayout.java,com.zhy.autolayout.AutoFrameLayout,"AutoFrameLayout/3[com.zhy.autolayout.Context,com.zhy.autolayout.AttributeSet,int]",true,42,2,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoFrameLayout.java,com.zhy.autolayout.AutoFrameLayout,"onLayout/5[boolean,int,int,int,int]",false,69,0,0,0,0,1,1,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoFrameLayout.java,com.zhy.autolayout.AutoFrameLayout,generateLayoutParams/1[com.zhy.autolayout.AttributeSet],false,53,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoFrameLayout.java,com.zhy.autolayout.AutoFrameLayout,"AutoFrameLayout/2[com.zhy.autolayout.Context,com.zhy.autolayout.AttributeSet]",true,37,2,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoFrameLayout.java,com.zhy.autolayout.AutoFrameLayout,AutoFrameLayout/1[com.zhy.autolayout.Context],true,32,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoFrameLayout.java,com.zhy.autolayout.AutoFrameLayout,"AutoFrameLayout/4[com.zhy.autolayout.Context,com.zhy.autolayout.AttributeSet,int,int]",true,47,3,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoFrameLayout.java,com.zhy.autolayout.AutoFrameLayout,"onMeasure/2[int,int]",false,59,1,1,0,1,2,3,6,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\app\src\androidTest\java\zhy\com\autolayout\ApplicationTest.java,zhy.com.autolayout.ApplicationTest,ApplicationTest/0,true,12,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoLinearLayout.java,com.zhy.autolayout.AutoLinearLayout,"onMeasure/2[int,int]",false,40,1,1,0,1,2,3,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoLinearLayout.java,com.zhy.autolayout.AutoLinearLayout,"onLayout/5[boolean,int,int,int,int]",false,49,0,0,0,0,1,1,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoLinearLayout.java,com.zhy.autolayout.AutoLinearLayout,generateLayoutParams/1[com.zhy.autolayout.AttributeSet],false,56,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoLinearLayout.java,com.zhy.autolayout.AutoLinearLayout,"AutoLinearLayout/3[com.zhy.autolayout.Context,com.zhy.autolayout.AttributeSet,int]",true,29,3,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoLinearLayout.java,com.zhy.autolayout.AutoLinearLayout,"AutoLinearLayout/4[com.zhy.autolayout.Context,com.zhy.autolayout.AttributeSet,int,int]",true,34,3,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoLinearLayout.java,com.zhy.autolayout.AutoLinearLayout,"AutoLinearLayout/2[com.zhy.autolayout.Context,com.zhy.autolayout.AttributeSet]",true,24,2,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout\src\main\java\com\zhy\autolayout\AutoLinearLayout.java,com.zhy.autolayout.AutoLinearLayout,AutoLinearLayout/1[com.zhy.autolayout.Context],true,20,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout-widget\src\main\java\com\zhy\autolayout\widget\AutoCardView.java,com.zhy.autolayout.widget.AutoCardView,"onMeasure/2[int,int]",false,40,1,1,0,1,2,3,6,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout-widget\src\main\java\com\zhy\autolayout\widget\AutoCardView.java,com.zhy.autolayout.widget.AutoCardView,"AutoCardView/3[com.zhy.autolayout.widget.Context,com.zhy.autolayout.widget.AttributeSet,int]",true,28,2,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout-widget\src\main\java\com\zhy\autolayout\widget\AutoCardView.java,com.zhy.autolayout.widget.AutoCardView,"AutoCardView/2[com.zhy.autolayout.widget.Context,com.zhy.autolayout.widget.AttributeSet]",true,23,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout-widget\src\main\java\com\zhy\autolayout\widget\AutoCardView.java,com.zhy.autolayout.widget.AutoCardView,AutoCardView/1[com.zhy.autolayout.widget.Context],true,18,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout-widget\src\main\java\com\zhy\autolayout\widget\AutoCardView.java,com.zhy.autolayout.widget.AutoCardView,generateLayoutParams/1[com.zhy.autolayout.widget.AttributeSet],false,34,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\widgetsample\src\main\java\com\zhy\autolayout\test\widgets\MainActivity.java,com.zhy.autolayout.test.widgets.MainActivity$Anonymous1,getCount/0,false,38,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\widgetsample\src\main\java\com\zhy\autolayout\test\widgets\MainActivity.java,com.zhy.autolayout.test.widgets.MainActivity$Anonymous1,getItem/1[int],false,33,2,2,0,2,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\widgetsample\src\main\java\com\zhy\autolayout\test\widgets\MainActivity.java,com.zhy.autolayout.test.widgets.MainActivity$Anonymous1,getPageTitle/1[int],false,43,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidAutoLayout\autolayout-widget\src\main\java\com\zhy\autolayout\widget\AutoRadioGroup.java,com.zhy.autolayout.widget.AutoRadioGroup,"AutoRadioGroup/2[com.zhy.autolayout.widget.Context,com.zhy.autolayout.widget.AttributeSet]",true,24,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
