file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidChromium\app\src\main\java\org\chromium\chrome\browser\externalauth\ExternalAuthUtils.java,org.chromium.chrome.browser.externalauth.ExternalAuthUtils,class,14,19,5,14,40,1,0,36,134,0.9313726,0.0,0.0,17,2,11,2,4,0,15,0,0,0,6,4,2,4,0,0,5,0,6,118,20,1,12,2,5,10,7,22,5,21,2,1,0,0,260,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidChromium\app\src\main\java\org\chromium\chrome\browser\gcore\ChromeGoogleApiClient.java,org.chromium.chrome.browser.gcore.ChromeGoogleApiClient,interface,0,2,2,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidChromium\app\src\main\java\org\chromium\chrome\browser\bookmarks\BookmarkLaunchLocation.java,org.chromium.chrome.browser.bookmarks.BookmarkLaunchLocation,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,7,0,0,9,0,0,0,0,0,0,7,7,0,7,0,0,0,0,36,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidChromium\app\src\main\java\org\chromium\chrome\browser\util\UrlUtilities.java,org.chromium.chrome.browser.util.UrlUtilities,class,4,11,7,4,58,1,0,33,190,0.95,0.0,0.0,20,20,12,8,0,0,12,0,0,0,6,6,0,6,0,0,6,0,32,166,32,1,9,2,1,39,23,30,4,24,3,0,0,0,217,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidChromium\app\src\main\java\org\chromium\chrome\browser\sync\ProfileSyncService.java,org.chromium.chrome.browser.sync.ProfileSyncService$GetAllNodesCallback,innerclass,2,2,0,2,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidChromium\app\src\main\java\org\chromium\chrome\browser\invalidation\InvalidationController.java,org.chromium.chrome.browser.invalidation.InvalidationController$Timer,innerclass,2,2,0,2,8,1,0,6,0,0.5,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,1,37,2,0,3,0,0,0,1,7,2,5,1,1,0,0,61,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidChromium\app\src\main\java\org\chromium\chrome\browser\toolbar\ToolbarModelImpl.java,org.chromium.chrome.browser.toolbar.ToolbarModelImpl,class,13,16,3,13,30,2,0,30,44,0.7708333,0.0,0.0,12,0,11,1,0,0,11,0,0,0,4,0,0,4,0,0,0,0,9,77,13,0,11,0,1,2,0,19,0,15,2,0,0,0,83,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidChromium\app\src\main\java\org\chromium\chrome\browser\widget\findinpage\FindResultBar.java,org.chromium.chrome.browser.widget.findinpage.FindResultBar$Tickmark,innerclass,5,5,0,5,6,1,0,6,0,0.2,0.0,0.0,5,0,1,0,0,4,5,0,0,0,2,0,0,0,0,2,0,0,2,24,4,0,0,0,1,1,6,4,4,4,0,0,0,0,25,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidChromium\app\src\main\java\org\chromium\chrome\browser\tabmodel\TabModelJniBridge.java,org.chromium.chrome.browser.tabmodel.TabModelJniBridge,class,10,17,7,10,45,1,2,16,409,0.8940092,0.0,0.0,31,9,13,11,7,0,20,7,0,0,7,4,0,7,0,0,1,0,8,101,8,0,2,0,0,0,8,13,1,8,1,0,0,0,174,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidChromium\app\src\main\java\org\chromium\chrome\browser\bookmarks\BookmarkDrawerListViewAdapter.java,org.chromium.chrome.browser.bookmarks.BookmarkDrawerListViewAdapter,class,12,15,3,12,48,2,0,35,78,0.8125,0.0,0.0,16,0,8,1,0,7,15,0,0,0,14,6,0,8,0,6,6,0,0,220,19,6,14,0,1,2,16,43,1,28,3,0,1,0,111,0,0
