file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidHttpCapture\app\src\main\java\net\lightbody\bmp\core\har\HarPostDataParam.java,net.lightbody.bmp.core.har.HarPostDataParam,class,1,4,3,1,12,1,0,0,48,0.79999995,0.0,0.0,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,43,5,0,0,0,0,1,0,8,0,5,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidHttpCapture\app\src\main\java\net\lightbody\bmp\mitm\util\SslUtil.java,net.lightbody.bmp.mitm.util.SslUtil,class,7,12,5,7,15,1,0,21,8,0.73333335,0.0,0.0,5,5,5,0,0,0,5,0,0,0,3,3,0,3,0,0,3,0,6,81,9,0,4,4,0,6,3,11,0,10,2,1,0,0,181,1,3
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidHttpCapture\app\src\main\java\cn\darkal\networkdiagnosis\View\RecycleViewDivider.java,cn.darkal.networkdiagnosis.View.RecycleViewDivider,class,11,13,2,11,12,2,0,23,0,0.59999996,0.0,0.0,6,0,6,0,0,0,6,0,0,0,5,3,2,3,0,0,3,0,0,62,0,2,4,0,0,1,9,23,6,23,1,0,0,0,54,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidHttpCapture\app\src\main\java\cn\darkal\networkdiagnosis\Utils\FileUtil.java,cn.darkal.networkdiagnosis.Utils.FileUtil,class,7,11,4,7,86,1,0,72,253,0.0,0.0,0.0,23,23,22,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,21,360,24,10,10,17,8,30,23,62,10,51,4,0,0,0,105,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidHttpCapture\app\src\main\java\net\lightbody\bmp\exception\DecompressionException.java,net.lightbody.bmp.exception.DecompressionException,class,0,1,1,0,4,4,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,14,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidHttpCapture\app\src\main\java\com\google\zxing\decoding\Intents.java,com.google.zxing.decoding.Intents$Share,innerclass,0,0,0,0,1,1,0,0,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,30,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidHttpCapture\app\src\main\java\cn\darkal\networkdiagnosis\Activity\MainActivity.java,cn.darkal.networkdiagnosis.Activity.MainActivity$ButtonOnClick,innerclass,4,4,0,4,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,14,0,0,1,0,0,2,2,2,1,1,2,0,0,0,8,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidHttpCapture\app\src\main\java\net\lightbody\bmp\mitm\CertificateInfoGenerator.java,net.lightbody.bmp.mitm.CertificateInfoGenerator,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidHttpCapture\app\src\main\java\cn\darkal\networkdiagnosis\Activity\MainActivity.java,cn.darkal.networkdiagnosis.Activity.MainActivity$1ConfirmListener,innerclass,6,6,0,6,9,1,0,12,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,36,0,1,2,0,0,2,5,4,0,3,3,0,0,0,34,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidHttpCapture\app\src\main\java\com\netease\LDNetDiagnoService\LDNetPing.java,com.netease.LDNetDiagnoService.LDNetPing,class,4,6,2,4,11,1,0,19,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,3,1,0,2,0,1,2,0,3,84,1,1,3,2,1,10,2,17,3,12,3,0,2,0,54,1,0
