file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppUninstall.java,com.jacky.launcher.app.AppUninstall$Anonymous1,anonymous,5,5,0,5,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,1,2,0,0,0,0,13,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\detail\MediaDetailsActivity.java,com.jacky.launcher.detail.MediaDetailsActivity,class,2,3,1,2,1,2,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,8,0,0,0,0,0,2,0,2,0,2,0,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppDataManage.java,com.jacky.launcher.app.AppDataManage,class,6,8,2,6,24,1,0,22,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,112,3,3,4,3,5,8,10,35,0,29,3,0,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionModel.java,com.jacky.launcher.function.FunctionModel,class,4,8,4,4,9,1,0,4,28,0.7777778,0.0,0.0,9,1,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,39,5,0,0,0,0,1,0,6,0,6,0,0,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\androidTest\java\com\jacky\launcher\ApplicationTest.java,com.jacky.launcher.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppCardPresenter.java,com.jacky.launcher.app.AppCardPresenter,class,7,8,1,7,3,2,0,14,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,36,1,0,0,0,0,0,2,8,0,8,0,1,0,0,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\main\ImgCardPresenter.java,com.jacky.launcher.main.ImgCardPresenter$Anonymous1,anonymous,0,0,0,0,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\adapter\AppUninstallAdapter.java,com.jacky.launcher.adapter.AppUninstallAdapter$Holder,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\main\MainActivity.java,com.jacky.launcher.main.MainActivity$Anonymous2$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\adapter\AppUninstallAdapter.java,com.jacky.launcher.adapter.AppUninstallAdapter,class,8,9,1,8,6,2,0,11,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,38,4,0,1,0,0,0,0,8,0,4,1,0,1,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppCardPresenter.java,com.jacky.launcher.app.AppCardPresenter$Anonymous1,anonymous,0,0,0,0,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionCardPresenter.java,com.jacky.launcher.function.FunctionCardPresenter$Anonymous1,anonymous,0,0,0,0,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,-1,0
