file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppUninstall.java,com.jacky.launcher.app.AppUninstall$Anonymous1,"onItemClick/4[com.jacky.launcher.app.AdapterView<?>,com.jacky.launcher.app.View,int,long]",false,52,5,1,0,1,1,4,5,0,2,4,4,0,0,0,0,0,0,1,0,2,1,0,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\detail\MediaDetailsActivity.java,com.jacky.launcher.detail.MediaDetailsActivity,onCreate/1[com.jacky.launcher.detail.Bundle],false,19,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppDataManage.java,com.jacky.launcher.app.AppDataManage,getAutoRunAppList/0,false,97,5,5,0,5,8,17,33,1,10,0,17,0,0,1,2,1,3,3,3,12,0,3,0,0,0,25,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppDataManage.java,com.jacky.launcher.app.AppDataManage,getLaunchAppList/0,false,23,5,9,1,8,8,21,37,1,9,0,21,0,0,1,1,1,1,3,4,11,0,3,0,0,0,23,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppDataManage.java,com.jacky.launcher.app.AppDataManage,AppDataManage/1[com.jacky.launcher.app.Context],true,19,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppDataManage.java,com.jacky.launcher.app.AppDataManage,getUninstallAppList/0,false,61,5,7,1,6,7,17,36,1,9,0,17,0,0,1,1,1,1,2,3,11,0,3,0,0,0,23,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionModel.java,com.jacky.launcher.function.FunctionModel,setIntent/1[com.jacky.launcher.function.Intent],false,48,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionModel.java,com.jacky.launcher.function.FunctionModel,getFunctionList/1[com.jacky.launcher.function.Context],false,52,4,5,1,4,1,4,9,1,2,1,4,3,1,0,0,0,0,1,0,2,0,0,0,0,0,11,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionModel.java,com.jacky.launcher.function.FunctionModel,getId/0,false,28,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionModel.java,com.jacky.launcher.function.FunctionModel,setName/1[java.lang.String],false,40,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionModel.java,com.jacky.launcher.function.FunctionModel,setId/1[java.lang.String],false,32,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionModel.java,com.jacky.launcher.function.FunctionModel,getIntent/0,false,44,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionModel.java,com.jacky.launcher.function.FunctionModel,setIcon/1[int],false,24,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionModel.java,com.jacky.launcher.function.FunctionModel,getName/0,false,36,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\function\FunctionModel.java,com.jacky.launcher.function.FunctionModel,getIcon/0,false,20,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\androidTest\java\com\jacky\launcher\ApplicationTest.java,com.jacky.launcher.ApplicationTest,ApplicationTest/0,true,10,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppCardPresenter.java,com.jacky.launcher.app.AppCardPresenter,onCreateViewHolder/1[com.jacky.launcher.app.ViewGroup],false,27,3,0,0,0,1,5,17,1,1,1,5,0,0,0,0,0,0,0,0,3,0,0,1,0,0,22,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidTVLauncher\app\src\main\java\com\jacky\launcher\app\AppCardPresenter.java,com.jacky.launcher.app.AppCardPresenter,"onBindViewHolder/2[com.jacky.launcher.app.ViewHolder,java.lang.Object]",false,46,3,2,0,2,1,7,8,0,2,2,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
