file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,getContentLength/1[java.net.HttpURLConnection],false,95,0,2,2,0,2,2,4,1,1,1,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,12,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,"HttpUrlSource/2[java.lang.String,com.danikula.videocache.sourcestorage.SourceInfoStorage]",true,49,2,3,2,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,"readSourceAvailableBytes/3[java.net.HttpURLConnection,long,int]",false,89,1,2,1,1,3,1,4,1,1,3,1,1,1,0,2,0,0,0,0,1,1,0,0,0,0,26,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,toString/0,false,204,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,fetchContentInfo/0,false,133,4,7,2,5,3,9,23,0,4,0,9,2,2,0,1,1,0,3,2,7,3,2,0,0,0,30,2,3,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,length/0,false,68,1,5,4,1,2,1,6,1,0,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,7,33,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,"injectCustomHeaders/2[java.net.HttpURLConnection,java.lang.String]",false,185,1,2,1,1,2,5,6,0,1,2,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,11,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,HttpUrlSource/1[java.lang.String],true,45,1,17,16,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,close/0,false,101,0,6,6,0,4,2,14,0,1,0,2,0,0,0,1,1,0,7,0,1,2,2,0,0,0,59,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,"HttpUrlSource/3[java.lang.String,com.danikula.videocache.sourcestorage.SourceInfoStorage,com.danikula.videocache.headers.HeaderInjector]",true,53,5,7,2,5,2,4,6,0,1,3,4,0,0,0,1,0,0,0,0,4,0,0,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,HttpUrlSource/1[com.danikula.videocache.HttpUrlSource],true,61,1,1,1,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,open/1[long],false,76,4,15,10,5,2,6,13,0,2,1,6,2,3,0,0,1,0,2,1,5,1,1,0,0,0,23,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,getUrl/0,false,199,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,read/1[byte[]],false,120,3,6,3,3,4,1,14,1,0,1,1,0,0,0,1,1,0,5,1,0,3,1,0,0,0,19,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,getMime/0,false,192,1,4,3,1,2,2,6,1,0,0,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,8,33,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpUrlSource.java,com.danikula.videocache.HttpUrlSource,"openConnection/2[long,int]",false,155,2,4,2,2,7,9,30,1,5,2,9,1,1,1,3,0,1,9,4,6,4,2,0,0,0,37,2,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\file\LruDiskUsage.java,com.danikula.videocache.file.LruDiskUsage,countTotalSize/1[java.util.List<java.io.File>],false,55,0,1,1,0,2,1,7,1,1,1,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,7,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\file\LruDiskUsage.java,com.danikula.videocache.file.LruDiskUsage,touch/1[java.io.File],false,24,1,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\file\LruDiskUsage.java,com.danikula.videocache.file.LruDiskUsage,trim/1[java.util.List<java.io.File>],false,36,1,3,1,2,4,7,19,0,5,1,7,2,1,1,0,0,0,4,0,6,2,3,0,0,0,19,2,2,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\file\LruDiskUsage.java,com.danikula.videocache.file.LruDiskUsage,"accept/3[java.io.File,long,int]",false,34,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1028,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\file\LruDiskUsage.java,com.danikula.videocache.file.LruDiskUsage,touchInBackground/1[java.io.File],false,28,2,4,1,3,1,4,5,0,1,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,10,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpProxyCache.java,com.danikula.videocache.HttpProxyCache,"format/2[java.lang.String,java.lang.Object[]]",false,102,0,1,1,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpProxyCache.java,com.danikula.videocache.HttpProxyCache,"processRequest/2[com.danikula.videocache.GetRequest,java.net.Socket]",false,38,2,7,3,4,2,7,12,0,3,2,7,4,2,0,0,0,0,1,0,3,0,1,0,0,0,21,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpProxyCache.java,com.danikula.videocache.HttpProxyCache,newResponseHeaders/1[com.danikula.videocache.GetRequest],false,59,4,6,1,5,8,8,9,1,6,1,8,1,1,0,0,0,0,10,2,6,2,0,0,0,0,26,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpProxyCache.java,com.danikula.videocache.HttpProxyCache,"responseWithCache/2[java.io.OutputStream,long]",false,76,2,2,1,1,2,3,9,0,2,2,3,0,0,1,1,0,1,0,2,3,0,1,0,0,0,12,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpProxyCache.java,com.danikula.videocache.HttpProxyCache,onCachePercentsAvailableChanged/1[int],false,107,2,2,0,2,2,2,5,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpProxyCache.java,com.danikula.videocache.HttpProxyCache,"HttpProxyCache/2[com.danikula.videocache.HttpUrlSource,com.danikula.videocache.file.FileCache]",true,28,2,10,10,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpProxyCache.java,com.danikula.videocache.HttpProxyCache,registerCacheListener/1[com.danikula.videocache.CacheListener],false,34,1,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidVideoCache\library\src\main\java\com\danikula\videocache\HttpProxyCache.java,com.danikula.videocache.HttpProxyCache,isUseCache/1[com.danikula.videocache.GetRequest],false,51,3,3,1,2,3,2,6,1,3,1,2,0,0,0,0,0,0,0,1,3,2,0,0,0,0,23,2,0,false
