file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$AnimationComposer$Anonymous1,onAnimationStart/1[com.daimajia.androidanimations.library.Animator],false,176,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\fading_exits\FadeOutRightAnimator.java,com.daimajia.androidanimations.library.fading_exits.FadeOutRightAnimator,prepare/1[com.daimajia.androidanimations.library.fading_exits.View],false,34,2,1,0,1,1,4,3,0,0,1,4,0,0,0,0,0,0,2,4,0,1,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$AnimationComposer$Anonymous2,onAnimationEnd/1[com.daimajia.androidanimations.library.Animator],false,186,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\fading_entrances\FadeInUpAnimator.java,com.daimajia.androidanimations.library.fading_entrances.FadeInUpAnimator,prepare/1[com.daimajia.androidanimations.library.fading_entrances.View],false,34,2,1,0,1,1,4,3,0,0,1,4,0,0,0,0,0,0,2,4,0,1,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\specials\out\TakingOffAnimator.java,com.daimajia.androidanimations.library.specials.out.TakingOffAnimator,prepare/1[com.daimajia.androidanimations.library.specials.out.View],false,12,2,2,0,2,1,5,3,0,0,1,5,0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\MyActivity.java,com.daimajia.androidanimations.MyActivity,onCreate/1[com.daimajia.androidanimations.Bundle],false,26,5,1,0,1,1,6,37,0,0,1,6,0,0,0,0,0,0,0,0,3,0,0,2,0,0,37,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\MyActivity.java,com.daimajia.androidanimations.MyActivity,onWindowFocusChanged/1[boolean],false,82,2,3,0,3,2,3,5,0,0,1,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\MyActivity.java,com.daimajia.androidanimations.MyActivity,onCreateOptionsMenu/1[com.daimajia.androidanimations.Menu],false,90,1,0,0,0,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\MyActivity.java,com.daimajia.androidanimations.MyActivity,onOptionsItemSelected/1[com.daimajia.androidanimations.MenuItem],false,97,3,0,0,0,2,3,8,2,1,1,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$AnimationComposer$Anonymous3,onAnimationCancel/1[com.daimajia.androidanimations.library.Animator],false,196,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$AnimationComposer$Anonymous4,onAnimationRepeat/1[com.daimajia.androidanimations.library.Animator],false,206,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\attention\WobbleAnimator.java,com.daimajia.androidanimations.library.attention.WobbleAnimator,prepare/1[com.daimajia.androidanimations.library.attention.View],false,34,2,1,0,1,1,4,5,0,2,1,4,0,0,0,0,0,1,2,16,2,8,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\specials\RollInAnimator.java,com.daimajia.androidanimations.library.specials.RollInAnimator,prepare/1[com.daimajia.androidanimations.library.specials.View],false,34,2,1,0,1,1,6,3,0,0,1,6,0,0,0,0,0,1,3,5,0,1,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$EmptyAnimatorListener,onAnimationRepeat/1[com.daimajia.androidanimations.library.Animator],false,96,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$EmptyAnimatorListener,onAnimationStart/1[com.daimajia.androidanimations.library.Animator],false,84,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$EmptyAnimatorListener,onAnimationCancel/1[com.daimajia.androidanimations.library.Animator],false,92,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
