file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidWiFiADB\src\main\java\com\github\pedrovgs\androidwifiadb\adb\ADB.java,com.github.pedrovgs.androidwifiadb.adb.ADB,class,5,10,5,5,19,1,0,21,47,0.73214287,0.0,0.0,14,0,7,7,0,0,7,0,0,0,4,1,0,4,0,0,3,0,0,84,12,2,1,0,0,12,0,22,5,21,1,0,0,0,56,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidWiFiADB\src\main\java\com\github\pedrovgs\androidwifiadb\view\View.java,com.github.pedrovgs.androidwifiadb.view.View,interface,1,4,3,1,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidWiFiADB\src\main\java\com\github\pedrovgs\androidwifiadb\action\AndroidWiFiADBAction.java,com.github.pedrovgs.androidwifiadb.action.AndroidWiFiADBAction$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidWiFiADB\src\main\java\com\github\pedrovgs\androidwifiadb\AndroidWiFiADB.java,com.github.pedrovgs.androidwifiadb.AndroidWiFiADB,class,5,14,9,5,30,1,0,28,0,0.51282054,0.0,0.0,13,0,7,6,0,0,7,0,0,0,3,1,0,3,0,0,3,0,0,117,9,7,0,0,0,0,0,11,0,8,2,0,0,0,45,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidWiFiADB\src\main\java\com\github\pedrovgs\androidwifiadb\window\ConnectDisconnectRenderer.java,com.github.pedrovgs.androidwifiadb.window.ConnectDisconnectRenderer,class,1,2,1,1,2,5,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,1,1,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidWiFiADB\src\test\java\com\github\pedrovgs\androidwifiadb\UnitTest.java,com.github.pedrovgs.androidwifiadb.UnitTest,class,1,4,3,1,1,1,3,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidWiFiADB\src\main\java\com\github\pedrovgs\androidwifiadb\window\AndroidDevicesTableModel.java,com.github.pedrovgs.androidwifiadb.window.AndroidDevicesTableModel,class,2,5,3,2,24,2,0,9,9,0.79,0.0,0.0,10,0,10,0,0,0,10,0,0,0,10,9,0,10,0,0,10,0,0,90,11,0,3,0,0,5,6,22,1,15,1,0,0,0,48,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidWiFiADB\src\main\java\com\github\pedrovgs\androidwifiadb\util\NotificationUtils.java,com.github.pedrovgs.androidwifiadb.util.NotificationUtils,class,2,3,1,2,1,1,0,3,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,0,13,0,0,0,0,0,1,0,2,0,2,0,1,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidWiFiADB\src\main\java\com\github\pedrovgs\androidwifiadb\window\AndroidWiFiADBWindow.java,com.github.pedrovgs.androidwifiadb.window.AndroidWiFiADBWindow$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidWiFiADB\src\main\java\com\github\pedrovgs\androidwifiadb\window\AndroidWiFiADBWindow.java,com.github.pedrovgs.androidwifiadb.window.AndroidWiFiADBWindow$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
