file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AppUpdate\update-app-kotlin\src\test\java\com\vector\update_app_kotlin\ExampleUnitTest.java,com.vector.update_app_kotlin.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AppUpdate\update-app\src\main\java\com\vector\update_app\UpdateAppManager.java,com.vector.update_app.UpdateAppManager$Builder,innerclass,9,9,0,9,42,1,0,18,466,0.9375,0.0,0.0,32,0,32,0,0,0,32,0,0,0,15,0,0,15,0,0,0,0,2,156,32,0,2,1,0,2,2,24,0,17,3,0,0,0,62,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AppUpdate\update-app\src\main\java\com\vector\update_app\utils\ColorUtil.java,com.vector.update_app.utils.ColorUtil,class,3,5,2,3,6,1,0,6,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,67,5,0,0,0,4,0,8,9,8,6,0,0,1,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AppUpdate\sample\src\main\java\com\vector\appupdatedemo\http\OkGoUpdateHttpUtil.java,com.vector.appupdatedemo.http.OkGoUpdateHttpUtil,class,5,6,1,5,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,3,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AppUpdate\update-app\src\main\java\com\vector\update_app\UpdateAppManager.java,com.vector.update_app.UpdateAppManager,class,20,31,11,20,37,1,0,59,18,0.8095237,0.0,0.0,12,1,9,3,0,0,9,0,0,0,21,5,0,18,0,3,5,0,6,348,9,0,9,1,1,14,3,26,1,24,2,4,1,0,79,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AppUpdate\update-app\src\main\java\com\vector\update_app\UpdateAppBean.java,com.vector.update_app.UpdateAppBean,class,2,18,16,2,33,1,0,2,492,0.9411765,0.0,0.0,33,0,33,0,0,0,33,0,0,0,17,1,0,17,0,0,1,0,0,127,26,0,0,0,0,1,1,17,0,17,0,0,0,0,70,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AppUpdate\update-app\src\main\java\com\vector\update_app\view\NumberProgressBar.java,com.vector.update_app.view.NumberProgressBar$ProgressTextVisibility,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AppUpdate\update-app\src\main\java\com\vector\update_app\listener\ExceptionHandler.java,com.vector.update_app.listener.ExceptionHandler,interface,0,5,5,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AppUpdate\update-app\src\main\java\com\vector\update_app\view\NumberProgressBar.java,com.vector.update_app.view.NumberProgressBar,class,12,15,3,12,62,2,0,65,545,0.93504274,0.0,0.0,39,0,29,4,6,0,35,0,0,0,45,13,0,45,0,0,20,0,5,324,18,0,8,0,10,17,54,103,57,56,3,0,2,0,148,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AppUpdate\sample\src\androidTest\java\com\vector\appupdatedemo\ExampleInstrumentedTest.java,com.vector.appupdatedemo.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,21,1,0
