file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BasePopup\app\src\main\java\razerdp\demo\widget\recyclerviewbox\RecyclerViewBox.java,razerdp.demo.widget.recyclerviewbox.RecyclerViewBox$ViewHolder,getPosition/0,false,451,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BasePopup\app\src\main\java\razerdp\demo\widget\recyclerviewbox\RecyclerViewBox.java,razerdp.demo.widget.recyclerviewbox.RecyclerViewBox$ViewHolder,onRecycled/0,false,455,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BasePopup\app\src\main\java\razerdp\demo\widget\recyclerviewbox\RecyclerViewBox.java,razerdp.demo.widget.recyclerviewbox.RecyclerViewBox$ViewHolder,findViewById/1[int],false,463,1,2,2,0,3,1,6,2,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,8,17,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BasePopup\app\src\main\java\razerdp\demo\widget\recyclerviewbox\RecyclerViewBox.java,razerdp.demo.widget.recyclerviewbox.RecyclerViewBox$ViewHolder,ViewHolder/1[razerdp.demo.widget.recyclerviewbox.View],true,447,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BasePopup\app\src\main\java\razerdp\demo\widget\recyclerviewbox\RecyclerViewBox.java,razerdp.demo.widget.recyclerviewbox.RecyclerViewBox$ViewHolder,onDead/0,false,459,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BasePopup\app\src\main\java\razerdp\demo\popup\PopupUpdateTest.java,razerdp.demo.popup.PopupUpdateTest$OnUpdateClickCallback,onClick/0,false,97,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BasePopup\app\src\main\java\razerdp\demo\popup\options\BaseOptionPopup.java,razerdp.demo.popup.options.BaseOptionPopup,BaseOptionPopup/1[razerdp.demo.popup.options.Context],true,18,2,1,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BasePopup\app\src\main\java\razerdp\demo\popup\options\BaseOptionPopup.java,razerdp.demo.popup.options.BaseOptionPopup,onCreateShowAnimation/0,false,24,5,3,0,3,1,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BasePopup\app\src\main\java\razerdp\demo\popup\options\BaseOptionPopup.java,razerdp.demo.popup.options.BaseOptionPopup,setInfo/1[T],false,38,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BasePopup\app\src\main\java\razerdp\demo\popup\options\BaseOptionPopup.java,razerdp.demo.popup.options.BaseOptionPopup,onCreateDismissAnimation/0,false,32,5,3,0,3,1,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
