file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\app\src\main\java\com\github\piasy\biv\example\ImageTypesActivity.java,com.github.piasy.biv.example.ImageTypesActivity,class,14,16,2,14,4,2,0,13,3,0.8888889,0.0,0.0,3,0,0,1,2,0,3,0,0,0,9,5,0,9,0,0,5,0,3,88,1,0,0,0,0,10,3,11,0,12,0,3,1,0,64,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\GlideImageLoader\src\main\java\com\github\piasy\biv\loader\glide\PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,class,7,8,1,7,14,1,0,2,74,0.8461539,0.0,0.0,13,0,12,1,0,0,12,0,1,0,3,0,0,3,0,0,2,0,0,40,1,0,0,0,0,7,0,3,2,3,1,0,0,0,49,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\app\src\main\java\com\github\piasy\biv\example\FrescoLoaderActivity.java,com.github.piasy.biv.example.FrescoLoaderActivity$Anonymous1,anonymous,4,4,0,4,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,1,0,1,0,0,0,0,21,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\BigImageViewer\src\main\java\com\github\piasy\biv\view\BigImageView.java,com.github.piasy.biv.view.BigImageView,class,34,50,16,34,99,2,0,79,553,0.936937,0.0,0.0,39,1,33,5,1,0,34,0,0,0,37,11,11,26,0,0,15,0,9,460,12,0,40,2,0,5,17,69,1,51,4,3,0,0,162,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\BigImageViewer\src\main\java\com\github\piasy\biv\view\BigImageView.java,com.github.piasy.biv.view.BigImageView$Anonymous3$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\BigImageViewer\src\main\java\com\github\piasy\biv\BigImageViewer.java,com.github.piasy.biv.BigImageViewer,class,3,14,11,3,7,1,0,2,2,0.5,0.0,0.0,4,3,3,1,0,0,3,0,0,0,2,1,0,2,0,0,1,0,1,25,2,1,2,0,0,1,0,3,0,3,1,0,0,0,36,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\app\src\main\java\com\github\piasy\biv\example\MySSIV.java,com.github.piasy.biv.example.MySSIV,class,3,4,1,3,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\FrescoImageLoader\src\main\java\com\github\piasy\biv\loader\fresco\FrescoImageLoader.java,com.github.piasy.biv.loader.fresco.FrescoImageLoader,class,17,25,8,17,20,1,0,37,66,0.8076923,0.0,0.0,13,3,7,6,0,0,7,0,0,4,4,0,0,4,0,0,4,0,3,102,4,2,3,0,1,1,3,15,0,14,1,2,0,0,58,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\app\src\main\java\com\github\piasy\biv\example\glide\CustomImageSizeUrlLoaderFactory.java,com.github.piasy.biv.example.glide.CustomImageSizeUrlLoaderFactory,class,8,9,1,8,2,1,0,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,1,2,0,2,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\GlideImageLoader\src\main\java\com\github\piasy\biv\loader\glide\GlideCustomImageLoader.java,com.github.piasy.biv.loader.glide.GlideCustomImageLoader,class,7,9,2,7,7,2,0,7,4,0.5,0.0,0.0,4,2,2,1,1,0,3,0,0,0,1,0,0,1,0,0,1,0,1,31,2,0,1,1,0,0,0,2,0,2,2,0,0,0,24,1,0
