file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\app\src\main\java\com\github\piasy\biv\example\ImageTypesActivity.java,com.github.piasy.biv.example.ImageTypesActivity,(initializer 1),false,65,0,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,8,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\app\src\main\java\com\github\piasy\biv\example\ImageTypesActivity.java,com.github.piasy.biv.example.ImageTypesActivity,onDestroy/0,false,148,2,2,0,2,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\app\src\main\java\com\github\piasy\biv\example\ImageTypesActivity.java,com.github.piasy.biv.example.ImageTypesActivity,getArrayAdapter/1[java.util.List<T>],false,154,2,0,0,0,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\app\src\main\java\com\github\piasy\biv\example\ImageTypesActivity.java,com.github.piasy.biv.example.ImageTypesActivity,onCreate/1[com.github.piasy.biv.example.Bundle],false,83,5,1,0,1,1,7,51,0,2,1,7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,57,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\GlideImageLoader\src\main\java\com\github\piasy\biv\loader\glide\PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,onStart/0,false,87,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\GlideImageLoader\src\main\java\com\github\piasy\biv\loader\glide\PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,onLoadCleared/1[com.github.piasy.biv.loader.glide.Drawable],false,72,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\GlideImageLoader\src\main\java\com\github\piasy\biv\loader\glide\PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,onDestroy/0,false,97,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\GlideImageLoader\src\main\java\com\github\piasy\biv\loader\glide\PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,"onResourceReady/2[java.io.File,com.github.piasy.biv.loader.glide.Transition<? super java.io.File>]",false,35,3,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\GlideImageLoader\src\main\java\com\github\piasy\biv\loader\glide\PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,onStop/0,false,92,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\BigImageViewer\GlideImageLoader\src\main\java\com\github\piasy\biv\loader\glide\PrefetchTarget.java,com.github.piasy.biv.loader.glide.PrefetchTarget,onLoadFailed/1[com.github.piasy.biv.loader.glide.Drawable],false,82,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
