file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CC\cc\src\main\java\com\billy\cc\core\component\GlobalCCInterceptorManager.java,com.billy.cc.core.component.GlobalCCInterceptorManager,class,2,3,1,2,13,1,0,8,1,0.33333334,0.0,0.0,3,3,0,0,0,3,3,0,0,0,1,1,0,0,0,1,1,0,4,46,1,2,3,0,0,5,1,3,3,3,5,0,0,0,26,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CC\demo_component_jsbridge\src\main\debug\java\debug\jsbridge\MyApp.java,debug.jsbridge.MyApp,class,2,2,0,2,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CC\demo_component_b\src\main\java\com\billy\cc\demo\component\b\processor\GetNetworkDataProcessor.java,com.billy.cc.demo.component.b.processor.GetNetworkDataProcessor,class,3,3,0,3,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,1,0,0,0,0,0,0,1,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CC\demo_component_b\src\main\java\com\billy\cc\demo\component\b\processor\ShowActivityProcessor.java,com.billy.cc.demo.component.b.processor.ShowActivityProcessor,class,7,7,0,7,3,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,15,2,0,0,0,1,1,0,2,0,2,1,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CC\demo_base\src\main\java\com\billy\cc\demo\base\GsonParamConverter.java,com.billy.cc.demo.base.GsonParamConverter,class,3,3,0,3,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CC\demo\src\main\java\com\billy\cc\demo\MainActivity.java,com.billy.cc.demo.MainActivity,class,17,20,3,17,28,2,0,32,0,0.6734694,0.0,0.0,7,0,1,4,2,0,3,0,0,0,7,1,1,4,0,2,1,0,17,162,0,1,8,0,0,32,0,21,2,10,2,2,1,0,77,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CC\cc\src\main\java\com\billy\cc\core\component\CCMonitor.java,com.billy.cc.core.component.CCMonitor$TimeoutMonitorThread,innerclass,2,2,0,2,14,2,0,10,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,2,2,1,1,0,0,3,6,1,4,6,0,0,0,19,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CC\demo\src\main\java\com\billy\cc\demo\lifecycle\LifecycleActivity.java,com.billy.cc.demo.lifecycle.LifecycleActivity,class,16,20,4,16,12,2,0,27,2,0.65000004,0.0,0.0,5,0,1,3,1,0,2,0,0,0,4,0,0,1,0,3,0,0,5,70,0,1,2,0,0,10,0,6,0,6,2,2,0,0,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CC\cc\src\main\java\com\billy\cc\core\component\LocalCCInterceptor.java,com.billy.cc.core.component.LocalCCInterceptor,class,9,12,3,9,11,1,0,21,3,0.0,0.0,0.0,3,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,90,4,0,3,1,1,4,0,8,1,7,4,0,2,0,45,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CC\cc\src\main\java\com\billy\cc\core\component\remote\RemoteCC.java,com.billy.cc.core.component.remote.RemoteCC$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
