file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,parentIsToolbarV7/1[uk.co.chrisjenx.calligraphy.View],false,76,3,3,2,1,2,2,3,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,12,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreated/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",false,108,4,9,8,1,3,3,7,1,0,3,3,1,5,0,2,0,0,0,0,0,0,1,0,0,0,14,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreatedInternal/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",false,116,14,17,1,16,13,19,32,1,7,3,19,5,5,0,4,0,2,1,5,9,0,3,0,0,0,32,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"matchesResourceIdName/2[uk.co.chrisjenx.calligraphy.View,java.lang.String]",false,87,1,3,3,0,2,4,5,2,1,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,30,12,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,applyFontToToolbar/1[uk.co.chrisjenx.calligraphy.Toolbar],false,203,2,2,1,1,2,8,12,0,4,1,8,1,6,1,0,0,0,2,1,4,0,1,0,0,0,28,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,CalligraphyFactory/1[int],true,95,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"getDefaultTypeface/2[uk.co.chrisjenx.calligraphy.Context,java.lang.String]",false,168,4,4,1,3,3,5,9,2,0,2,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,isActionBarSubTitle/1[uk.co.chrisjenx.calligraphy.TextView],false,67,4,3,1,2,3,6,8,3,1,1,6,2,1,0,0,0,0,1,0,1,0,1,0,0,0,29,12,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,getStyleForTextView/1[uk.co.chrisjenx.calligraphy.TextView],false,25,4,5,1,4,5,7,15,1,1,1,7,2,3,0,1,0,0,0,9,6,0,1,0,0,0,27,12,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Calligraphy\calligraphy\src\main\java\uk\co\chrisjenx\calligraphy\CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,isActionBarTitle/1[uk.co.chrisjenx.calligraphy.TextView],false,51,4,3,1,2,3,6,8,3,1,1,6,2,1,0,0,0,0,1,0,1,0,1,0,0,0,28,12,0,true
