file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleIndicator\circleindicator\src\main\java\me\relex\circleindicator\SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,class,8,9,1,8,8,1,0,9,10,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,26,3,1,0,0,0,0,2,7,1,6,2,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleIndicator\sample\src\main\java\me\relex\circleindicator\sample\fragment\ViewPager2Fragment.java,me.relex.circleindicator.sample.fragment.ViewPager2Fragment$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleIndicator\sample\src\main\java\me\relex\circleindicator\sample\fragment\LoopRecyclerViewFragment.java,me.relex.circleindicator.sample.fragment.LoopRecyclerViewFragment,class,14,15,1,14,2,2,0,9,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,29,1,0,0,0,0,0,2,5,0,5,0,1,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleIndicator\circleindicator\src\main\java\me\relex\circleindicator\BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,class,18,29,11,18,48,2,3,45,141,0.8571429,0.0,0.0,19,0,12,3,4,0,16,0,0,0,14,1,0,2,12,0,1,0,0,222,6,3,13,0,7,0,28,56,3,33,2,0,2,0,102,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleIndicator\sample\src\main\java\me\relex\circleindicator\sample\LoopRecyclerAdapter.java,me.relex.circleindicator.sample.LoopRecyclerAdapter,class,4,7,3,4,9,2,0,2,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0,1,0,0,0,5,1,2,1,1,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleIndicator\sample\src\main\java\me\relex\circleindicator\sample\fragment\ResetAdapterFragment.java,me.relex.circleindicator.sample.fragment.ResetAdapterFragment,class,10,11,1,10,2,2,0,5,1,0.6666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,1,0,0,21,1,0,0,0,0,0,1,3,0,3,0,1,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleIndicator\circleindicator\src\main\java\me\relex\circleindicator\BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator$ReverseInterpolator,innerclass,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,12,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleIndicator\circleindicator\src\main\java\me\relex\circleindicator\CircleIndicator3.java,me.relex.circleindicator.CircleIndicator3$Anonymous2,anonymous,4,4,0,4,10,1,0,11,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,3,0,0,0,1,5,0,3,1,0,0,0,23,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleIndicator\sample\src\main\java\me\relex\circleindicator\sample\fragment\ViewPager2Fragment.java,me.relex.circleindicator.sample.fragment.ViewPager2Fragment,class,10,11,1,10,2,2,0,9,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,25,1,0,0,0,0,0,2,3,0,4,1,1,0,1,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleIndicator\circleindicator\src\main\java\me\relex\circleindicator\CircleIndicator3.java,me.relex.circleindicator.CircleIndicator3$Anonymous1,anonymous,1,1,0,1,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,0,0,0,1,0,0,0,1,0,0,0,9,-1,0
