file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleProgress\library\src\main\java\com\github\lzyzsd\circleprogress\CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,setTextSize/1[float],false,149,1,1,0,1,1,1,4,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleProgress\library\src\main\java\com\github\lzyzsd\circleprogress\CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,getProgressPercentage/0,false,213,1,2,0,2,1,2,3,1,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleProgress\library\src\main\java\com\github\lzyzsd\circleprogress\CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,getText/0,false,139,0,1,1,0,2,1,6,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleProgress\library\src\main\java\com\github\lzyzsd\circleprogress\CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,setMax/1[int],false,119,1,3,2,1,2,1,6,0,0,1,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleProgress\library\src\main\java\com\github\lzyzsd\circleprogress\CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,getSuggestedMinimumHeight/0,false,204,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleProgress\library\src\main\java\com\github\lzyzsd\circleprogress\CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,setProgress/1[int],false,107,1,5,3,2,2,2,7,0,0,1,2,2,2,0,0,0,0,0,0,2,0,1,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleProgress\library\src\main\java\com\github\lzyzsd\circleprogress\CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,getTextSize/0,false,145,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleProgress\library\src\main\java\com\github\lzyzsd\circleprogress\CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,getSuffixText/0,false,190,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleProgress\library\src\main\java\com\github\lzyzsd\circleprogress\CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onDraw/1[com.github.lzyzsd.circleprogress.Canvas],false,223,2,5,0,5,2,18,19,0,7,1,18,5,2,0,0,0,4,0,12,7,19,1,0,0,0,21,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\CircleProgress\library\src\main\java\com\github\lzyzsd\circleprogress\CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,setDefaultText/0,false,126,1,1,0,1,1,1,4,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
