file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\analyzer\HintAnalyzer.java,org.owasp.dependencycheck.analyzer.HintAnalyzer,class,18,22,4,18,54,2,0,62,24,0.8125,0.0,0.0,8,0,3,3,2,0,5,0,0,0,6,4,0,6,0,0,4,0,4,209,5,11,6,7,0,35,3,28,9,24,5,0,0,6,190,1,6
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DependencyCheck\ant\src\main\java\org\owasp\dependencycheck\ant\logging\AntLoggerAdapter.java,org.owasp.dependencycheck.ant.logging.AntLoggerAdapter,class,4,5,1,4,57,3,0,4,0,0.578125,0.0,0.0,32,0,32,0,0,0,32,0,0,0,2,1,0,2,0,0,1,0,15,166,5,0,25,0,0,0,1,18,0,17,1,0,0,0,64,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\data\update\exception\UpdateException.java,org.owasp.dependencycheck.data.update.exception.UpdateException,class,0,10,10,0,4,3,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\xml\assembly\GrokParser.java,org.owasp.dependencycheck.xml.assembly.GrokParser,class,11,13,2,11,6,1,0,12,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,1,1,0,0,2,0,1,40,2,0,0,3,0,8,0,9,0,9,2,0,0,0,72,1,3
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\central\CentralSearchTest.java,org.owasp.dependencycheck.data.central.CentralSearchTest,class,5,5,0,5,10,2,0,13,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,44,0,0,0,3,0,13,4,3,0,3,1,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\data\nexus\MavenArtifactTest.java,org.owasp.dependencycheck.data.nexus.MavenArtifactTest,class,3,3,0,3,2,2,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,16,0,4,0,4,0,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\data\nvd\ecosystem\StringAhoCorasickDoubleArrayTrie.java,org.owasp.dependencycheck.data.nvd.ecosystem.StringAhoCorasickDoubleArrayTrie,class,5,7,2,5,7,2,0,5,3,1.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,29,2,3,2,0,0,0,5,10,1,7,3,0,0,0,46,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DependencyCheck\core\src\test\java\org\owasp\dependencycheck\analyzer\DependencyBundlingAnalyzerTest.java,org.owasp.dependencycheck.analyzer.DependencyBundlingAnalyzerTest,class,11,11,0,11,7,2,0,13,21,0.85714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,5,181,0,0,0,0,0,76,0,99,0,27,0,1,0,0,68,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\analyzer\RubyGemspecAnalyzer.java,org.owasp.dependencycheck.analyzer.RubyGemspecAnalyzer,class,18,22,4,18,35,3,1,49,30,0.8472222,0.0,0.0,9,0,2,3,4,0,6,0,0,0,8,8,1,7,0,0,8,0,12,144,8,1,13,3,0,34,9,36,3,33,5,0,0,1,166,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DependencyCheck\core\src\main\java\org\owasp\dependencycheck\reporting\ReportGenerator.java,org.owasp.dependencycheck.reporting.ReportGenerator$Format,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
