file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Discovery\discovery-plugin-framework\discovery-plugin-framework-starter\src\main\java\com\nepxion\discovery\plugin\framework\adapter\PluginConfigAdapter.java,com.nepxion.discovery.plugin.framework.adapter.PluginConfigAdapter,getConfigType/0,false,15,1,12,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Discovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-hystrix\src\main\java\com\nepxion\discovery\plugin\strategy\hystrix\context\HystrixContextConcurrencyStrategy.java,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixContextConcurrencyStrategy,getRequestVariable/1[com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixRequestVariableLifecycle<T>],false,66,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Discovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-hystrix\src\main\java\com\nepxion\discovery\plugin\strategy\hystrix\context\HystrixContextConcurrencyStrategy.java,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixContextConcurrencyStrategy,HystrixContextConcurrencyStrategy/0,true,40,4,1,1,0,1,12,13,0,4,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Discovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-hystrix\src\main\java\com\nepxion\discovery\plugin\strategy\hystrix\context\HystrixContextConcurrencyStrategy.java,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixContextConcurrencyStrategy,"getThreadPool/6[com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixThreadPoolKey,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixProperty<java.lang.Integer>,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixProperty<java.lang.Integer>,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixProperty<java.lang.Integer>,java.util.concurrent.TimeUnit,java.util.concurrent.BlockingQueue<java.lang.Runnable>]",false,71,2,0,0,0,1,1,3,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Discovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-hystrix\src\main\java\com\nepxion\discovery\plugin\strategy\hystrix\context\HystrixContextConcurrencyStrategy.java,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixContextConcurrencyStrategy,"getThreadPool/2[com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixThreadPoolKey,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixThreadPoolProperties]",false,76,2,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Discovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-hystrix\src\main\java\com\nepxion\discovery\plugin\strategy\hystrix\context\HystrixContextConcurrencyStrategy.java,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixContextConcurrencyStrategy,getBlockingQueue/1[int],false,61,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Discovery\discovery-plugin-strategy\discovery-plugin-strategy-starter-hystrix\src\main\java\com\nepxion\discovery\plugin\strategy\hystrix\context\HystrixContextConcurrencyStrategy.java,com.nepxion.discovery.plugin.strategy.hystrix.context.HystrixContextConcurrencyStrategy,wrapCallable/1[java.util.concurrent.Callable<T>],false,81,2,1,0,1,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Discovery\discovery-springcloud-examples\discovery-springcloud-example-service\src\main\java\com\nepxion\discovery\plugin\example\service\impl\MyLoadBalanceListener.java,com.nepxion.discovery.plugin.example.service.impl.MyLoadBalanceListener,"onGetServers/2[java.lang.String,java.util.List<? extends com.nepxion.discovery.plugin.example.service.impl.Server>]",false,27,1,0,0,0,3,7,11,0,3,2,7,0,0,1,0,0,0,4,0,3,1,2,0,0,0,10,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Discovery\discovery-springcloud-examples\discovery-springcloud-example-service\src\main\java\com\nepxion\discovery\plugin\example\service\impl\MyLoadBalanceListener.java,com.nepxion.discovery.plugin.example.service.impl.MyLoadBalanceListener,getOrder/0,false,41,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Discovery\discovery-commons\discovery-common\src\main\java\com\nepxion\discovery\common\entity\ResultEntity.java,com.nepxion.discovery.common.entity.ResultEntity,toString/0,false,79,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
