file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiscreteScrollView\sample\src\main\java\com\yarolegovich\discretescrollview\sample\DiscreteScrollViewOptions.java,com.yarolegovich.discretescrollview.sample.DiscreteScrollViewOptions$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiscreteScrollView\sample\src\main\java\com\yarolegovich\discretescrollview\sample\DiscreteScrollViewOptions.java,com.yarolegovich.discretescrollview.sample.DiscreteScrollViewOptions$Anonymous3,anonymous,2,2,0,2,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0,0,1,0,1,2,1,1,1,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiscreteScrollView\sample\src\main\java\com\yarolegovich\discretescrollview\sample\DiscreteScrollViewOptions.java,com.yarolegovich.discretescrollview.sample.DiscreteScrollViewOptions$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiscreteScrollView\library\src\main\java\com\yarolegovich\discretescrollview\DiscreteScrollView.java,com.yarolegovich.discretescrollview.DiscreteScrollView$ScrollListener,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiscreteScrollView\sample\src\main\java\com\yarolegovich\discretescrollview\sample\weather\ForecastAdapter.java,com.yarolegovich.discretescrollview.sample.weather.ForecastAdapter$ViewHolder$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiscreteScrollView\library\src\main\java\com\yarolegovich\discretescrollview\util\ScrollListenerAdapter.java,com.yarolegovich.discretescrollview.util.ScrollListenerAdapter,class,6,8,2,6,6,1,0,2,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,21,2,0,0,0,1,0,0,1,0,1,1,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiscreteScrollView\sample\src\main\java\com\yarolegovich\discretescrollview\sample\MainActivity.java,com.yarolegovich.discretescrollview.sample.MainActivity,class,13,14,1,13,14,2,0,20,13,0.79999995,0.0,0.0,6,0,3,2,1,0,4,0,0,0,5,4,0,5,0,0,4,0,0,67,3,0,2,0,0,4,0,8,0,8,1,0,0,0,61,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiscreteScrollView\library\src\main\java\com\yarolegovich\discretescrollview\transform\DiscreteScrollItemTransformer.java,com.yarolegovich.discretescrollview.transform.DiscreteScrollItemTransformer,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiscreteScrollView\library\src\main\java\com\yarolegovich\discretescrollview\InfiniteScrollAdapter.java,com.yarolegovich.discretescrollview.InfiniteScrollAdapter$DataSetChangeDelegate,innerclass,2,2,0,2,6,2,0,6,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiscreteScrollView\library\src\main\java\com\yarolegovich\discretescrollview\DSVOrientation.java,com.yarolegovich.discretescrollview.DSVOrientation$HorizontalHelper,innerclass,6,6,0,6,19,1,0,11,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,50,10,0,0,0,1,0,3,10,8,10,0,0,0,0,66,12,0
