file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Snapshot,innerclass,5,5,0,5,7,1,0,4,5,0.625,0.0,0.0,6,0,5,1,0,0,5,0,0,0,4,0,0,4,0,0,4,0,2,29,4,1,0,0,0,0,0,4,0,4,1,0,0,0,47,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Editor,innerclass,6,6,0,6,22,3,0,11,14,0.71875,0.0,0.0,8,0,7,1,0,0,7,0,0,0,4,0,0,4,0,0,2,0,2,127,6,0,3,5,1,4,1,10,1,8,3,0,1,0,110,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache,class,6,11,5,6,107,1,0,61,91,0.86039877,0.0,0.0,26,4,12,14,0,0,12,0,0,11,27,13,0,18,0,9,22,0,17,617,21,12,27,5,1,35,27,88,19,67,3,2,3,0,342,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\Util.java,com.jakewharton.disklrucache.Util,class,2,6,4,2,12,1,0,10,6,1.0,0.0,0.0,4,3,0,1,0,3,3,0,0,0,2,2,0,0,0,2,2,0,3,46,1,2,3,2,1,4,3,6,2,6,2,0,0,0,54,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Entry,innerclass,3,3,0,3,10,1,0,6,3,0.8,0.0,0.0,6,0,3,3,0,0,3,0,0,0,5,0,0,5,0,0,2,0,2,40,3,2,1,1,0,4,1,5,3,7,2,0,0,0,54,18,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\StrictLineReader.java,com.jakewharton.disklrucache.StrictLineReader$Anonymous1,anonymous,0,0,0,0,4,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,1,1,0,4,1,2,1,1,0,0,0,12,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\test\java\com\jakewharton\disklrucache\StrictLineReaderTest.java,com.jakewharton.disklrucache.StrictLineReaderTest,class,3,4,1,3,14,1,0,15,3,0.0,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,57,2,2,3,4,1,20,6,7,5,7,5,0,0,0,59,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Editor$FaultHidingOutputStream,innerclass,1,1,0,1,9,3,0,4,10,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,4,0,0,0,4,0,0,1,0,0,0,19,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Anonymous1,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,1,0,0,0,1,1,0,0,2,0,0,0,16,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\test\java\com\jakewharton\disklrucache\DiskLruCacheTest.java,com.jakewharton.disklrucache.DiskLruCacheTest,class,10,11,1,10,108,1,0,71,0,0.69078946,0.0,0.0,76,3,63,13,0,0,63,0,0,0,6,0,1,5,0,0,1,0,47,865,4,8,3,19,2,530,209,121,16,81,2,0,0,0,269,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\StrictLineReader.java,com.jakewharton.disklrucache.StrictLineReader,class,2,5,3,2,23,1,0,7,0,0.54761904,0.0,0.0,6,0,5,1,0,0,5,0,0,0,7,2,0,7,0,0,4,0,0,89,3,3,13,0,2,3,12,17,9,13,5,1,0,0,144,0,0
