file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Snapshot,"Snapshot/4[java.lang.String,long,java.io.InputStream[],long[]]",true,683,1,1,1,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Snapshot,getInputStream/1[int],false,700,0,3,3,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Snapshot,close/0,false,714,1,11,10,1,2,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Snapshot,getString/1[int],false,705,2,10,8,2,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Snapshot,getLength/1[int],false,710,0,8,8,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Snapshot,edit/0,false,695,2,8,7,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Editor,"set/2[int,java.lang.String]",false,808,2,25,23,2,1,3,10,0,1,2,3,1,1,0,0,1,0,0,0,2,0,1,0,0,0,16,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Editor,Editor/1[com.jakewharton.disklrucache.DiskLruCache.Entry],true,735,2,2,2,0,2,0,4,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Editor,commit/0,false,822,1,22,20,2,2,2,10,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,28,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Editor,newOutputStream/1[int],false,776,2,4,2,2,7,2,28,2,2,1,2,0,0,0,1,2,0,4,1,4,1,3,0,0,0,62,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Editor,newInputStream/1[int],false,744,1,4,3,1,4,1,16,3,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,29,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Editor,abortUnlessCommitted/0,false,840,1,1,0,1,3,1,9,0,0,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Editor,getString/1[int],false,764,2,4,2,2,2,2,4,1,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,24,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\DiskLruCache\src\main\java\com\jakewharton\disklrucache\DiskLruCache.java,com.jakewharton.disklrucache.DiskLruCache$Editor,abort/0,false,836,1,10,9,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
