file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\FirebaseUI-Android\app\src\main\java\com\firebase\uidemo\ChooserActivity.java,com.firebase.uidemo.ChooserActivity$ActivityChooserAdapter,"onBindViewHolder/2[com.firebase.uidemo.ChooserActivity.ActivityStarterHolder,int]",false,104,1,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\FirebaseUI-Android\app\src\main\java\com\firebase\uidemo\ChooserActivity.java,com.firebase.uidemo.ChooserActivity$ActivityChooserAdapter,"onCreateViewHolder/2[com.firebase.uidemo.ViewGroup,int]",false,97,2,1,0,1,1,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\FirebaseUI-Android\app\src\main\java\com\firebase\uidemo\ChooserActivity.java,com.firebase.uidemo.ChooserActivity$ActivityChooserAdapter,getItemCount/0,false,109,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\FirebaseUI-Android\auth\src\main\java\com\firebase\ui\auth\ui\idp\WelcomeBackIdpPrompt.java,com.firebase.ui.auth.ui.idp.WelcomeBackIdpPrompt,"createIntent/3[com.firebase.ui.auth.ui.idp.Context,com.firebase.ui.auth.data.model.FlowParameters,com.firebase.ui.auth.data.model.User]",false,65,5,3,2,1,1,1,3,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\FirebaseUI-Android\auth\src\main\java\com\firebase\ui\auth\ui\idp\WelcomeBackIdpPrompt.java,com.firebase.ui.auth.ui.idp.WelcomeBackIdpPrompt,hideProgress/0,false,216,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\FirebaseUI-Android\auth\src\main\java\com\firebase\ui\auth\ui\idp\WelcomeBackIdpPrompt.java,com.firebase.ui.auth.ui.idp.WelcomeBackIdpPrompt,"createIntent/4[com.firebase.ui.auth.ui.idp.Context,com.firebase.ui.auth.data.model.FlowParameters,com.firebase.ui.auth.data.model.User,com.firebase.ui.auth.IdpResponse]",false,73,8,3,2,1,1,2,3,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\FirebaseUI-Android\auth\src\main\java\com\firebase\ui\auth\ui\idp\WelcomeBackIdpPrompt.java,com.firebase.ui.auth.ui.idp.WelcomeBackIdpPrompt,"onActivityResult/3[int,int,com.firebase.ui.auth.ui.idp.Intent]",false,204,2,1,0,1,1,2,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\FirebaseUI-Android\auth\src\main\java\com\firebase\ui\auth\ui\idp\WelcomeBackIdpPrompt.java,com.firebase.ui.auth.ui.idp.WelcomeBackIdpPrompt,onCreate/1[com.firebase.ui.auth.ui.idp.Bundle],false,80,21,22,0,22,8,32,85,1,11,1,32,0,0,0,2,0,0,3,0,20,2,2,2,0,1,71,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\FirebaseUI-Android\auth\src\main\java\com\firebase\ui\auth\ui\idp\WelcomeBackIdpPrompt.java,com.firebase.ui.auth.ui.idp.WelcomeBackIdpPrompt,showProgress/1[int],false,210,0,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\FirebaseUI-Android\database\src\main\java\com\firebase\ui\database\ObservableSnapshotArray.java,com.firebase.ui.database.ObservableSnapshotArray,ObservableSnapshotArray/1[com.firebase.ui.database.SnapshotParser<T>],true,24,4,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
