file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Fragmentation\fragmentation_core\src\main\java\me\yokeyword\fragmentation\queue\Action.java,me.yokeyword.fragmentation.queue.Action,Action/0,true,22,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Fragmentation\fragmentation_core\src\main\java\me\yokeyword\fragmentation\queue\Action.java,me.yokeyword.fragmentation.queue.Action,"Action/2[int,me.yokeyword.fragmentation.queue.FragmentManager]",true,29,1,2,2,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Fragmentation\fragmentation_core\src\main\java\me\yokeyword\fragmentation\queue\Action.java,me.yokeyword.fragmentation.queue.Action,run/0,false,34,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1025,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Fragmentation\fragmentation_core\src\main\java\me\yokeyword\fragmentation\queue\Action.java,me.yokeyword.fragmentation.queue.Action,Action/1[int],true,25,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Fragmentation\demo\src\main\java\me\yokeyword\sample\demo_flow\ui\fragment_swipe_back\RecyclerSwipeBackFragment.java,me.yokeyword.sample.demo_flow.ui.fragment_swipe_back.RecyclerSwipeBackFragment,"onCreateView/3[me.yokeyword.sample.demo_flow.ui.fragment_swipe_back.LayoutInflater,me.yokeyword.sample.demo_flow.ui.fragment_swipe_back.ViewGroup,me.yokeyword.sample.demo_flow.ui.fragment_swipe_back.Bundle]",false,34,6,2,0,2,1,3,5,1,1,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Fragmentation\demo\src\main\java\me\yokeyword\sample\demo_flow\ui\fragment_swipe_back\RecyclerSwipeBackFragment.java,me.yokeyword.sample.demo_flow.ui.fragment_swipe_back.RecyclerSwipeBackFragment,newInstance/0,false,27,1,2,1,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Fragmentation\demo\src\main\java\me\yokeyword\sample\demo_flow\ui\fragment_swipe_back\RecyclerSwipeBackFragment.java,me.yokeyword.sample.demo_flow.ui.fragment_swipe_back.RecyclerSwipeBackFragment,initView/1[me.yokeyword.sample.demo_flow.ui.fragment_swipe_back.View],false,42,7,6,1,5,2,8,22,0,4,1,8,0,0,1,0,0,0,1,2,7,1,1,1,0,0,27,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Fragmentation\demo\src\main\java\me\yokeyword\sample\demo_flow\ui\fragment_swipe_back\BaseSwipeBackFragment.java,me.yokeyword.sample.demo_flow.ui.fragment_swipe_back.BaseSwipeBackFragment,_initToolbar/1[me.yokeyword.sample.demo_flow.ui.fragment_swipe_back.Toolbar],false,14,2,2,2,0,1,3,10,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Fragmentation\demo\src\main\java\me\yokeyword\sample\demo_zhihu\ui\view\BottomBar.java,me.yokeyword.sample.demo_zhihu.ui.view.BottomBar$Anonymous1,onClick/1[me.yokeyword.sample.demo_zhihu.ui.view.View],false,64,3,5,0,5,3,7,14,1,1,1,7,0,0,0,2,0,0,0,0,2,0,1,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Fragmentation\demo\src\main\java\me\yokeyword\sample\demo_flow\ui\fragment\home\ModifyDetailFragment.java,me.yokeyword.sample.demo_flow.ui.fragment.home.ModifyDetailFragment$Anonymous1,onClick/1[me.yokeyword.sample.demo_flow.ui.fragment.home.View],false,71,3,5,0,5,1,6,6,0,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
