file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_SDK\gtrsdk\src\main\java\com\tencent\wstt\gt\PerfDigitalEntry.java,com.tencent.wstt.gt.PerfDigitalEntry$Anonymous1,createFromParcel/1[com.tencent.wstt.gt.Parcel],false,124,2,6,0,6,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_SDK\gtrsdk\src\main\java\com\tencent\wstt\gt\PerfDigitalEntry.java,com.tencent.wstt.gt.PerfDigitalEntry$Anonymous1,newArray/1[int],false,128,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\utils\ToastUtil.java,com.tencent.wstt.gt.utils.ToastUtil$Anonymous3,run/0,false,98,2,166,0,166,2,3,13,0,1,0,3,0,0,0,1,0,0,0,1,3,0,2,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\utils\ToastUtil.java,com.tencent.wstt.gt.utils.ToastUtil$Anonymous2,run/0,false,73,2,166,0,166,3,4,18,0,1,0,4,0,0,0,1,0,0,1,3,3,0,2,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\utils\ToastUtil.java,com.tencent.wstt.gt.utils.ToastUtil$Anonymous1,run/0,false,53,2,166,0,166,2,2,12,0,1,0,2,0,0,0,1,0,0,0,1,3,0,2,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\activity\GTOpSMActivity.java,com.tencent.wstt.gt.activity.GTOpSMActivity$Anonymous8$Anonymous10,"onClick/2[com.tencent.wstt.gt.activity.DialogInterface,int]",false,517,5,40,0,40,1,8,17,0,1,2,8,0,0,0,0,0,0,8,1,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\analysis4\analysis\LogAnalysis.java,com.tencent.wstt.gt.analysis4.analysis.LogAnalysis,"onCollectLog/2[java.lang.String,long]",false,15,3,3,1,2,4,3,10,1,1,2,3,0,0,0,1,0,0,2,0,1,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\analysis4\analysis\LogAnalysis.java,com.tencent.wstt.gt.analysis4.analysis.LogAnalysis,LogAnalysis/1[com.tencent.wstt.gt.analysis4.GTRAnalysisResult],true,11,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\activity\GTPerfFragment.java,com.tencent.wstt.gt.activity.GTPerfFragment,"onCreateOptionsMenu/2[com.tencent.wstt.gt.activity.Menu,com.tencent.wstt.gt.activity.MenuInflater]",false,569,2,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\activity\GTPerfFragment.java,com.tencent.wstt.gt.activity.GTPerfFragment,"onCreateView/3[com.tencent.wstt.gt.activity.LayoutInflater,com.tencent.wstt.gt.activity.ViewGroup,com.tencent.wstt.gt.activity.Bundle]",false,81,14,4,0,4,9,22,121,1,4,3,22,0,0,0,5,0,0,2,3,16,0,2,6,0,0,66,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\activity\GTPerfFragment.java,com.tencent.wstt.gt.activity.GTPerfFragment,onPause/0,false,319,1,1,0,1,2,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\activity\GTPerfFragment.java,com.tencent.wstt.gt.activity.GTPerfFragment,onCreate/1[com.tencent.wstt.gt.activity.Bundle],false,75,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\activity\GTPerfFragment.java,com.tencent.wstt.gt.activity.GTPerfFragment,onResume/0,false,270,1,1,0,1,7,5,32,0,0,0,5,0,0,0,4,0,0,0,2,0,0,2,0,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\plugin\tcpdump\TcpdumpPluginItem.java,com.tencent.wstt.gt.plugin.tcpdump.TcpdumpPluginItem,TcpdumpPluginItem/0,true,33,4,4,1,3,1,4,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\activity\GTLogSearchActivity.java,com.tencent.wstt.gt.activity.GTLogSearchActivity$MsgAdaptor$Anonymous16,"publishResults/2[java.lang.CharSequence,com.tencent.wstt.gt.activity.FilterResults]",false,491,1,1,0,1,3,3,14,0,0,2,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,12,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GT\android\GT_APP\app\src\main\java\com\tencent\wstt\gt\activity\GTLogSearchActivity.java,com.tencent.wstt.gt.activity.GTLogSearchActivity$MsgAdaptor$Anonymous16,performFiltering/1[java.lang.CharSequence],false,468,2,3,0,3,4,9,17,1,5,1,9,0,0,1,1,0,0,0,0,7,0,3,0,0,0,18,4,0,false
