file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GeekNews\app\src\main\java\com\codeest\geeknews\presenter\wechat\WechatPresenter.java,com.codeest.geeknews.presenter.wechat.WechatPresenter,getWechatData/0,false,79,6,7,2,5,1,6,10,0,0,0,6,0,0,0,0,0,0,0,1,2,0,0,1,0,0,24,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GeekNews\app\src\main\java\com\codeest\geeknews\presenter\wechat\WechatPresenter.java,com.codeest.geeknews.presenter.wechat.WechatPresenter,getMoreWechatData/0,false,95,7,7,1,6,2,7,15,0,1,0,7,0,0,0,1,0,0,1,0,2,0,1,1,0,0,24,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GeekNews\app\src\main\java\com\codeest\geeknews\presenter\wechat\WechatPresenter.java,com.codeest.geeknews.presenter.wechat.WechatPresenter,WechatPresenter/1[com.codeest.geeknews.model.DataManager],true,37,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GeekNews\app\src\main\java\com\codeest\geeknews\presenter\wechat\WechatPresenter.java,com.codeest.geeknews.presenter.wechat.WechatPresenter,registerEvent/0,false,47,7,7,2,5,1,8,23,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,3,0,0,23,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GeekNews\app\src\main\java\com\codeest\geeknews\presenter\wechat\WechatPresenter.java,com.codeest.geeknews.presenter.wechat.WechatPresenter,getSearchWechatData/1[java.lang.String],false,114,6,6,1,5,1,6,9,0,0,1,6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,23,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GeekNews\app\src\main\java\com\codeest\geeknews\presenter\wechat\WechatPresenter.java,com.codeest.geeknews.presenter.wechat.WechatPresenter,attachView/1[com.codeest.geeknews.base.contract.wechat.WechatContract.View],false,42,2,1,0,1,1,2,4,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GeekNews\app\src\main\java\com\codeest\geeknews\presenter\zhihu\DailyPresenter.java,com.codeest.geeknews.presenter.zhihu.DailyPresenter$Anonymous2,test/1[java.lang.String],false,76,3,2,0,2,2,3,7,2,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GeekNews\app\src\main\java\com\codeest\geeknews\presenter\zhihu\DailyPresenter.java,com.codeest.geeknews.presenter.zhihu.DailyPresenter$Anonymous1,apply/1[com.codeest.geeknews.presenter.zhihu.CalendarDay],false,60,1,0,0,0,3,7,13,1,4,1,7,0,0,0,0,0,0,2,4,6,4,1,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GeekNews\app\src\main\java\com\codeest\geeknews\presenter\zhihu\DailyPresenter.java,com.codeest.geeknews.presenter.zhihu.DailyPresenter$Anonymous4,apply/1[com.codeest.geeknews.model.bean.DailyBeforeListBean],false,94,3,4,0,4,2,4,7,1,1,1,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\GeekNews\app\src\main\java\com\codeest\geeknews\presenter\zhihu\DailyPresenter.java,com.codeest.geeknews.presenter.zhihu.DailyPresenter$Anonymous3,apply/1[java.lang.String],false,87,4,2,0,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
