file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java,com.morristaedt.mirror.MirrorActivity$Anonymous5$Anonymous6,anonymous,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\NewsModule.java,com.morristaedt.mirror.modules.NewsModule$NewsListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\MoodModule.java,com.morristaedt.mirror.modules.MoodModule$Anonymous1,anonymous,5,5,0,5,3,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,2,5,0,5,1,0,0,0,17,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\requests\YahooStockResponse.java,com.morristaedt.mirror.requests.YahooStockResponse$YahooQueryResponse,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorApplication.java,com.morristaedt.mirror.MirrorApplication,class,3,3,0,3,2,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java,com.morristaedt.mirror.SetUpActivity$Anonymous5,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java,com.morristaedt.mirror.SetUpActivity$Anonymous6,anonymous,5,5,0,5,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,2,0,2,0,0,0,0,17,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java,com.morristaedt.mirror.SetUpActivity$Anonymous7,anonymous,3,3,0,3,6,1,0,8,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,2,0,0,0,0,1,0,0,2,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\CalendarModule.java,com.morristaedt.mirror.modules.CalendarModule,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\requests\ForecastRequest.java,com.morristaedt.mirror.requests.ForecastRequest,interface,4,5,1,4,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,2,2,0,0,0,2,0,0,5,0,0,0,0,0,9,0,2,0,2,0,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\requests\OpenWeatherResponse.java,com.morristaedt.mirror.requests.OpenWeatherResponse,class,2,4,2,2,3,1,0,2,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,25,2,0,1,0,0,2,1,0,0,2,1,0,2,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\configuration\ConfigurationSettings.java,com.morristaedt.mirror.configuration.ConfigurationSettings,class,4,18,14,4,34,1,0,22,288,0.9122256,0.0,0.0,33,2,32,1,0,0,32,0,0,0,29,15,0,29,0,0,15,0,2,180,17,0,0,0,3,19,4,53,7,40,0,0,0,0,107,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java,com.morristaedt.mirror.MirrorActivity$Anonymous8$Anonymous9,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\requests\YahooFinanceRequest.java,com.morristaedt.mirror.requests.YahooFinanceRequest,interface,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\XKCDModule.java,com.morristaedt.mirror.modules.XKCDModule$XKCDListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\requests\OpenWeatherResponse.java,com.morristaedt.mirror.requests.OpenWeatherResponse$Main,innerclass,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,6,1,0,0,0,0,0,1,0,1,1,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\requests\YahooStockResponse.java,com.morristaedt.mirror.requests.YahooStockResponse$YahooQuoteResponse,innerclass,0,0,0,0,2,1,0,5,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,2,14,2,0,0,0,0,2,2,1,0,4,1,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java,com.morristaedt.mirror.SetUpActivity$Anonymous1,anonymous,2,2,0,2,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java,com.morristaedt.mirror.SetUpActivity$Anonymous2,anonymous,2,2,0,2,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java,com.morristaedt.mirror.SetUpActivity,class,17,20,3,17,13,2,0,56,0,0.57258064,0.0,0.0,4,0,0,2,2,0,2,0,0,0,31,2,0,31,0,0,2,0,11,223,0,0,5,1,0,9,4,33,5,33,2,7,0,0,96,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java,com.morristaedt.mirror.SetUpActivity$Anonymous3,anonymous,2,2,0,2,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java,com.morristaedt.mirror.SetUpActivity$Anonymous4,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\TrainScheduleModule.java,com.morristaedt.mirror.modules.TrainScheduleModule,class,0,0,0,0,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,5,0,0,0,0,0,0,0,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\requests\OpenWeatherRequest.java,com.morristaedt.mirror.requests.OpenWeatherRequest,interface,3,4,1,3,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,0,0,0,8,0,2,0,2,0,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\CalendarModule.java,com.morristaedt.mirror.modules.CalendarModule$CalendarListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\ChoresModule.java,com.morristaedt.mirror.modules.ChoresModule,class,1,2,1,1,9,1,0,3,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,23,6,0,4,0,0,0,1,3,0,3,1,0,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\requests\YahooStockResponse.java,com.morristaedt.mirror.requests.YahooStockResponse$YahooResultsResponse,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\NewsModule.java,com.morristaedt.mirror.modules.NewsModule$Anonymous1,anonymous,3,3,0,3,5,1,0,7,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,3,1,0,1,0,6,3,6,1,5,2,0,0,0,23,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\receiver\AlarmReceiver.java,com.morristaedt.mirror.receiver.AlarmReceiver,class,8,10,2,8,3,2,0,10,1,0.5555556,0.0,0.0,3,2,3,0,0,0,3,0,0,0,3,3,0,3,0,0,3,0,0,26,0,0,0,0,0,1,6,12,2,12,0,0,0,0,45,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\XKCDModule.java,com.morristaedt.mirror.modules.XKCDModule,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\XKCDModule.java,com.morristaedt.mirror.modules.XKCDModule$Anonymous1,anonymous,8,8,0,8,11,1,0,11,3,0.0,0.0,0.0,3,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,26,4,0,4,1,1,3,1,3,1,3,2,0,0,0,27,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\requests\ForecastResponse.java,com.morristaedt.mirror.requests.ForecastResponse$ForecastHourly,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java,com.morristaedt.mirror.MirrorActivity$Anonymous2,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,2,0,0,1,0,1,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\YahooFinanceModule.java,com.morristaedt.mirror.modules.YahooFinanceModule$StockListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java,com.morristaedt.mirror.MirrorActivity$Anonymous1,anonymous,0,0,0,0,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\CountdownModule.java,com.morristaedt.mirror.modules.CountdownModule$CountdownListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\DayModule.java,com.morristaedt.mirror.modules.DayModule,class,2,4,2,2,7,1,0,6,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,23,6,0,0,0,0,9,6,3,2,3,1,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\modules\CalendarModule.java,com.morristaedt.mirror.modules.CalendarModule$Anonymous1,anonymous,3,3,0,3,6,1,0,19,0,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,2,0,0,5,44,1,0,1,1,0,10,6,18,4,15,3,0,0,0,42,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java,com.morristaedt.mirror.MirrorActivity$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,-1,0
