file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\app\src\main\java\com\lzy\imagepickerdemo\SelectDialog.java,com.lzy.imagepickerdemo.SelectDialog$Anonymous1,anonymous,2,2,0,2,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\imagepicker\src\main\java\com\lzy\imagepicker\ui\ImageBaseActivity.java,com.lzy.imagepicker.ui.ImageBaseActivity,class,9,14,5,9,9,2,3,16,15,0.8333333,0.0,0.0,6,0,2,1,3,0,5,0,0,0,1,0,0,0,1,0,0,0,2,38,1,0,1,0,0,0,1,6,0,4,1,0,0,0,38,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\imagepicker\src\main\java\com\lzy\imagepicker\adapter\ImageRecyclerAdapter.java,com.lzy.imagepicker.adapter.ImageRecyclerAdapter,class,11,14,3,11,21,3,0,11,14,0.79999995,0.0,0.0,9,0,9,0,0,0,9,0,0,0,10,2,0,10,0,0,2,0,2,145,9,0,7,0,2,0,8,13,2,10,2,0,3,0,56,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\imagepicker\src\main\java\com\lzy\imagepicker\view\FolderPopUpWindow.java,com.lzy.imagepicker.view.FolderPopUpWindow$OnItemClickListener,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\app\src\main\java\com\lzy\imagepickerdemo\wxdemo\ImagePickerAdapter.java,com.lzy.imagepickerdemo.wxdemo.ImagePickerAdapter$OnRecyclerViewItemClickListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\imagepicker\src\main\java\com\lzy\imagepicker\view\SuperCheckBox.java,com.lzy.imagepicker.view.SuperCheckBox,class,3,5,2,3,5,2,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,1,0,1,1,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\imagepicker\src\main\java\com\lzy\imagepicker\loader\ImageLoader.java,com.lzy.imagepicker.loader.ImageLoader,interface,2,12,10,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\app\src\main\java\com\lzy\imagepickerdemo\SelectDialog.java,com.lzy.imagepickerdemo.SelectDialog$SelectDialogListener,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\app\src\main\java\com\lzy\imagepickerdemo\SelectDialog.java,com.lzy.imagepickerdemo.SelectDialog$DialogAdapter,innerclass,6,6,0,6,10,2,0,12,0,0.53333336,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,51,4,0,4,0,0,0,3,8,1,3,1,0,0,0,28,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\imagepicker\src\main\java\com\lzy\imagepicker\view\CropImageView.java,com.lzy.imagepicker.view.CropImageView,class,23,26,3,23,110,3,0,92,513,0.9361841,0.0,0.0,38,0,24,12,2,0,26,0,0,0,40,10,0,40,0,0,8,0,17,514,22,0,26,5,20,6,113,180,114,120,4,1,3,0,208,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\imagepicker\src\main\java\com\lzy\imagepicker\ImagePicker.java,com.lzy.imagepicker.ImagePicker,class,15,36,21,15,68,1,0,42,873,0.9471755,0.0,0.0,47,3,45,2,0,0,45,0,0,0,29,11,11,18,0,0,10,0,5,261,25,2,14,0,0,36,13,68,2,37,4,0,1,0,124,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\app\src\main\java\com\lzy\imagepickerdemo\imageloader\UILImageLoader.java,com.lzy.imagepickerdemo.imageloader.UILImageLoader,class,4,5,1,4,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,2,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ImagePicker\imagepicker\src\main\java\com\lzy\imagepicker\ui\ImagePreviewActivity.java,com.lzy.imagepicker.ui.ImagePreviewActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3,1,2,0,0,0,0,13,-1,0
