file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\InfiniteCycleViewPager\infinitecycleviewpager\src\main\java\com\gigamole\infinitecycleviewpager\VerticalViewPager.java,com.gigamole.infinitecycleviewpager.VerticalViewPager$MyAccessibilityDelegate,canScroll/0,false,2782,0,2,2,0,3,1,3,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,5,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\InfiniteCycleViewPager\infinitecycleviewpager\src\main\java\com\gigamole\infinitecycleviewpager\VerticalViewPager.java,com.gigamole.infinitecycleviewpager.VerticalViewPager$MyAccessibilityDelegate,"performAccessibilityAction/3[com.gigamole.infinitecycleviewpager.View,int,com.gigamole.infinitecycleviewpager.Bundle]",false,2759,3,2,0,2,6,3,24,6,0,3,3,0,0,0,0,0,0,0,4,0,2,2,0,0,0,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\InfiniteCycleViewPager\infinitecycleviewpager\src\main\java\com\gigamole\infinitecycleviewpager\VerticalViewPager.java,com.gigamole.infinitecycleviewpager.VerticalViewPager$MyAccessibilityDelegate,"onInitializeAccessibilityEvent/2[com.gigamole.infinitecycleviewpager.View,com.gigamole.infinitecycleviewpager.AccessibilityEvent]",false,2732,5,1,0,1,3,11,11,0,1,2,11,1,1,0,2,0,0,0,0,1,0,1,0,0,0,16,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\InfiniteCycleViewPager\infinitecycleviewpager\src\main\java\com\gigamole\infinitecycleviewpager\VerticalViewPager.java,com.gigamole.infinitecycleviewpager.VerticalViewPager$MyAccessibilityDelegate,"onInitializeAccessibilityNodeInfo/2[com.gigamole.infinitecycleviewpager.View,com.gigamole.infinitecycleviewpager.AccessibilityNodeInfoCompat]",false,2746,5,2,0,2,3,7,11,0,0,2,7,1,1,0,0,0,0,0,2,0,0,1,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\InfiniteCycleViewPager\infinitecycleviewpager\src\main\java\com\gigamole\infinitecycleviewpager\VerticalInfiniteCycleViewPager.java,com.gigamole.infinitecycleviewpager.VerticalInfiniteCycleViewPager,"setPageTransformer/2[boolean,ViewPager.PageTransformer]",false,116,2,1,0,1,2,2,3,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\InfiniteCycleViewPager\infinitecycleviewpager\src\main\java\com\gigamole\infinitecycleviewpager\VerticalInfiniteCycleViewPager.java,com.gigamole.infinitecycleviewpager.VerticalInfiniteCycleViewPager,VerticalInfiniteCycleViewPager/1[com.gigamole.infinitecycleviewpager.Context],true,19,2,1,0,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\InfiniteCycleViewPager\infinitecycleviewpager\src\main\java\com\gigamole\infinitecycleviewpager\VerticalInfiniteCycleViewPager.java,com.gigamole.infinitecycleviewpager.VerticalInfiniteCycleViewPager,setMinPageScaleOffset/1[float],false,37,1,1,0,1,2,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\InfiniteCycleViewPager\infinitecycleviewpager\src\main\java\com\gigamole\infinitecycleviewpager\VerticalInfiniteCycleViewPager.java,com.gigamole.infinitecycleviewpager.VerticalInfiniteCycleViewPager,invalidateTransformer/0,false,247,1,1,0,1,2,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\InfiniteCycleViewPager\infinitecycleviewpager\src\main\java\com\gigamole\infinitecycleviewpager\VerticalInfiniteCycleViewPager.java,com.gigamole.infinitecycleviewpager.VerticalInfiniteCycleViewPager,"init/2[com.gigamole.infinitecycleviewpager.Context,com.gigamole.infinitecycleviewpager.AttributeSet]",false,29,3,3,2,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\InfiniteCycleViewPager\infinitecycleviewpager\src\main\java\com\gigamole\infinitecycleviewpager\VerticalInfiniteCycleViewPager.java,com.gigamole.infinitecycleviewpager.VerticalInfiniteCycleViewPager,getMaxPageScale/0,false,59,1,1,0,1,2,1,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,1,0,false
