file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\statistic\SuppressedList.java,de.halirutan.keypromoterx.statistic.SuppressedList,updateData/0,false,96,1,3,2,1,2,3,6,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\statistic\SuppressedList.java,de.halirutan.keypromoterx.statistic.SuppressedList,SuppressedList/0,true,44,4,5,1,4,1,5,27,0,0,0,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,25,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\statistic\SuppressedList.java,de.halirutan.keypromoterx.statistic.SuppressedList,propertyChange/1[java.beans.PropertyChangeEvent],false,90,1,1,0,1,2,3,5,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,35,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\statistic\SuppressedList.java,de.halirutan.keypromoterx.statistic.SuppressedList,getModel/0,false,79,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\statistic\SuppressedList.java,de.halirutan.keypromoterx.statistic.SuppressedList,unsuppressItem/0,false,103,2,2,1,1,2,2,6,0,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\KeyPromoterToolWindowFactory.java,de.halirutan.keypromoterx.KeyPromoterToolWindowFactory,"createToolWindowContent/2[de.halirutan.keypromoterx.Project,de.halirutan.keypromoterx.ToolWindow]",false,44,7,2,0,2,1,7,9,0,4,2,7,0,0,0,0,0,0,1,0,4,0,0,0,0,0,16,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\SnoozeNotifier.java,de.halirutan.keypromoterx.SnoozeNotifier$Handler,snoozeAction/1[boolean],false,68,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\KeyPromoterAction.java,de.halirutan.keypromoterx.KeyPromoterAction,"KeyPromoterAction/3[de.halirutan.keypromoterx.AnAction,de.halirutan.keypromoterx.AnActionEvent,de.halirutan.keypromoterx.KeyPromoterAction.ActionSource]",true,84,6,4,1,3,3,9,13,0,1,3,9,1,1,0,2,0,0,4,0,6,0,1,0,0,0,35,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\KeyPromoterAction.java,de.halirutan.keypromoterx.KeyPromoterAction,analyzeActionButton/1[de.halirutan.keypromoterx.ActionButton],false,102,3,2,1,1,1,2,5,0,1,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,18,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\KeyPromoterAction.java,de.halirutan.keypromoterx.KeyPromoterAction,analyzeActionMenuItem/1[de.halirutan.keypromoterx.ActionMenuItem],false,113,4,3,1,2,3,6,15,0,3,1,6,2,1,0,1,1,0,0,0,6,0,2,0,0,0,27,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\KeyPromoterAction.java,de.halirutan.keypromoterx.KeyPromoterAction,isValid/0,false,223,0,1,1,0,3,1,3,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,27,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\KeyPromoterAction.java,de.halirutan.keypromoterx.KeyPromoterAction,getDescription/0,false,210,0,9,9,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\KeyPromoterAction.java,de.halirutan.keypromoterx.KeyPromoterAction,getShortcut/0,false,200,0,3,3,0,5,2,9,2,0,0,2,0,0,0,1,0,0,2,2,1,1,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\KeyPromoterAction.java,de.halirutan.keypromoterx.KeyPromoterAction,findActionField/1[java.lang.Object],false,160,2,2,1,1,3,5,14,2,1,1,5,0,0,0,1,0,0,0,0,2,0,2,0,0,0,26,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\IntelliJ-Key-Promoter-X\src\de\halirutan\keypromoterx\KeyPromoterAction.java,de.halirutan.keypromoterx.KeyPromoterAction,isMutedByDefault/0,false,235,0,1,1,0,2,3,6,2,0,0,3,0,0,0,0,0,1,2,0,0,0,1,0,0,0,22,0,0,true
