file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JCSprout\src\main\java\com\crossoverjie\algorithm\LinkLoop.java,com.crossoverjie.algorithm.LinkLoop,class,1,2,1,1,5,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,4,1,4,0,0,0,0,6,0,4,2,0,1,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JCSprout\src\main\java\com\crossoverjie\concurrent\future\Callable.java,com.crossoverjie.concurrent.future.Callable,interface,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JCSprout\src\main\java\com\crossoverjie\concurrent\Singleton.java,com.crossoverjie.concurrent.Singleton,class,1,2,1,1,4,1,0,0,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,15,1,0,2,0,0,0,0,1,0,1,3,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JCSprout\src\test\java\com\crossoverjie\reference\ReferenceTest.java,com.crossoverjie.reference.ReferenceTest,class,3,4,1,3,10,1,0,9,45,0.0,0.0,0.0,10,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,61,0,0,0,0,0,16,6,8,0,5,0,0,1,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JCSprout\src\main\java\com\crossoverjie\disruptor\LongEventMain.java,com.crossoverjie.disruptor.LongEventMain,class,8,8,0,8,4,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,3,0,0,0,4,13,12,0,12,2,0,1,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JCSprout\src\main\java\com\crossoverjie\actual\LRUAbstractMap.java,com.crossoverjie.actual.LRUAbstractMap,class,5,8,3,5,28,2,0,24,29,0.8090909,0.0,0.0,11,0,7,4,0,0,7,0,0,0,10,5,0,10,0,0,5,0,2,177,12,3,16,0,3,3,12,41,5,29,3,0,2,0,77,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JCSprout\src\main\java\com\crossoverjie\algorithm\LinkLoop.java,com.crossoverjie.algorithm.LinkLoop$Node,innerclass,1,1,0,1,2,1,0,0,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JCSprout\src\main\java\com\crossoverjie\basic\CollectionsTest.java,com.crossoverjie.basic.CollectionsTest,class,9,10,1,9,7,1,0,6,0,0.25,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,25,0,3,0,0,0,3,9,8,0,8,1,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JCSprout\src\main\java\com\crossoverjie\design\pattern\factorymethod\Main.java,com.crossoverjie.design.pattern.factorymethod.Main,class,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,2,0,2,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JCSprout\src\main\java\com\crossoverjie\spring\processor\SpringLifeCycleProcessor.java,com.crossoverjie.spring.processor.SpringLifeCycleProcessor,class,4,5,1,4,4,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,15,2,0,0,0,0,4,0,1,0,1,1,0,0,0,27,1,2
