file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JGrowing\分析设计\设计模式\几种单例模式的Java实现\src\main\java\org\xuyuji\pattern\singleton\HungerSingleton.java,org.xuyuji.pattern.singleton.HungerSingleton,HungerSingleton/0,true,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JGrowing\分析设计\设计模式\几种单例模式的Java实现\src\main\java\org\xuyuji\pattern\singleton\HungerSingleton.java,org.xuyuji.pattern.singleton.HungerSingleton,getInstance/0,false,10,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JGrowing\分析设计\设计模式\几种单例模式的Java实现\src\test\java\org\xuyuji\pattern\singleton\ReflectionTest.java,org.xuyuji.pattern.singleton.ReflectionTest,testDestroyEnumSingleton2/0,false,37,2,0,0,0,1,4,6,0,2,0,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JGrowing\分析设计\设计模式\几种单例模式的Java实现\src\test\java\org\xuyuji\pattern\singleton\ReflectionTest.java,org.xuyuji.pattern.singleton.ReflectionTest,testDestroyHungerSingleton/0,false,13,2,1,0,1,1,5,6,0,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JGrowing\分析设计\设计模式\几种单例模式的Java实现\src\test\java\org\xuyuji\pattern\singleton\ReflectionTest.java,org.xuyuji.pattern.singleton.ReflectionTest,testDestroyHungerStaticSingleton/0,false,21,2,1,0,1,1,5,6,0,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JGrowing\分析设计\设计模式\几种单例模式的Java实现\src\test\java\org\xuyuji\pattern\singleton\ReflectionTest.java,org.xuyuji.pattern.singleton.ReflectionTest,testDestroyEnumSingleton/0,false,29,2,0,0,0,1,4,6,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JGrowing\分析设计\设计模式\几种单例模式的Java实现\src\main\java\org\xuyuji\pattern\singleton\ThreadLocalSingleton.java,org.xuyuji.pattern.singleton.ThreadLocalSingleton,ThreadLocalSingleton/0,true,12,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JGrowing\分析设计\设计模式\几种单例模式的Java实现\src\main\java\org\xuyuji\pattern\singleton\ThreadLocalSingleton.java,org.xuyuji.pattern.singleton.ThreadLocalSingleton,getInstance/0,false,15,1,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JGrowing\分析设计\设计模式\几种单例模式的Java实现\src\test\java\org\xuyuji\pattern\singleton\ConcurrentTest.java,org.xuyuji.pattern.singleton.ConcurrentTest$Anonymous1,call/0,false,49,1,4,0,4,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JGrowing\分析设计\设计模式\几种单例模式的Java实现\src\main\java\org\xuyuji\pattern\singleton\LazyThreadSafeSingleton.java,org.xuyuji.pattern.singleton.LazyThreadSafeSingleton,getInstance/0,false,10,1,1,0,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,14,41,0,false
