file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JKeyboardPanelSwitch\library\src\main\java\cn\dreamtobe\kpswitch\util\KeyboardUtil.java,cn.dreamtobe.kpswitch.util.KeyboardUtil$OnKeyboardShowingListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JKeyboardPanelSwitch\app\src\main\java\cn\dreamtobe\kpswitch\demo\activity\MainActivity.java,cn.dreamtobe.kpswitch.demo.activity.MainActivity,class,18,19,1,18,10,2,0,18,26,0.7916667,0.0,0.0,8,0,5,2,1,0,6,0,0,0,12,4,4,8,0,0,4,0,0,94,3,0,0,0,0,4,0,19,0,18,1,2,0,0,98,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JKeyboardPanelSwitch\library\src\main\java\cn\dreamtobe\kpswitch\widget\KPSwitchPanelRelativeLayout.java,cn.dreamtobe.kpswitch.widget.KPSwitchPanelRelativeLayout,class,9,10,1,9,15,2,0,11,19,0.35714287,0.0,0.0,14,0,12,1,1,0,13,0,0,0,1,0,0,1,0,0,0,0,0,53,3,0,0,0,0,0,2,2,0,2,1,0,0,0,66,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JKeyboardPanelSwitch\library\src\main\java\cn\dreamtobe\kpswitch\util\ViewUtil.java,cn.dreamtobe.kpswitch.util.ViewUtil,class,6,13,7,6,11,1,0,16,6,0.75,0.0,0.0,4,4,3,0,0,1,4,0,0,0,1,1,0,1,0,0,1,0,4,41,9,0,5,0,3,2,3,5,1,3,1,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JKeyboardPanelSwitch\library\src\main\java\cn\dreamtobe\kpswitch\util\KPSwitchConflictUtil.java,cn.dreamtobe.kpswitch.util.KPSwitchConflictUtil$SwitchClickListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JKeyboardPanelSwitch\library\src\main\java\cn\dreamtobe\kpswitch\widget\KPSwitchRootRelativeLayout.java,cn.dreamtobe.kpswitch.widget.KPSwitchRootRelativeLayout,class,6,7,1,6,6,2,0,4,13,0.6666667,0.0,0.0,6,0,4,1,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,53,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JKeyboardPanelSwitch\library\src\main\java\cn\dreamtobe\kpswitch\widget\KPSwitchFSPanelRelativeLayout.java,cn.dreamtobe.kpswitch.widget.KPSwitchFSPanelRelativeLayout,class,10,11,1,10,8,2,0,4,22,0.625,0.0,0.0,8,0,7,1,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,31,0,0,0,0,0,0,0,1,0,1,0,0,0,0,57,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JKeyboardPanelSwitch\library\src\main\java\cn\dreamtobe\kpswitch\handler\KPSwitchRootLayoutHandler.java,cn.dreamtobe.kpswitch.handler.KPSwitchRootLayoutHandler,class,10,14,4,10,20,1,0,17,0,0.44444445,0.0,0.0,3,0,2,1,0,0,2,0,0,0,6,1,0,6,0,0,4,0,6,73,10,1,5,0,2,8,6,16,4,12,3,0,0,0,62,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JKeyboardPanelSwitch\library\src\main\java\cn\dreamtobe\kpswitch\util\KeyBoardSharedPreferences.java,cn.dreamtobe.kpswitch.util.KeyBoardSharedPreferences,class,3,5,2,3,5,1,0,6,1,0.5555556,0.0,0.0,3,3,2,1,0,0,2,0,0,0,3,3,0,3,0,0,2,0,2,21,3,0,2,0,0,2,0,3,0,3,3,0,0,0,37,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JKeyboardPanelSwitch\library\src\main\java\cn\dreamtobe\kpswitch\widget\KPSwitchRootLinearLayout.java,cn.dreamtobe.kpswitch.widget.KPSwitchRootLinearLayout,class,6,7,1,6,6,2,0,4,13,0.6666667,0.0,0.0,6,0,4,1,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,53,1,0
