file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JiaoZiVideoPlayer\app\src\main\java\cn\jzvd\demo\CustomMedia\JZMediaExo.java,cn.jzvd.demo.CustomMedia.JZMediaExo,class,35,37,2,35,42,2,0,38,238,0.82142854,0.0,0.0,28,0,28,0,0,0,28,0,0,0,4,0,0,4,0,0,0,0,1,188,6,0,7,0,0,11,10,26,3,17,3,0,1,6,130,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JiaoZiVideoPlayer\app\src\main\java\cn\jzvd\demo\CustomJzvd\JzvdStdVolumeAfterFullscreen.java,cn.jzvd.demo.CustomJzvd.JzvdStdVolumeAfterFullscreen,class,4,5,1,4,9,4,0,5,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,0,0,0,8,0,0,0,1,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JiaoZiVideoPlayer\app\src\main\java\cn\jzvd\demo\ActivityListView.java,cn.jzvd.demo.ActivityListView,class,10,11,1,10,7,2,0,12,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,1,0,0,0,0,1,0,0,0,38,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JiaoZiVideoPlayer\app\src\main\java\cn\jzvd\demo\CustomJzvd\JzvdStdTinyWindow.java,cn.jzvd.demo.CustomJzvd.JzvdStdTinyWindow,class,8,12,4,8,7,4,0,13,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,3,0,1,3,2,4,2,3,1,0,0,0,42,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JiaoZiVideoPlayer\app\src\main\java\cn\jzvd\demo\AdapterListView.java,cn.jzvd.demo.AdapterListView,class,7,9,2,7,6,2,0,10,4,0.64000005,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,1,1,0,0,4,1,0,0,42,4,0,1,0,0,1,0,11,0,7,1,0,1,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JiaoZiVideoPlayer\app\src\main\java\cn\jzvd\demo\CustomJzvd\MyJzvdStd.java,cn.jzvd.demo.CustomJzvd.MyJzvdStd,class,6,7,1,6,34,4,0,28,378,0.0,0.0,0.0,28,0,28,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,114,2,0,3,0,0,11,0,2,0,2,3,0,0,0,61,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JiaoZiVideoPlayer\jiaozivideoplayer\src\main\java\cn\jzvd\JZTextureView.java,cn.jzvd.JZTextureView,class,4,5,1,4,43,2,0,13,0,0.4,0.0,0.0,5,0,4,0,1,0,5,0,0,0,3,1,2,0,1,0,1,0,0,123,0,0,28,0,10,8,22,54,34,17,3,0,0,0,56,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JiaoZiVideoPlayer\app\src\main\java\cn\jzvd\demo\ActivityTinyWindow.java,cn.jzvd.demo.ActivityTinyWindow,class,7,8,1,7,9,2,0,23,19,0.71428573,0.0,0.0,7,0,5,0,2,0,7,0,0,0,1,0,0,0,0,1,0,0,2,42,2,0,0,0,0,6,0,1,0,1,1,0,0,0,52,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JiaoZiVideoPlayer\app\src\main\java\cn\jzvd\demo\ActivityListViewNormal.java,cn.jzvd.demo.ActivityListViewNormal$Anonymous1,anonymous,2,2,0,2,7,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,2,0,2,0,2,2,2,2,3,0,0,0,19,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JiaoZiVideoPlayer\app\src\main\java\cn\jzvd\demo\ActivityListViewFragmentViewPager.java,cn.jzvd.demo.ActivityListViewFragmentViewPager$MyAdapter,innerclass,4,4,0,4,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
