file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous20,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,513,1,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$TrustAllSSLSocketFactory,createSocket/0,false,628,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$TrustAllSSLSocketFactory,TrustAllSSLSocketFactory/1[java.security.KeyStore],true,603,0,3,2,1,1,1,14,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,25,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$TrustAllSSLSocketFactory,"createSocket/4[java.net.Socket,java.lang.String,int,boolean]",false,623,0,0,0,0,1,2,3,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main,processXutils/1[java.lang.ClassLoader],false,419,2,3,1,2,2,3,23,0,0,1,3,0,0,0,0,1,0,8,0,0,2,1,2,0,0,37,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main,"getCCM/2[java.lang.Object,just.trust.me.HttpParams]",false,406,3,3,1,2,3,5,10,3,1,2,5,2,1,0,0,0,0,2,0,1,0,1,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main,getSCCM/0,false,356,6,3,2,1,2,6,17,2,4,0,6,0,0,0,0,1,0,2,2,4,0,1,0,0,0,25,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main,handleLoadPackage/1[de.robv.android.xposed.callbacks.XC_LoadPackage.LoadPackageParam],false,64,16,6,0,6,5,6,156,0,0,1,6,2,1,0,0,2,0,47,0,1,14,2,15,0,0,82,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main,getTSCCM/1[just.trust.me.HttpParams],false,381,7,2,1,1,2,6,17,2,4,1,6,0,0,0,0,1,0,2,2,4,0,1,0,0,0,30,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main,processOkHttp/1[java.lang.ClassLoader],false,442,2,3,1,2,7,3,62,0,0,1,3,0,0,0,0,6,0,34,0,0,9,1,3,0,0,40,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main,hasTrustManagerImpl/0,false,326,0,2,2,0,2,1,9,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main,hasDefaultHTTPClient/0,false,336,0,1,1,0,2,1,9,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main,processHttpClientAndroidLib/1[java.lang.ClassLoader],false,553,1,2,1,1,2,3,10,0,0,1,3,0,0,0,0,1,0,6,0,0,2,1,0,0,0,22,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main,getEmptySSLFactory/0,false,345,1,2,1,1,2,3,10,2,1,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,21,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\androidTest\java\me\trust\just\justtrustme\ApplicationTest.java,me.trust.just.justtrustme.ApplicationTest,ApplicationTest/0,true,10,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$TrustAllSSLSocketFactory$Anonymous21,"checkServerTrusted/2[java.security.cert.X509Certificate[],java.lang.String]",false,611,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$TrustAllSSLSocketFactory$Anonymous21,"checkClientTrusted/2[java.security.cert.X509Certificate[],java.lang.String]",false,608,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$TrustAllSSLSocketFactory$Anonymous21,getAcceptedIssuers/0,false,614,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous9,beforeHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,232,2,3,0,3,1,0,5,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,14,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous8,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,215,2,1,0,1,1,1,4,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$ImSureItsLegitHostnameVerifier,"verify/2[java.lang.String,javax.net.ssl.SSLSession]",false,592,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous19,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,494,1,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous15,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,311,1,1,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous1,afterHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,77,3,14,0,14,1,2,4,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous16,beforeHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,425,2,3,0,3,1,2,4,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous3,afterHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,101,4,14,0,14,1,2,5,0,1,1,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,13,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous17,beforeHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,432,2,3,0,3,1,1,4,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous2,afterHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,89,4,14,0,14,1,2,4,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,12,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous18,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,459,1,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous5,afterHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,127,4,14,0,14,2,5,15,0,6,1,5,0,0,0,1,0,0,7,4,8,0,1,0,0,0,30,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous11,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,269,1,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous12,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,280,1,1,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous4,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,113,1,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous7,afterHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,176,4,14,0,14,4,5,8,1,2,1,5,0,0,0,0,0,0,1,2,2,0,2,0,0,0,19,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous13,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,293,1,1,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous6,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,157,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous14,replaceHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,302,1,1,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$Anonymous10,afterHookedMethod/1[de.robv.android.xposed.XC_MethodHook.MethodHookParam],false,248,3,14,0,14,1,4,6,0,1,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$ImSureItsLegitTrustManager,"checkServerTrusted/2[java.security.cert.X509Certificate[],java.lang.String]",false,575,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$ImSureItsLegitTrustManager,"checkServerTrusted/3[java.security.cert.X509Certificate[],java.lang.String,java.lang.String]",false,578,0,0,0,0,1,0,4,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$ImSureItsLegitTrustManager,getAcceptedIssuers/0,false,584,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\JustTrustMe\app\src\main\java\just\trust\me\Main.java,just.trust.me.Main$ImSureItsLegitTrustManager,"checkClientTrusted/2[java.security.cert.X509Certificate[],java.lang.String]",false,571,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
