file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LQRWeChat\app\src\main\java\com\lqr\wechat\ui\activity\MyInfoActivity.java,com.lqr.wechat.ui.activity.MyInfoActivity,class,16,17,1,16,17,3,0,19,60,0.875,0.0,0.0,12,0,7,2,3,0,10,0,0,0,6,1,1,0,0,5,1,0,2,75,5,0,3,0,0,1,3,5,0,14,4,1,0,4,66,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LQRWeChat\app\src\main\java\cn\sharesdk\onekeyshare\themes\classic\IndicatorView.java,cn.sharesdk.onekeyshare.themes.classic.IndicatorView,class,4,6,2,4,8,2,0,8,2,0.65,0.0,0.0,4,0,3,0,1,0,4,0,0,0,5,3,0,5,0,0,3,0,0,44,1,1,2,0,3,0,13,14,15,14,2,0,0,0,50,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LQRWeChat\app\src\main\java\com\lqr\wechat\ui\presenter\MyLocationAtPresenter.java,com.lqr.wechat.ui.presenter.MyLocationAtPresenter$Anonymous1,anonymous,2,2,0,2,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LQRWeChat\app\src\main\java\com\lqr\wechat\ui\activity\QRCodeCardActivity.java,com.lqr.wechat.ui.activity.QRCodeCardActivity$Anonymous1,anonymous,3,3,0,3,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LQRWeChat\app\src\main\java\com\lqr\wechat\ui\presenter\CreateGroupAtPresenter.java,com.lqr.wechat.ui.presenter.CreateGroupAtPresenter,class,16,18,2,16,22,2,0,66,14,0.725,0.0,0.0,8,0,4,4,0,0,4,0,0,0,5,0,0,5,0,0,0,0,6,172,1,4,6,0,1,7,14,23,4,25,3,2,0,3,49,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LQRWeChat\app\src\main\java\com\lqr\wechat\widget\AutoCardView.java,com.lqr.wechat.widget.AutoCardView,class,6,6,0,6,6,2,0,4,10,0.8,0.0,0.0,5,0,4,0,1,0,5,0,0,0,1,0,0,1,0,0,1,0,0,21,1,0,0,0,0,0,0,1,0,1,1,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LQRWeChat\app\src\main\java\com\lqr\wechat\ui\presenter\RegisterAtPresenter.java,com.lqr.wechat.ui.presenter.RegisterAtPresenter,class,15,16,1,15,18,2,0,49,19,0.8095238,0.0,0.0,7,0,4,3,0,0,4,0,0,0,3,0,0,2,0,1,0,0,20,143,6,0,4,0,0,1,7,13,1,16,3,4,0,5,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LQRWeChat\app\src\main\java\com\lqr\wechat\model\response\VersionResponse.java,com.lqr.wechat.model.response.VersionResponse$IosEntity,innerclass,0,0,0,0,6,1,0,0,9,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,10,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LQRWeChat\app\src\main\java\com\lqr\wechat\ui\adapter\CommonFragmentPagerAdapter.java,com.lqr.wechat.ui.adapter.CommonFragmentPagerAdapter,class,4,5,1,4,6,2,0,3,4,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,1,2,2,0,0,0,0,0,23,3,0,1,0,0,0,3,5,0,4,0,0,0,0,38,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LQRWeChat\app\src\main\java\com\lqr\wechat\model\response\GetUserInfoByIdResponse.java,com.lqr.wechat.model.response.GetUserInfoByIdResponse$ResultEntity,innerclass,0,0,0,0,6,1,0,0,9,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,11,9,0
