file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LayoutManagerGroup\app\src\main\java\com\dingmouren\example\layoutmanagergroup\fragment\SlideFragment.java,com.dingmouren.example.layoutmanagergroup.fragment.SlideFragment$MyAdapter,getItemCount/0,false,159,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LayoutManagerGroup\app\src\main\java\com\dingmouren\example\layoutmanagergroup\fragment\SlideFragment.java,com.dingmouren.example.layoutmanagergroup.fragment.SlideFragment$MyAdapter,"onCreateViewHolder/2[com.dingmouren.example.layoutmanagergroup.fragment.ViewGroup,int]",false,144,3,1,0,1,1,2,4,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LayoutManagerGroup\app\src\main\java\com\dingmouren\example\layoutmanagergroup\fragment\SlideFragment.java,com.dingmouren.example.layoutmanagergroup.fragment.SlideFragment$MyAdapter,"onBindViewHolder/2[com.dingmouren.example.layoutmanagergroup.fragment.SlideFragment.MyAdapter.ViewHolder,int]",false,150,2,4,0,4,1,7,7,0,1,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LayoutManagerGroup\LayoutManagerGroup\src\main\java\com\dingmouren\layoutmanagergroup\slide\ItemTouchHelperCallback.java,com.dingmouren.layoutmanagergroup.slide.ItemTouchHelperCallback,"getMovementFlags/2[com.dingmouren.layoutmanagergroup.slide.RecyclerView,RecyclerView.ViewHolder]",false,47,4,0,0,0,2,2,9,1,3,2,2,0,0,0,0,0,0,0,2,4,0,1,0,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LayoutManagerGroup\LayoutManagerGroup\src\main\java\com\dingmouren\layoutmanagergroup\slide\ItemTouchHelperCallback.java,com.dingmouren.layoutmanagergroup.slide.ItemTouchHelperCallback,checkIsNull/1[T],false,35,1,0,0,0,2,0,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LayoutManagerGroup\LayoutManagerGroup\src\main\java\com\dingmouren\layoutmanagergroup\slide\ItemTouchHelperCallback.java,com.dingmouren.layoutmanagergroup.slide.ItemTouchHelperCallback,setOnSlideListener/1[com.dingmouren.layoutmanagergroup.slide.OnSlideListener<T>],false,42,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LayoutManagerGroup\LayoutManagerGroup\src\main\java\com\dingmouren\layoutmanagergroup\slide\ItemTouchHelperCallback.java,com.dingmouren.layoutmanagergroup.slide.ItemTouchHelperCallback,"onChildDraw/7[com.dingmouren.layoutmanagergroup.slide.Canvas,com.dingmouren.layoutmanagergroup.slide.RecyclerView,RecyclerView.ViewHolder,float,float,int,boolean]",false,85,6,2,0,2,10,11,41,0,9,7,11,0,0,2,3,0,2,0,16,11,28,3,0,0,0,24,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LayoutManagerGroup\LayoutManagerGroup\src\main\java\com\dingmouren\layoutmanagergroup\slide\ItemTouchHelperCallback.java,com.dingmouren.layoutmanagergroup.slide.ItemTouchHelperCallback,"ItemTouchHelperCallback/2[RecyclerView.Adapter,java.util.List<T>]",true,24,4,2,0,2,1,2,4,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LayoutManagerGroup\LayoutManagerGroup\src\main\java\com\dingmouren\layoutmanagergroup\slide\ItemTouchHelperCallback.java,com.dingmouren.layoutmanagergroup.slide.ItemTouchHelperCallback,"ItemTouchHelperCallback/3[RecyclerView.Adapter,java.util.List<T>,com.dingmouren.layoutmanagergroup.slide.OnSlideListener<T>]",true,29,5,2,0,2,1,2,5,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LayoutManagerGroup\LayoutManagerGroup\src\main\java\com\dingmouren\layoutmanagergroup\slide\ItemTouchHelperCallback.java,com.dingmouren.layoutmanagergroup.slide.ItemTouchHelperCallback,"clearView/2[com.dingmouren.layoutmanagergroup.slide.RecyclerView,RecyclerView.ViewHolder]",false,125,2,0,0,0,1,2,4,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,false
