file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ListViewAnimations\lib-manipulation\src\main\java\com\nhaarman\listviewanimations\itemmanipulation\swipedismiss\OnDismissCallback.java,com.nhaarman.listviewanimations.itemmanipulation.swipedismiss.OnDismissCallback,interface,3,13,10,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ListViewAnimations\lib-core\src\androidTest\java\com\nhaarman\listviewanimations\ArrayAdapterTest.java,com.nhaarman.listviewanimations.ArrayAdapterTest$TestArrayAdapter,innerclass,4,4,0,4,3,3,0,0,3,0.0,NaN,NaN,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ListViewAnimations\example\src\main\java\com\haarman\listviewanimations\appearance\AppearanceExamplesActivity.java,com.haarman.listviewanimations.appearance.AppearanceExamplesActivity,class,17,19,2,17,22,6,0,20,0,0.43333337,0.0,0.0,10,0,1,6,3,0,4,0,0,0,3,1,0,3,0,0,1,0,0,104,7,0,1,0,5,1,6,9,0,4,1,0,1,0,69,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ListViewAnimations\example\src\main\java\com\haarman\listviewanimations\itemmanipulation\DynamicListViewActivity.java,com.haarman.listviewanimations.itemmanipulation.DynamicListViewActivity$MyOnItemLongClickListener,innerclass,4,4,0,4,3,1,0,2,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,1,0,0,0,0,1,1,1,1,0,0,0,16,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ListViewAnimations\lib-core\src\main\java\com\nhaarman\listviewanimations\util\AbsListViewWrapper.java,com.nhaarman.listviewanimations.util.AbsListViewWrapper,class,7,15,8,7,12,1,0,9,0,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,1,0,0,1,0,0,1,0,0,40,9,0,0,0,1,0,1,3,0,2,1,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ListViewAnimations\lib-manipulation\src\androidTest\java\com\nhaarman\listviewanimations\itemmanipulation\dragdrop\DynamicListViewDragAndDropTest.java,com.nhaarman.listviewanimations.itemmanipulation.dragdrop.DynamicListViewDragAndDropTest$MyDraggableManager,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ListViewAnimations\lib-manipulation\src\androidTest\java\com\nhaarman\listviewanimations\itemmanipulation\swipedismiss\SwipeDismissTouchListenerTest.java,com.nhaarman.listviewanimations.itemmanipulation.swipedismiss.SwipeDismissTouchListenerTest,class,9,9,0,9,7,2,0,15,0,0.42857146,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,0,0,8,53,0,0,0,0,0,1,16,3,0,4,0,2,0,0,57,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ListViewAnimations\lib-manipulation\src\main\java\com\nhaarman\listviewanimations\itemmanipulation\swipedismiss\undo\SimpleSwipeUndoAdapter.java,com.nhaarman.listviewanimations.itemmanipulation.swipedismiss.undo.SimpleSwipeUndoAdapter,class,16,18,2,16,15,4,1,18,4,0.65625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,4,0,1,75,3,1,3,0,4,3,0,14,0,12,1,0,1,0,65,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ListViewAnimations\lib-manipulation\src\main\java\com\nhaarman\listviewanimations\itemmanipulation\swipedismiss\undo\SwipeUndoTouchListener.java,com.nhaarman.listviewanimations.itemmanipulation.swipedismiss.undo.SwipeUndoTouchListener,class,14,20,6,14,17,4,0,40,14,0.7582417,0.0,0.0,13,0,4,2,7,0,11,0,0,0,7,2,0,7,0,0,7,0,2,104,2,1,2,0,0,2,10,18,0,17,1,0,1,0,113,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ListViewAnimations\lib-core\src\androidTest\java\com\nhaarman\listviewanimations\BaseAdapterDecoratorTest.java,com.nhaarman.listviewanimations.BaseAdapterDecoratorTest$BaseAdapterImpl,innerclass,3,3,0,3,4,2,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,1,2,0,0,0,0,0,0,0,13,12,0
