file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\exceptions\GlobalException.java,org.litepal.exceptions.GlobalException,class,0,1,1,0,1,4,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,1,1,0,0,2,0,0,7,0,0,0,0,0,1,1,2,0,2,0,0,0,0,49,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\FluentQuery.java,org.litepal.FluentQuery$Anonymous11,anonymous,5,5,0,5,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,1,0,0,0,0,1,0,1,2,1,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\androidTest\java\com\litepaltest\test\annotation\ColumnTest.java,com.litepaltest.test.annotation.ColumnTest,class,7,7,0,7,7,2,0,15,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,42,0,1,2,0,0,6,7,5,0,5,2,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\FluentQuery.java,org.litepal.FluentQuery$Anonymous15,anonymous,5,5,0,5,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,1,0,0,0,0,1,0,1,2,1,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\crud\SaveHandler.java,org.litepal.crud.SaveHandler,class,13,17,4,13,60,3,0,79,99,0.45454547,0.0,0.0,22,0,2,19,0,1,3,0,0,0,1,0,0,1,0,0,0,0,10,227,5,10,15,1,0,9,8,42,3,38,5,0,0,0,272,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\FluentQuery.java,org.litepal.FluentQuery$Anonymous13,anonymous,5,5,0,5,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,1,0,0,0,0,1,0,1,2,1,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\crud\callback\FindCallback.java,org.litepal.crud.callback.FindCallback,interface,1,13,12,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\tablemanager\typechange\BooleanOrm.java,org.litepal.tablemanager.typechange.BooleanOrm,class,1,2,1,1,4,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,3,0,0,0,0,2,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\util\cipher\CipherUtil.java,org.litepal.util.cipher.CipherUtil,class,4,6,2,4,10,1,0,10,4,0.625,0.0,0.0,4,4,3,1,0,0,3,0,0,0,2,2,1,1,0,0,1,0,5,49,9,1,0,3,1,3,6,10,2,8,1,0,0,0,54,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\main\java\org\litepal\litepalsample\activity\ModelStructureActivity.java,org.litepal.litepalsample.activity.ModelStructureActivity,class,9,11,2,9,8,3,0,20,0,0.33333334,0.0,0.0,3,1,1,1,1,0,2,0,0,0,3,1,1,2,0,0,1,0,4,60,0,1,0,1,0,1,1,12,0,11,3,0,1,0,54,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\androidTest\java\com\litepaltest\test\crud\transaction\TransactionTest.java,com.litepaltest.test.crud.transaction.TransactionTest,class,13,13,0,13,11,2,0,47,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,149,0,1,0,2,1,16,27,42,3,30,2,0,0,0,61,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\androidTest\java\com\litepaltest\test\MultiDatabaseTest.java,com.litepaltest.test.MultiDatabaseTest,class,11,11,0,11,1,2,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,77,0,0,0,0,0,59,2,6,0,2,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\androidTest\java\com\litepaltest\test\crud\save\Many2OneUniSaveTest.java,com.litepaltest.test.crud.save.Many2OneUniSaveTest,class,7,8,1,7,6,2,0,14,0,0.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,55,0,0,0,0,0,3,2,5,0,3,0,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\tablemanager\typechange\DecimalOrm.java,org.litepal.tablemanager.typechange.DecimalOrm,class,1,2,1,1,6,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,1,0,0,6,0,0,0,0,2,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\util\LitePalLog.java,org.litepal.util.LitePalLog,class,0,4,4,0,4,1,0,3,0,0.33333334,0.0,0.0,2,2,2,0,0,0,2,0,0,0,3,3,3,0,0,0,2,0,0,15,0,0,0,0,0,0,2,3,0,3,1,0,0,0,15,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\main\java\org\litepal\litepalsample\activity\SumSampleActivity.java,org.litepal.litepalsample.activity.SumSampleActivity,class,12,14,2,12,6,2,0,14,1,0.33333334,0.0,0.0,3,1,2,0,1,0,3,0,0,0,2,0,0,2,0,0,0,0,4,37,0,0,0,1,0,3,1,8,0,6,2,0,0,0,38,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\main\java\org\litepal\litepalsample\activity\SaveSampleActivity.java,org.litepal.litepalsample.activity.SaveSampleActivity$Anonymous1,anonymous,2,2,0,2,5,1,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,45,0,1,1,1,0,9,0,8,0,7,3,1,0,0,22,-1,0
