file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\exceptions\GlobalException.java,org.litepal.exceptions.GlobalException,GlobalException/1[java.lang.String],true,39,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\FluentQuery.java,org.litepal.FluentQuery$Anonymous11,run/0,false,696,5,46,0,46,2,4,13,0,1,0,4,0,0,0,1,0,0,0,0,1,0,2,1,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\androidTest\java\com\litepaltest\test\annotation\ColumnTest.java,com.litepaltest.test.annotation.ColumnTest,testNotNull/0,false,47,3,6,0,6,1,9,9,0,1,0,9,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\androidTest\java\com\litepaltest\test\annotation\ColumnTest.java,com.litepaltest.test.annotation.ColumnTest,setUp/0,false,25,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\androidTest\java\com\litepaltest\test\annotation\ColumnTest.java,com.litepaltest.test.annotation.ColumnTest,testDefaultValue/0,false,58,4,10,0,10,1,13,12,0,1,0,13,0,0,0,0,0,0,4,1,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\sample\src\androidTest\java\com\litepaltest\test\annotation\ColumnTest.java,com.litepaltest.test.annotation.ColumnTest,testUnique/0,false,30,3,6,0,6,4,9,16,0,3,0,9,0,0,1,2,0,0,1,5,3,0,2,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\FluentQuery.java,org.litepal.FluentQuery$Anonymous15,run/0,false,878,5,46,0,46,2,4,13,0,1,0,4,0,0,0,1,0,0,0,0,1,0,2,1,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\crud\SaveHandler.java,org.litepal.crud.SaveHandler,clearFKValueInAssociatedTable/1[org.litepal.crud.LitePalSupport],false,408,3,5,1,4,2,6,10,0,4,1,6,0,0,1,0,0,0,1,0,4,1,1,0,0,0,41,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\crud\SaveHandler.java,org.litepal.crud.SaveHandler,"afterUpdate/2[org.litepal.crud.LitePalSupport,java.util.List<java.lang.reflect.Field>]",false,276,2,6,1,5,1,5,6,0,0,2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\crud\SaveHandler.java,org.litepal.crud.SaveHandler,"afterSave/4[org.litepal.crud.LitePalSupport,java.util.List<java.lang.reflect.Field>,java.util.List<java.lang.reflect.Field>,long]",false,200,2,7,1,6,1,6,7,0,0,4,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\crud\SaveHandler.java,org.litepal.crud.SaveHandler,"doUpdateAction/3[org.litepal.crud.LitePalSupport,java.util.List<java.lang.reflect.Field>,java.util.List<java.lang.reflect.Field>]",false,220,2,5,2,3,1,4,6,0,0,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\crud\SaveHandler.java,org.litepal.crud.SaveHandler,"updating/2[org.litepal.crud.LitePalSupport,org.litepal.crud.ContentValues]",false,260,2,3,1,2,2,5,5,0,0,2,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,18,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\crud\SaveHandler.java,org.litepal.crud.SaveHandler,throwIfSaveFailed/1[long],false,305,1,2,1,1,2,0,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,17,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\LitePal\core\src\main\java\org\litepal\crud\SaveHandler.java,org.litepal.crud.SaveHandler,"saving/2[org.litepal.crud.LitePalSupport,org.litepal.crud.ContentValues]",false,180,2,2,1,1,2,4,6,1,0,2,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,27,2,0,true
