file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MVVMHabit\app\src\main\java\com\goldze\mvvmhabit\ui\rv_multi\MultiRecycleHeadViewModel.java,com.goldze.mvvmhabit.ui.rv_multi.MultiRecycleHeadViewModel,MultiRecycleHeadViewModel/1[me.goldze.mvvmhabit.base.BaseViewModel],true,18,2,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MVVMHabit\mvvmhabit\src\main\java\me\goldze\mvvmhabit\bus\event\SnackbarMessage.java,me.goldze.mvvmhabit.bus.event.SnackbarMessage,"observe/2[me.goldze.mvvmhabit.bus.event.LifecycleOwner,me.goldze.mvvmhabit.bus.event.SnackbarMessage.SnackbarObserver]",false,32,3,0,0,0,1,1,11,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MVVMHabit\app\src\main\java\com\goldze\mvvmhabit\utils\HttpsUtils.java,com.goldze.mvvmhabit.utils.HttpsUtils$Anonymous1,"checkServerTrusted/2[java.security.cert.X509Certificate[],java.lang.String]",false,180,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MVVMHabit\app\src\main\java\com\goldze\mvvmhabit\utils\HttpsUtils.java,com.goldze.mvvmhabit.utils.HttpsUtils$Anonymous1,"checkClientTrusted/2[java.security.cert.X509Certificate[],java.lang.String]",false,176,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MVVMHabit\app\src\main\java\com\goldze\mvvmhabit\utils\HttpsUtils.java,com.goldze.mvvmhabit.utils.HttpsUtils$Anonymous1,getAcceptedIssuers/0,false,184,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MVVMHabit\app\src\main\java\com\goldze\mvvmhabit\utils\HttpsUtils.java,com.goldze.mvvmhabit.utils.HttpsUtils$Anonymous2,"verify/2[java.lang.String,javax.net.ssl.SSLSession]",false,196,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MVVMHabit\mvvmhabit\src\main\java\me\goldze\mvvmhabit\http\download\DownLoadStateBean.java,me.goldze.mvvmhabit.http.download.DownLoadStateBean$Anonymous1,createFromParcel/1[me.goldze.mvvmhabit.http.download.Parcel],false,72,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MVVMHabit\mvvmhabit\src\main\java\me\goldze\mvvmhabit\http\download\DownLoadStateBean.java,me.goldze.mvvmhabit.http.download.DownLoadStateBean$Anonymous1,newArray/1[int],false,77,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MVVMHabit\mvvmhabit\src\main\java\me\goldze\mvvmhabit\utils\RxUtils.java,me.goldze.mvvmhabit.utils.RxUtils$HandleFuc,apply/1[me.goldze.mvvmhabit.http.BaseResponse<T>],false,93,2,4,0,4,3,5,4,1,0,1,5,0,0,0,0,0,0,3,0,0,1,1,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MVVMHabit\mvvmhabit\src\main\java\me\goldze\mvvmhabit\http\download\ProgressCallBack.java,me.goldze.mvvmhabit.http.download.ProgressCallBack,onSuccess/1[T],false,34,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
