file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\magicindicator\src\main\java\net\lucode\hackware\magicindicator\buildins\commonnavigator\abs\IMeasurablePagerTitleView.java,net.lucode.hackware.magicindicator.buildins.commonnavigator.abs.IMeasurablePagerTitleView,getContentTop/0,false,11,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\magicindicator\src\main\java\net\lucode\hackware\magicindicator\buildins\commonnavigator\abs\IMeasurablePagerTitleView.java,net.lucode.hackware.magicindicator.buildins.commonnavigator.abs.IMeasurablePagerTitleView,getContentRight/0,false,13,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\magicindicator\src\main\java\net\lucode\hackware\magicindicator\buildins\commonnavigator\abs\IMeasurablePagerTitleView.java,net.lucode.hackware.magicindicator.buildins.commonnavigator.abs.IMeasurablePagerTitleView,getContentLeft/0,false,9,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\magicindicator\src\main\java\net\lucode\hackware\magicindicator\buildins\commonnavigator\abs\IMeasurablePagerTitleView.java,net.lucode.hackware.magicindicator.buildins.commonnavigator.abs.IMeasurablePagerTitleView,getContentBottom/0,false,15,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\magicindicator\src\main\java\net\lucode\hackware\magicindicator\FragmentContainerHelper.java,net.lucode.hackware.magicindicator.FragmentContainerHelper$Anonymous1,onAnimationEnd/1[net.lucode.hackware.magicindicator.Animator],false,32,2,1,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,ColorFlipPagerTitleView/1[net.lucode.hackware.magicindicatordemo.ext.titles.Context],true,14,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,"onLeave/4[int,int,float,boolean]",false,19,0,0,0,0,2,1,8,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,getChangePercent/0,false,44,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,"onDeselected/2[int,int]",false,41,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,"onEnter/4[int,int,float,boolean]",false,28,0,0,0,0,2,1,8,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,"onSelected/2[int,int]",false,37,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MagicIndicator\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,setChangePercent/1[float],false,48,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
