file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\LibMarsdaemon\src\main\java\com\marswin89\marsdaemon\strategy\DaemonStrategy23.java,com.marswin89.marsdaemon.strategy.DaemonStrategy23$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\LibMarsdaemon\src\main\java\com\marswin89\marsdaemon\DaemonConfigurations.java,com.marswin89.marsdaemon.DaemonConfigurations$DaemonListener,interface,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\LibMarsdaemon\src\main\java\com\marswin89\marsdaemon\IDaemonStrategy.java,com.marswin89.marsdaemon.IDaemonStrategy,interface,2,10,8,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\LibMarsdaemon\src\main\java\com\marswin89\marsdaemon\strategy\DaemonStrategyUnder21.java,com.marswin89.marsdaemon.strategy.DaemonStrategyUnder21,class,11,13,2,11,22,1,0,36,34,0.8333334,0.0,0.0,9,0,4,5,0,0,4,0,0,0,4,0,0,4,0,0,2,0,1,98,5,1,6,1,4,11,6,21,3,18,1,1,0,0,76,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\LibMarsdaemon\src\main\java\com\marswin89\marsdaemon\strategy\DaemonStrategy23.java,com.marswin89.marsdaemon.strategy.DaemonStrategy23$Anonymous2,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\DemoMarsdaemon\src\main\java\com\marswin89\marsdaemon\demo\Receiver1.java,com.marswin89.marsdaemon.demo.Receiver1,class,3,5,2,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\DemoMarsdaemon\src\main\java\com\marswin89\marsdaemon\demo\Service1.java,com.marswin89.marsdaemon.demo.Service1,class,3,6,3,3,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\DemoMarsdaemon\src\main\java\com\marswin89\marsdaemon\demo\Receiver2.java,com.marswin89.marsdaemon.demo.Receiver2,class,3,5,2,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\DemoMarsdaemon\src\main\java\com\marswin89\marsdaemon\demo\Service2.java,com.marswin89.marsdaemon.demo.Service2,class,3,5,2,3,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\LibMarsdaemon\src\main\java\com\marswin89\marsdaemon\strategy\DaemonStrategy21.java,com.marswin89.marsdaemon.strategy.DaemonStrategy21,class,9,11,2,9,18,1,0,24,13,0.8214286,0.0,0.0,7,0,4,3,0,0,4,0,0,0,8,5,0,8,0,0,5,0,0,94,3,0,8,1,1,5,3,19,0,18,1,2,0,0,60,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarsDaemon\LibMarsdaemon\src\main\java\com\marswin89\marsdaemon\strategy\DaemonStrategy22.java,com.marswin89.marsdaemon.strategy.DaemonStrategy22,class,10,12,2,10,28,1,0,34,26,0.8611111,0.0,0.0,9,0,4,5,0,0,4,0,0,0,8,5,0,8,0,0,5,0,1,129,6,0,8,3,0,12,4,18,0,17,2,2,0,0,85,1,0
