file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MaterialDateTimePicker\library\src\test\java\com\wdullaer\materialdatetimepicker\time\TimepointTest.java,TimepointTest,class,3,3,0,3,34,1,0,15,496,0.0,0.0,0.0,32,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,137,44,0,44,0,0,0,0,62,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MaterialDateTimePicker\sample\src\main\java\com\wdullaer\datetimepickerexample\TimePickerFragment.java,com.wdullaer.datetimepickerexample.TimePickerFragment,class,14,15,1,14,16,2,0,28,0,0.73333335,0.0,0.0,5,0,5,0,0,0,5,0,0,0,12,0,0,12,0,0,0,0,0,93,1,0,2,0,0,18,15,25,7,28,3,0,0,4,67,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MaterialDateTimePicker\library\src\main\java\com\wdullaer\materialdatetimepicker\date\DatePickerController.java,com.wdullaer.materialdatetimepicker.date.DatePickerController,interface,4,18,14,4,19,1,0,0,171,0.0,0.0,0.0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MaterialDateTimePicker\library\src\main\java\com\wdullaer\materialdatetimepicker\date\MonthAdapter.java,com.wdullaer.materialdatetimepicker.date.MonthAdapter$MonthViewHolder,innerclass,5,5,0,5,6,2,0,7,3,0.0,0.0,0.0,3,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,2,0,3,0,1,4,5,3,1,0,0,0,29,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MaterialDateTimePicker\library\src\main\java\com\wdullaer\materialdatetimepicker\date\MonthView.java,com.wdullaer.materialdatetimepicker.date.MonthView$OnDayClickListener,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MaterialDateTimePicker\library\src\main\java\com\wdullaer\materialdatetimepicker\date\AccessibleDateAnimator.java,com.wdullaer.materialdatetimepicker.date.AccessibleDateAnimator,class,4,5,1,4,4,2,0,7,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,19,2,0,1,0,0,0,0,3,0,3,1,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MaterialDateTimePicker\library\src\main\java\com\wdullaer\materialdatetimepicker\time\TimePickerDialog.java,com.wdullaer.materialdatetimepicker.time.TimePickerDialog,class,40,45,5,40,295,2,0,157,2704,0.9526614,0.0,0.0,85,4,66,18,0,1,67,0,0,0,84,29,5,79,0,0,29,0,35,1209,54,6,84,0,16,81,128,316,27,213,4,0,4,6,477,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MaterialDateTimePicker\library\src\main\java\com\wdullaer\materialdatetimepicker\date\DatePickerDialog.java,com.wdullaer.materialdatetimepicker.date.DatePickerDialog,class,35,39,4,35,146,2,0,135,2290,0.95765823,0.0,0.0,76,3,72,4,0,0,72,0,0,0,78,36,0,78,0,0,32,0,24,659,26,2,46,0,0,71,23,183,3,115,4,0,4,2,331,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MaterialDateTimePicker\library\src\main\java\com\wdullaer\materialdatetimepicker\time\RadialTextsView.java,com.wdullaer.materialdatetimepicker.time.RadialTextsView$SelectionValidator,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MaterialDateTimePicker\library\src\main\java\com\wdullaer\materialdatetimepicker\date\DefaultDateRangeLimiter.java,com.wdullaer.materialdatetimepicker.date.DefaultDateRangeLimiter,class,8,12,4,8,69,1,0,36,82,0.792,0.0,0.0,25,0,9,5,0,11,20,0,0,0,10,3,1,9,0,0,3,0,21,182,31,3,20,0,0,4,11,38,2,27,3,1,0,0,99,0,0
