file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Matisse\matisse\src\main\java\com\zhihu\matisse\internal\ui\adapter\AlbumsAdapter.java,com.zhihu.matisse.internal.ui.adapter.AlbumsAdapter,"newView/3[com.zhihu.matisse.internal.ui.adapter.Context,com.zhihu.matisse.internal.ui.adapter.Cursor,com.zhihu.matisse.internal.ui.adapter.ViewGroup]",false,56,4,0,0,0,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Matisse\matisse\src\main\java\com\zhihu\matisse\internal\ui\adapter\AlbumsAdapter.java,com.zhihu.matisse.internal.ui.adapter.AlbumsAdapter,"bindView/3[com.zhihu.matisse.internal.ui.adapter.View,com.zhihu.matisse.internal.ui.adapter.Context,com.zhihu.matisse.internal.ui.adapter.Cursor]",false,61,8,6,0,6,1,11,6,0,1,3,11,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Matisse\matisse\src\main\java\com\zhihu\matisse\internal\ui\adapter\AlbumsAdapter.java,com.zhihu.matisse.internal.ui.adapter.AlbumsAdapter,"AlbumsAdapter/3[com.zhihu.matisse.internal.ui.adapter.Context,com.zhihu.matisse.internal.ui.adapter.Cursor,int]",true,46,4,0,0,0,1,4,6,0,1,3,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Matisse\matisse\src\main\java\com\zhihu\matisse\internal\ui\adapter\AlbumsAdapter.java,com.zhihu.matisse.internal.ui.adapter.AlbumsAdapter,"AlbumsAdapter/3[com.zhihu.matisse.internal.ui.adapter.Context,com.zhihu.matisse.internal.ui.adapter.Cursor,boolean]",true,37,4,1,1,0,1,4,6,0,1,3,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Matisse\matisse\src\main\java\com\zhihu\matisse\filter\Filter.java,com.zhihu.matisse.filter.Filter,"filter/2[com.zhihu.matisse.filter.Context,com.zhihu.matisse.internal.entity.Item]",false,51,3,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1025,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Matisse\matisse\src\main\java\com\zhihu\matisse\filter\Filter.java,com.zhihu.matisse.filter.Filter,constraintTypes/0,false,46,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1028,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Matisse\matisse\src\main\java\com\zhihu\matisse\filter\Filter.java,com.zhihu.matisse.filter.Filter,"needFiltering/2[com.zhihu.matisse.filter.Context,com.zhihu.matisse.internal.entity.Item]",false,61,4,4,1,3,3,4,8,2,0,2,4,1,1,1,0,0,0,0,0,0,0,2,0,0,0,14,4,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Matisse\matisse\src\main\java\com\zhihu\matisse\internal\utils\SingleMediaScanner.java,com.zhihu.matisse.internal.utils.SingleMediaScanner,onMediaScannerConnected/0,false,34,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Matisse\matisse\src\main\java\com\zhihu\matisse\internal\utils\SingleMediaScanner.java,com.zhihu.matisse.internal.utils.SingleMediaScanner,"SingleMediaScanner/3[com.zhihu.matisse.internal.utils.Context,java.lang.String,com.zhihu.matisse.internal.utils.SingleMediaScanner.ScanListener]",true,27,3,1,1,0,1,1,6,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Matisse\matisse\src\main\java\com\zhihu\matisse\internal\utils\SingleMediaScanner.java,com.zhihu.matisse.internal.utils.SingleMediaScanner,"onScanCompleted/2[java.lang.String,com.zhihu.matisse.internal.utils.Uri]",false,38,2,1,0,1,2,2,6,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,false
