file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\activities\PlayerActivity.java,com.sample.andremion.musicplayer.activities.PlayerActivity$Anonymous1,handleMessage/1[com.sample.andremion.musicplayer.activities.Message],false,46,3,3,0,3,1,4,6,0,2,1,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\view\ProgressView.java,com.sample.andremion.musicplayer.view.ProgressView$SavedState,"writeToParcel/2[com.sample.andremion.musicplayer.view.Parcel,int]",false,251,1,0,0,0,1,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\view\ProgressView.java,com.sample.andremion.musicplayer.view.ProgressView$SavedState,SavedState/1[com.sample.andremion.musicplayer.view.Parcelable],true,238,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\view\ProgressView.java,com.sample.andremion.musicplayer.view.ProgressView$SavedState,SavedState/1[com.sample.andremion.musicplayer.view.Parcel],true,245,1,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\activities\MainActivity.java,com.sample.andremion.musicplayer.activities.MainActivity,onCreate/1[com.sample.andremion.musicplayer.activities.Bundle],false,43,5,2,0,2,2,5,14,0,1,1,5,0,0,0,1,0,0,0,0,7,0,0,0,0,0,27,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\activities\MainActivity.java,com.sample.andremion.musicplayer.activities.MainActivity,onFabClick/1[com.sample.andremion.musicplayer.activities.View],false,62,5,0,0,0,1,4,4,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\music\PlayerService.java,com.sample.andremion.musicplayer.music.PlayerService$LocalBinder,getService/0,false,122,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\activities\DetailActivity.java,com.sample.andremion.musicplayer.activities.DetailActivity,onBackPressed/0,false,59,1,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\activities\DetailActivity.java,com.sample.andremion.musicplayer.activities.DetailActivity,onCreate/1[com.sample.andremion.musicplayer.activities.Bundle],false,32,4,2,0,2,1,7,20,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,28,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\activities\DetailActivity.java,com.sample.andremion.musicplayer.activities.DetailActivity,onFabClick/1[com.sample.andremion.musicplayer.activities.View],false,63,2,2,1,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\transition\ProgressViewTransition.java,com.sample.andremion.musicplayer.transition.ProgressViewTransition$Anonymous1,get/1[com.sample.andremion.musicplayer.view.ProgressView],false,44,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\transition\ProgressViewTransition.java,com.sample.andremion.musicplayer.transition.ProgressViewTransition$Anonymous1,"set/2[com.sample.andremion.musicplayer.view.ProgressView,java.lang.Float]",false,39,1,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\view\InsetsPercentRelativeLayout.java,com.sample.andremion.musicplayer.view.InsetsPercentRelativeLayout$Anonymous1,"onApplyWindowInsets/2[com.sample.andremion.musicplayer.view.View,com.sample.andremion.musicplayer.view.WindowInsetsCompat]",false,40,3,1,0,1,1,2,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\transition\ProgressViewTransition.java,com.sample.andremion.musicplayer.transition.ProgressViewTransition,"captureValues/2[com.sample.andremion.musicplayer.transition.TransitionValues,java.lang.Object]",false,76,2,2,2,0,2,1,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\transition\ProgressViewTransition.java,com.sample.andremion.musicplayer.transition.ProgressViewTransition,captureStartValues/1[com.sample.andremion.musicplayer.transition.TransitionValues],false,65,2,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\transition\ProgressViewTransition.java,com.sample.andremion.musicplayer.transition.ProgressViewTransition,getTransitionProperties/0,false,60,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\transition\ProgressViewTransition.java,com.sample.andremion.musicplayer.transition.ProgressViewTransition,"createAnimator/3[com.sample.andremion.musicplayer.transition.ViewGroup,com.sample.andremion.musicplayer.transition.TransitionValues,com.sample.andremion.musicplayer.transition.TransitionValues]",false,83,4,1,0,1,3,2,10,2,3,3,2,0,0,0,1,0,1,0,1,3,1,1,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\transition\ProgressViewTransition.java,com.sample.andremion.musicplayer.transition.ProgressViewTransition,"ProgressViewTransition/2[com.sample.andremion.musicplayer.transition.Context,com.sample.andremion.musicplayer.transition.AttributeSet]",true,51,3,0,0,0,1,3,7,0,2,2,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\transition\ProgressViewTransition.java,com.sample.andremion.musicplayer.transition.ProgressViewTransition,captureEndValues/1[com.sample.andremion.musicplayer.transition.TransitionValues],false,71,2,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\transition\AnimatedVectorDrawableCompat.java,com.sample.andremion.musicplayer.transition.AnimatedVectorDrawableCompat$AnimatedVectorDrawableHandler,handleMessage/1[com.sample.andremion.musicplayer.transition.Message],false,81,3,0,0,0,7,8,25,0,4,1,8,0,0,2,0,0,0,0,2,4,0,3,0,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\test\java\com\sample\andremion\musicplayer\ExampleUnitTest.java,com.sample.andremion.musicplayer.ExampleUnitTest,addition_isCorrect/0,false,28,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Music-Player\app\src\main\java\com\sample\andremion\musicplayer\view\RecyclerViewAdapter.java,com.sample.andremion.musicplayer.view.RecyclerViewAdapter$ViewHolder,ViewHolder/1[com.sample.andremion.musicplayer.view.View],true,76,3,1,1,0,1,1,8,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,1,0,false
