file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MyBatis-Spring-Boot\src\main\java\tk\mybatis\springboot\service\UserInfoService.java,tk.mybatis.springboot.service.UserInfoService,class,5,6,1,5,7,1,0,9,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,23,2,0,3,0,0,0,0,0,0,1,1,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MyBatis-Spring-Boot\src\main\java\tk\mybatis\springboot\mapper\CountryMapper.java,tk.mybatis.springboot.mapper.CountryMapper,interface,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MyBatis-Spring-Boot\src\main\java\tk\mybatis\springboot\controller\CountryController.java,tk.mybatis.springboot.controller.CountryController,class,10,10,0,10,6,1,0,9,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,37,5,0,1,0,0,22,0,8,0,9,0,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MyBatis-Spring-Boot\src\main\java\tk\mybatis\springboot\model\BaseEntity.java,tk.mybatis.springboot.model.BaseEntity,class,4,13,9,4,6,1,3,0,9,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,1,2,5,0,3,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MyBatis-Spring-Boot\src\main\java\tk\mybatis\springboot\util\MyMapper.java,tk.mybatis.springboot.util.MyMapper,interface,2,5,3,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MyBatis-Spring-Boot\src\main\java\tk\mybatis\springboot\controller\UserInfoController.java,tk.mybatis.springboot.controller.UserInfoController,class,10,10,0,10,6,1,0,6,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,29,5,0,1,0,0,11,0,6,0,7,0,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MyBatis-Spring-Boot\src\main\java\tk\mybatis\springboot\conf\WebMvcConfig.java,tk.mybatis.springboot.conf.WebMvcConfig,class,3,3,0,3,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MyBatis-Spring-Boot\src\main\java\tk\mybatis\springboot\mapper\UserInfoMapper.java,tk.mybatis.springboot.mapper.UserInfoMapper,interface,2,3,1,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MyBatis-Spring-Boot\src\main\java\tk\mybatis\springboot\service\CountryService.java,tk.mybatis.springboot.service.CountryService,class,8,10,2,8,18,1,0,16,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,45,3,0,9,0,0,10,4,4,4,5,1,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MyBatis-Spring-Boot\src\main\java\tk\mybatis\springboot\service\CityService.java,tk.mybatis.springboot.service.CityService,class,5,6,1,5,7,1,0,9,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,23,2,0,3,0,0,0,0,0,0,1,1,0,0,0,15,1,0
