file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\app\src\main\java\com\app\hubert\newbieguide\AbcFragment.java,com.app.hubert.newbieguide.AbcFragment,onCreate/1[com.app.hubert.newbieguide.Bundle],false,37,2,0,0,0,2,3,7,0,1,1,3,0,0,0,1,0,0,1,0,2,0,1,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\app\src\main\java\com\app\hubert\newbieguide\AbcFragment.java,com.app.hubert.newbieguide.AbcFragment,"onCreateView/3[com.app.hubert.newbieguide.LayoutInflater,com.app.hubert.newbieguide.ViewGroup,com.app.hubert.newbieguide.Bundle]",false,47,5,0,0,0,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\app\src\main\java\com\app\hubert\newbieguide\AbcFragment.java,com.app.hubert.newbieguide.AbcFragment,"onViewCreated/2[com.app.hubert.newbieguide.View,com.app.hubert.newbieguide.Bundle]",false,52,7,4,0,4,2,12,14,0,1,2,12,0,0,0,0,0,0,3,0,1,1,1,1,0,0,18,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\app\src\main\java\com\app\hubert\newbieguide\AbcFragment.java,com.app.hubert.newbieguide.AbcFragment,newInstance/1[java.lang.String],false,28,2,1,0,1,1,2,7,1,2,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,8,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\app\src\main\java\com\app\hubert\newbieguide\MainActivity.java,com.app.hubert.newbieguide.MainActivity$Anonymous7$Anonymous8,onClick/1[com.app.hubert.newbieguide.View],false,123,2,19,0,19,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\NewbieGuide.java,com.app.hubert.guide.NewbieGuide,"resetLabel/2[com.app.hubert.guide.Context,java.lang.String]",false,53,2,0,0,0,1,4,4,0,1,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\NewbieGuide.java,com.app.hubert.guide.NewbieGuide,with/1[android.support.v4.app.Fragment],false,43,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\NewbieGuide.java,com.app.hubert.guide.NewbieGuide,with/1[com.app.hubert.guide.Fragment],false,39,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\NewbieGuide.java,com.app.hubert.guide.NewbieGuide,with/1[com.app.hubert.guide.Activity],false,35,2,7,6,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\core\Controller.java,com.app.hubert.guide.core.Controller$Anonymous5,onDestroyView/0,false,273,2,2,0,2,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\app\src\main\java\com\app\hubert\newbieguide\FirstActivity.java,com.app.hubert.newbieguide.FirstActivity$Anonymous1,onClick/1[com.app.hubert.newbieguide.View],false,41,4,19,0,19,1,9,3,0,0,1,9,0,0,0,0,0,0,1,4,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\core\Controller.java,com.app.hubert.guide.core.Controller$Anonymous4,onDestroyView/0,false,257,2,2,0,2,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\app\src\main\java\com\app\hubert\newbieguide\RecyclerViewActivity.java,com.app.hubert.newbieguide.RecyclerViewActivity$Anonymous1$Anonymous2,"onLayoutInflated/2[com.app.hubert.newbieguide.View,com.app.hubert.guide.core.Controller]",false,66,3,0,0,0,1,2,4,0,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\model\GuidePage.java,com.app.hubert.guide.model.GuidePage,getEnterAnimation/0,false,240,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\model\GuidePage.java,com.app.hubert.guide.model.GuidePage,"addHighLight/2[com.app.hubert.guide.model.RectF,com.app.hubert.guide.model.HighLight.Shape]",false,91,3,1,0,1,1,1,3,1,0,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\model\GuidePage.java,com.app.hubert.guide.model.GuidePage,isEverywhereCancelable/0,false,212,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\model\GuidePage.java,com.app.hubert.guide.model.GuidePage,"addHighLight/3[com.app.hubert.guide.model.RectF,com.app.hubert.guide.model.HighLight.Shape,int]",false,99,3,1,0,1,1,1,3,1,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\model\GuidePage.java,com.app.hubert.guide.model.GuidePage,"setLayoutRes/2[int,int[]]",false,167,3,0,0,0,1,0,5,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\NewbieGuide\guide\src\main\java\com\app\hubert\guide\model\GuidePage.java,com.app.hubert.guide.model.GuidePage,getHighLights/0,false,220,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
