file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\operations\SaveWikibaseSchemaOperation.java,org.openrefine.wikibase.operations.SaveWikibaseSchemaOperation,"createHistoryEntry/2[org.openrefine.wikibase.operations.Project,long]",false,65,4,1,0,1,1,0,5,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\operations\SaveWikibaseSchemaOperation.java,org.openrefine.wikibase.operations.SaveWikibaseSchemaOperation,getBriefDescription/1[org.openrefine.wikibase.operations.Project],false,59,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\operations\SaveWikibaseSchemaOperation.java,org.openrefine.wikibase.operations.SaveWikibaseSchemaOperation,SaveWikibaseSchemaOperation/1[org.openrefine.wikibase.schema.WikibaseSchema],true,53,3,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"saveToFile/2[com.google.refine.model.Project,java.io.File]",false,91,2,4,1,3,1,5,23,0,2,2,5,0,0,0,0,3,0,2,0,2,0,2,0,0,0,15,12,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"loadFromFile/2[java.io.File,long]",false,147,2,4,1,3,2,5,14,1,3,2,5,0,0,0,1,1,0,2,0,3,0,2,0,0,0,13,12,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,save/1[com.google.refine.model.Project],false,54,3,4,1,3,5,9,31,0,5,1,9,1,1,0,0,2,1,5,0,5,0,3,0,0,0,17,41,2,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"load/2[java.io.File,long]",false,114,2,3,2,1,7,3,30,4,3,2,3,1,1,0,0,3,0,3,0,3,0,2,0,0,0,9,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,addWarning/1[org.openrefine.wikibase.qa.QAWarning],false,60,2,9,5,4,3,8,15,0,3,1,8,0,0,0,0,0,0,0,1,5,0,1,0,0,0,19,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,QAWarningStore/0,true,50,1,9,9,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,getWarnings/0,false,79,2,6,6,0,1,2,5,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,getNbWarnings/0,false,97,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,getMaxSeverity/0,false,89,2,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doGet/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",false,75,2,1,1,0,1,1,3,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OpenRefine\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doPost/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",false,81,3,8,4,4,7,14,29,0,2,2,14,4,4,0,0,1,0,11,0,2,0,2,0,0,0,27,1,3,false
