file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd-telegram\src\net\osmand\aidl\gpx\ASelectedGpxFile.java,net.osmand.aidl.gpx.ASelectedGpxFile$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd-java\src\main\java\net\osmand\binary\OsmandOdb.java,net.osmand.binary.OsmandOdb$IncompleteTransportRoute,innerclass,18,18,0,18,94,7,0,49,577,0.91228074,0.0,0.0,42,14,35,4,3,0,39,0,3,0,19,9,7,12,0,0,9,0,14,595,41,4,21,1,36,0,90,63,1,31,4,1,1,0,151,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd\src\net\osmand\plus\plugins\osmedit\dialogs\SendGpxBottomSheetFragment.java,net.osmand.plus.plugins.osmedit.dialogs.SendGpxBottomSheetFragment,class,27,30,3,27,19,2,0,48,24,0.7916667,0.0,0.0,8,2,4,0,4,0,8,0,0,0,6,1,1,5,0,0,1,0,2,119,3,1,5,0,2,2,1,34,0,30,2,1,0,1,97,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd\src\net\osmand\plus\views\layers\core\AidlTileProvider.java,net.osmand.plus.views.layers.core.AidlTileProvider$MapLayerData,innerclass,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,12,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd\src\net\osmand\plus\routepreparationmenu\RouteOptionsBottomSheet.java,net.osmand.plus.routepreparationmenu.RouteOptionsBottomSheet$DialogMode,enum,6,6,0,6,6,1,0,3,1,0.33333334,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,19,4,1,1,0,0,0,0,1,0,1,2,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd\src\net\osmand\plus\search\QuickSearchDialogFragment.java,net.osmand.plus.search.QuickSearchDialogFragment$Anonymous30,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd\src\net\osmand\plus\mapmarkers\PlanRouteFragment.java,net.osmand.plus.mapmarkers.PlanRouteFragment$Anonymous2$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd\src\net\osmand\plus\views\mapwidgets\configure\ConfirmResetToDefaultBottomSheetDialog.java,net.osmand.plus.views.mapwidgets.configure.ConfirmResetToDefaultBottomSheetDialog$ResetToDefaultListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd\src\net\osmand\plus\backup\BackupListeners.java,net.osmand.plus.backup.BackupListeners$OnUploadFileListener,interface,2,2,0,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd\src\net\osmand\plus\track\helpers\GPXDatabase.java,net.osmand.plus.track.helpers.GPXDatabase,class,14,17,3,14,124,1,0,62,61,0.908918,0.0,0.0,31,0,22,6,0,3,25,0,0,0,51,50,0,51,0,0,51,0,4,875,45,4,47,23,1,379,93,260,59,184,6,0,1,0,152,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd\src\net\osmand\plus\mapcontextmenu\controllers\SelectedGpxMenuController.java,net.osmand.plus.mapcontextmenu.controllers.SelectedGpxMenuController$Anonymous2,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\OsmAnd\OsmAnd\src\net\osmand\plus\views\mapwidgets\widgetstates\WidgetState.java,net.osmand.plus.views.mapwidgets.widgetstates.WidgetState,class,5,9,4,5,6,1,3,1,13,0.75,0.0,0.0,6,0,6,0,0,0,6,4,0,0,2,0,0,0,2,0,2,0,0,15,1,0,0,0,0,0,0,2,0,2,0,0,0,0,20,1025,0
