file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Phoenix\library\src\main\java\com\yalantis\phoenix\PullToRefreshView.java,com.yalantis.phoenix.PullToRefreshView$Anonymous3,onAnimationRepeat/1[com.yalantis.phoenix.Animation],false,347,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Phoenix\library\src\main\java\com\yalantis\phoenix\PullToRefreshView.java,com.yalantis.phoenix.PullToRefreshView$Anonymous3,onAnimationEnd/1[com.yalantis.phoenix.Animation],false,351,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Phoenix\library\src\main\java\com\yalantis\phoenix\PullToRefreshView.java,com.yalantis.phoenix.PullToRefreshView$Anonymous3,onAnimationStart/1[com.yalantis.phoenix.Animation],false,343,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Phoenix\library\src\main\java\com\yalantis\phoenix\refresh_view\BaseRefreshView.java,com.yalantis.phoenix.refresh_view.BaseRefreshView,invalidateDrawable/1[com.yalantis.phoenix.refresh_view.Drawable],false,34,3,0,0,0,2,2,6,0,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Phoenix\library\src\main\java\com\yalantis\phoenix\refresh_view\BaseRefreshView.java,com.yalantis.phoenix.refresh_view.BaseRefreshView,offsetTopAndBottom/1[int],false,31,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Phoenix\library\src\main\java\com\yalantis\phoenix\refresh_view\BaseRefreshView.java,com.yalantis.phoenix.refresh_view.BaseRefreshView,"setPercent/2[float,boolean]",false,29,0,4,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Phoenix\library\src\main\java\com\yalantis\phoenix\refresh_view\BaseRefreshView.java,com.yalantis.phoenix.refresh_view.BaseRefreshView,getRefreshLayout/0,false,25,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Phoenix\library\src\main\java\com\yalantis\phoenix\refresh_view\BaseRefreshView.java,com.yalantis.phoenix.refresh_view.BaseRefreshView,setColorFilter/1[com.yalantis.phoenix.refresh_view.ColorFilter],false,68,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Phoenix\library\src\main\java\com\yalantis\phoenix\refresh_view\BaseRefreshView.java,com.yalantis.phoenix.refresh_view.BaseRefreshView,setEndOfRefreshing/1[boolean],false,78,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Phoenix\library\src\main\java\com\yalantis\phoenix\refresh_view\BaseRefreshView.java,com.yalantis.phoenix.refresh_view.BaseRefreshView,setAlpha/1[int],false,63,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
