file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\test\java\com\genymobile\scrcpy\StringUtilsTest.java,com.genymobile.scrcpy.StringUtilsTest,class,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,24,0,0,0,0,0,1,17,10,0,3,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,class,5,6,1,5,4,1,0,13,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,1,0,11,0,15,1,14,1,0,0,0,33,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,class,27,34,7,27,50,1,0,62,163,0.92115384,0.0,0.0,26,14,26,0,0,0,26,0,0,4,20,9,7,13,0,0,16,0,20,217,26,0,12,0,2,9,15,48,7,46,2,2,2,0,158,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\StringUtils.java,com.genymobile.scrcpy.StringUtils,class,1,4,3,1,7,1,0,0,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,2,0,2,0,4,2,0,1,1,0,0,0,11,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\wrappers\ContentProvider.java,com.genymobile.scrcpy.wrappers.ContentProvider,class,7,10,3,7,27,1,0,17,24,0.82098776,0.0,0.0,9,2,3,5,0,1,4,0,0,0,18,11,3,15,0,0,15,0,5,140,11,0,3,6,0,30,7,37,2,28,4,0,0,0,76,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\SettingsException.java,com.genymobile.scrcpy.SettingsException,class,1,4,3,1,3,3,0,1,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,1,0,1,5,0,0,2,0,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\KeyComposition.java,com.genymobile.scrcpy.KeyComposition,class,1,3,2,1,8,1,0,8,28,0.875,NaN,NaN,8,7,1,7,0,0,1,0,0,0,6,6,0,6,0,0,6,0,112,143,7,0,0,0,0,5,0,7,5,7,0,0,0,0,60,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\wrappers\ActivityManager.java,com.genymobile.scrcpy.wrappers.ActivityManager,class,6,10,4,6,14,1,0,11,0,0.625,0.0,0.0,6,0,2,3,0,1,3,0,0,0,4,0,0,4,0,0,1,0,2,66,7,0,4,3,0,7,0,13,0,10,2,0,0,0,38,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Point.java,com.genymobile.scrcpy.Point,class,1,8,7,1,11,1,0,2,0,0.16666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,1,30,7,0,5,0,0,3,0,3,2,3,1,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\wrappers\SurfaceControl.java,com.genymobile.scrcpy.wrappers.SurfaceControl,class,6,9,3,6,27,1,0,6,0,0.8166667,0.0,0.0,12,11,9,3,0,0,10,0,0,0,5,5,2,3,0,0,3,0,5,114,8,0,2,10,0,14,3,8,0,7,2,0,0,0,62,17,0
