file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\test\java\com\genymobile\scrcpy\StringUtilsTest.java,com.genymobile.scrcpy.StringUtilsTest,testUtf8Truncate/0,false,11,3,1,0,1,1,3,22,0,3,0,3,0,0,0,0,0,0,1,17,10,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,prepareMainLooper/0,false,20,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,fillAppInfo/0,false,33,5,2,1,1,2,12,32,0,14,0,12,0,0,0,0,1,0,10,0,15,1,1,0,0,0,29,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Workarounds.java,com.genymobile.scrcpy.Workarounds,Workarounds/0,true,15,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,expandNotificationPanel/0,false,234,2,3,1,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getDeviceName/0,false,174,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setScreenPowerMode/1[int],false,282,3,6,3,3,2,3,8,2,1,1,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,26,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/2[com.genymobile.scrcpy.InputEvent,int]",false,198,2,4,3,1,1,1,3,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,Device/1[com.genymobile.scrcpy.Options],true,67,12,21,1,20,10,19,57,0,4,1,19,0,0,0,4,0,1,3,2,12,0,2,2,0,0,72,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getLayerStack/0,false,145,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/6[int,int,int,int,int,int]",false,202,2,3,2,1,1,2,5,1,2,6,2,1,2,0,0,0,0,0,2,2,0,0,0,0,0,6,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setClipboardText/1[java.lang.String],false,258,3,4,1,3,4,5,14,3,3,1,5,1,1,0,2,0,0,0,0,3,0,1,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectEvent/3[com.genymobile.scrcpy.InputEvent,int,int]",false,186,4,6,2,4,4,4,9,2,0,3,4,1,1,0,1,0,0,1,1,0,0,1,0,0,0,14,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setMaxSize/1[int],false,136,1,3,1,2,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,33,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"pressReleaseKeycode/2[int,int]",false,218,1,5,4,1,1,1,3,1,0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getClipboardText/0,false,246,2,5,3,2,3,3,11,3,2,0,3,0,0,0,2,0,0,0,0,2,0,1,0,0,0,9,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getSettings/0,false,319,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setClipboardListener/1[com.genymobile.scrcpy.Device.ClipboardListener],false,230,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,33,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,powerOffScreen/1[int],false,291,1,3,1,2,2,2,6,2,0,1,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,11,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"injectKeyEvent/5[int,int,int,int,int]",false,209,1,3,2,1,1,1,3,1,0,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,supportsInputEvents/0,false,182,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getPhysicalPoint/1[com.genymobile.scrcpy.Position],false,149,6,15,2,13,2,14,15,2,9,1,14,1,1,0,0,0,0,1,0,9,6,1,0,0,0,22,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,rotateDevice/0,false,301,3,7,1,6,3,6,12,0,5,0,6,0,0,0,1,0,1,3,3,5,1,1,0,0,0,22,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,setRotationListener/1[com.genymobile.scrcpy.Device.RotationListener],false,226,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,33,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,supportsInputEvents/1[int],false,178,0,1,1,0,3,0,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,getScreenInfo/0,false,141,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,expandSettingsPanel/0,false,238,2,3,1,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,"pressReleaseKeycode/3[int,int,int]",false,213,1,3,2,1,1,1,3,1,0,3,1,1,3,0,0,0,0,0,4,0,0,0,0,0,0,7,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,isScreenOn/0,false,222,2,6,4,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\QtScrcpy\server\src\main\java\com\genymobile\scrcpy\Device.java,com.genymobile.scrcpy.Device,collapsePanels/0,false,242,2,3,1,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
