file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RePlugin\replugin-host-library\replugin-host-lib\src\main\java\com\qihoo360\loader2\VMRuntimeCompat.java,com.qihoo360.loader2.VMRuntimeCompat,getArtOatCpuType/0,false,97,1,4,3,1,2,1,3,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RePlugin\replugin-host-library\replugin-host-lib\src\main\java\com\qihoo360\loader2\VMRuntimeCompat.java,com.qihoo360.loader2.VMRuntimeCompat,is64BitImpl/0,false,56,0,1,1,0,9,4,33,7,5,0,4,0,0,0,4,1,0,3,0,5,0,2,0,0,0,19,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RePlugin\replugin-host-library\replugin-host-lib\src\main\java\com\qihoo360\loader2\VMRuntimeCompat.java,com.qihoo360.loader2.VMRuntimeCompat,is64Bit/0,false,39,1,3,2,1,3,1,12,3,0,0,1,1,1,0,2,0,0,0,0,1,0,2,0,0,0,15,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RePlugin\replugin-plugin-library\replugin-plugin-lib\src\main\java\com\qihoo360\replugin\loader\a\PluginListActivity.java,com.qihoo360.replugin.loader.a.PluginListActivity,startActivity/1[com.qihoo360.replugin.loader.a.Intent],false,96,1,0,0,0,2,1,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RePlugin\replugin-plugin-library\replugin-plugin-lib\src\main\java\com\qihoo360\replugin\loader\a\PluginListActivity.java,com.qihoo360.replugin.loader.a.PluginListActivity,attachBaseContext/1[com.qihoo360.replugin.loader.a.Context],false,37,2,1,0,1,1,2,5,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RePlugin\replugin-plugin-library\replugin-plugin-lib\src\main\java\com\qihoo360\replugin\loader\a\PluginListActivity.java,com.qihoo360.replugin.loader.a.PluginListActivity,onCreate/1[com.qihoo360.replugin.loader.a.Bundle],false,52,1,0,0,0,1,3,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RePlugin\replugin-plugin-library\replugin-plugin-lib\src\main\java\com\qihoo360\replugin\loader\a\PluginListActivity.java,com.qihoo360.replugin.loader.a.PluginListActivity,onDestroy/0,false,63,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RePlugin\replugin-plugin-library\replugin-plugin-lib\src\main\java\com\qihoo360\replugin\loader\a\PluginListActivity.java,com.qihoo360.replugin.loader.a.PluginListActivity,"startActivityForResult/2[com.qihoo360.replugin.loader.a.Intent,int]",false,109,1,0,0,0,2,1,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RePlugin\replugin-plugin-library\replugin-plugin-lib\src\main\java\com\qihoo360\replugin\loader\a\PluginListActivity.java,com.qihoo360.replugin.loader.a.PluginListActivity,getResources/0,false,44,2,0,0,0,2,1,6,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RePlugin\replugin-plugin-library\replugin-plugin-lib\src\main\java\com\qihoo360\replugin\loader\a\PluginListActivity.java,com.qihoo360.replugin.loader.a.PluginListActivity,onRestoreInstanceState/1[com.qihoo360.replugin.loader.a.Bundle],false,71,2,1,0,1,3,5,11,0,0,1,5,0,0,0,0,1,0,3,0,0,1,2,0,0,0,15,4,0,false
