file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\library\src\com\github\mmin18\widget\RealtimeBlurView.java,com.github.mmin18.widget.RealtimeBlurView$StopException,innerclass,0,0,0,0,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\library\src\com\github\mmin18\widget\RealtimeBlurView.java,com.github.mmin18.widget.RealtimeBlurView,class,19,23,4,19,55,5,1,46,63,0.86666673,0.0,0.0,15,0,5,1,9,0,14,0,0,0,16,3,0,16,0,0,3,0,2,276,12,1,21,4,5,3,33,53,5,35,3,1,1,0,151,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\library\src-blurimpl\SupportLibraryBlurImpl.java,com.github.mmin18.widget.SupportLibraryBlurImpl,class,8,10,2,8,14,1,0,14,0,0.35,0.0,0.0,4,1,3,0,0,1,4,0,0,0,4,1,0,3,0,1,0,0,1,57,3,0,9,1,1,0,1,10,0,5,3,0,0,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\sample\src\com\github\mmin18\realtimeblurview\sample\MyListAdapter.java,com.github.mmin18.realtimeblurview.sample.MyListAdapter,class,7,9,2,7,6,2,0,4,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,26,4,1,0,0,1,0,1,6,0,5,1,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\library\src\com\github\mmin18\widget\AndroidStockBlurImpl.java,com.github.mmin18.widget.AndroidStockBlurImpl,class,9,11,2,9,14,1,0,14,0,0.35,0.0,0.0,4,1,3,0,0,1,4,0,0,0,4,1,0,3,0,1,0,0,1,57,3,0,9,1,1,0,1,10,0,5,3,0,0,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\sample\src\com\github\mmin18\realtimeblurview\sample\MainActivity.java,com.github.mmin18.realtimeblurview.sample.MainActivity$Anonymous3,anonymous,2,2,0,2,3,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,15,1,0,2,0,0,0,0,3,4,3,1,0,0,0,13,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\sample\src\com\github\mmin18\realtimeblurview\sample\MainActivity.java,com.github.mmin18.realtimeblurview.sample.MainActivity$Anonymous2,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\library\src\com\github\mmin18\widget\EmptyBlurImpl.java,com.github.mmin18.widget.EmptyBlurImpl,class,3,4,1,3,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\sample\src\com\github\mmin18\realtimeblurview\sample\MainActivity.java,com.github.mmin18.realtimeblurview.sample.MainActivity$Anonymous1,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\sample\src\com\github\mmin18\realtimeblurview\sample\ListActivity.java,com.github.mmin18.realtimeblurview.sample.ListActivity,class,3,4,1,3,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\library\src-blurimpl\AndroidXBlurImpl.java,com.github.mmin18.widget.AndroidXBlurImpl,class,8,10,2,8,14,1,0,14,0,0.35,0.0,0.0,4,1,3,0,0,1,4,0,0,0,4,1,0,3,0,1,0,0,1,57,3,0,9,1,1,0,1,10,0,5,3,0,0,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\library\src\com\github\mmin18\widget\RealtimeBlurView.java,com.github.mmin18.widget.RealtimeBlurView$Anonymous1,anonymous,4,4,0,4,8,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,3,1,0,0,8,12,4,7,3,0,0,0,53,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\sample\src\com\github\mmin18\realtimeblurview\sample\CustomShapeBlurView.java,com.github.mmin18.realtimeblurview.sample.CustomShapeBlurView,class,9,9,0,9,3,3,0,11,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,0,0,0,0,2,0,0,0,27,0,0,1,0,0,0,0,6,2,4,1,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\library\src\com\github\mmin18\widget\BlurImpl.java,com.github.mmin18.widget.BlurImpl,interface,2,7,5,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RealtimeBlurView\sample\src\com\github\mmin18\realtimeblurview\sample\MainActivity.java,com.github.mmin18.realtimeblurview.sample.MainActivity,class,17,19,2,17,10,2,0,31,11,0.70000005,0.0,0.0,6,0,3,2,1,0,4,0,0,0,5,0,0,2,0,3,0,0,0,84,2,0,0,0,2,5,4,10,2,10,1,3,0,0,54,1,0
